"Status","Year","Organisation","Parent_department","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","30-39","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","40-49","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scottish Government","65+","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","20-29","110","110","26570","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","30-39","230","220","30190","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","40-49","260","250","34180","31040"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","50-59","320","310","35240","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","60-64","80","70","36190","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","65+","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","20-29","450","450","25390","24920"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","30-39","510","480","29310","28170"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","40-49","690","640","32290","29180"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","50-59","740","700","32670","28980"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","60-64","210","190","32530","28710"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","65+","70","60","32590","27850"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Attorney General's Departments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","20-29","3400","3390","33960","29250"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","30-39","2370","2320","49080","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","40-49","1850","1790","58180","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","50-59","1510","1480","56830","52630"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","60-64","260","230","50560","38420"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","65+","50","50","50180","35100"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","20-29","90","90","25350","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","30-39","170","160","31720","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","40-49","180","160","35290","31070"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","50-59","140","130","39350","37280"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","60-64","40","30","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","65+","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","20-29","50","50","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","30-39","110","100","34770","29160"
"In post","2021","Charity Commission","Charity Commission","40-49","130","120","37350","29550"
"In post","2021","Charity Commission","Charity Commission","50-59","120","110","35550","30550"
"In post","2021","Charity Commission","Charity Commission","60-64","30","30","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","65+","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","20-29","130","130","26600","24500"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","30-39","250","230","30780","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","40-49","260","240","34310","30660"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","50-59","320","290","31280","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","60-64","100","80","27760","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","65+","40","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","20-29","150","150","38650","33610"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","30-39","300","290","59800","56630"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","40-49","220","210","71280","72430"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","50-59","150","150","68150","59940"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","65+","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","30-39","80","80","25520","22710"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","40-49","80","70","26610","22710"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","50-59","90","90","27600","23810"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","20-29","140","140","28670","27770"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","30-39","240","230","35730","34800"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","40-49","190","190","42120","36870"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","50-59","180","180","41710","39000"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","65+","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","20-29","390","380","26170","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","30-39","510","490","36880","33040"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","40-49","440","400","42020","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","50-59","510","470","37260","30500"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","60-64","120","100","35200","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","65+","40","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","20-29","890","880","27470","25480"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","30-39","1160","1090","40010","39750"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","40-49","1910","1750","43610","48080"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","50-59","2240","2090","45200","45530"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","60-64","420","350","44610","48080"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","65+","100","80","43290","30110"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","30-39","30","30","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","50-59","30","30","[c]","[c]"
