"Status","Year","Responsibility_level","Age","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","16-19","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Brent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","16-19","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
