"Status","Year","Responsibility_level","Organisation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Accountant in Bankruptcy","Southern Scotland","30","30","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Advisory, Conciliation and Arbitration Service","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Cumbria","100","100","21080","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Devon","110","100","21100","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","East Wales","50","40","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Essex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","40","40","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","40","30","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","North Yorkshire","60","60","21840","21050"
"In post","2021","AA/AO","Animal and Plant Health Agency","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Shropshire and Staffordshire","40","40","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Animal and Plant Health Agency","Surrey, East and West Sussex","180","170","24250","24370"
"In post","2021","AA/AO","Animal and Plant Health Agency","West Wales and The Valleys","90","80","21130","21050"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Inner London - West","130","130","24470","24490"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","North Yorkshire","170","160","20910","20920"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Northumberland and Tyne and Wear","160","140","20800","20800"
"In post","2021","AA/AO","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","East Anglia","40","40","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Charity Commission","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","East Wales","390","340","21700","22490"
"In post","2021","AA/AO","Companies House","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Companies House","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Competition and Markets Authority","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Criminal Injuries Compensation Authority","West Central Scotland","120","100","20270","20650"
"In post","2021","AA/AO","Crown Commercial Service","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Crown Commercial Service","West Midlands","[c]","[c]","[c]","[c]"
