"Status","Year","Disability","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Commercial","G6/G7","700","680","59630","57200"
"In post","2021","Declared non-disabled","Commercial","SCS","60","60","90190","83090"
"In post","2021","Declared non-disabled","Commercial","SEO/HEO","1970","1910","37800","37320"
"In post","2021","Declared non-disabled","Commercial","Unknown","150","150","38350","35230"
"In post","2021","Declared non-disabled","Communications","AA/AO","150","140","22170","21590"
"In post","2021","Declared non-disabled","Communications","EO","370","350","27540","26930"
"In post","2021","Declared non-disabled","Communications","G6/G7","620","590","58160","57290"
"In post","2021","Declared non-disabled","Communications","SCS","80","70","85920","80790"
"In post","2021","Declared non-disabled","Communications","SEO/HEO","1330","1300","38020","37420"
"In post","2021","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","G6/G7","60","50","57430","56350"
"In post","2021","Declared non-disabled","Corporate Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Corporate Finance","SEO/HEO","50","50","36890","37510"
"In post","2021","Declared non-disabled","Counter Fraud","AA/AO","50","40","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","EO","130","120","26470","25580"
"In post","2021","Declared non-disabled","Counter Fraud","G6/G7","80","80","61800","58990"
"In post","2021","Declared non-disabled","Counter Fraud","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","SEO/HEO","350","330","38240","39170"
"In post","2021","Declared non-disabled","Digital, Data and Technology","AA/AO","260","250","21850","21580"
"In post","2021","Declared non-disabled","Digital, Data and Technology","EO","1260","1210","27500","26670"
"In post","2021","Declared non-disabled","Digital, Data and Technology","G6/G7","2290","2250","58440","57110"
"In post","2021","Declared non-disabled","Digital, Data and Technology","SCS","150","150","92430","86950"
"In post","2021","Declared non-disabled","Digital, Data and Technology","SEO/HEO","4380","4250","37970","37940"
"In post","2021","Declared non-disabled","Digital, Data and Technology","Unknown","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Economics","AA/AO","50","50","23780","23760"
"In post","2021","Declared non-disabled","Economics","EO","60","60","27390","27680"
"In post","2021","Declared non-disabled","Economics","G6/G7","660","640","60070","58960"
"In post","2021","Declared non-disabled","Economics","SCS","80","70","88190","81770"
"In post","2021","Declared non-disabled","Economics","SEO/HEO","550","550","35160","34090"
"In post","2021","Declared non-disabled","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Finance","AA/AO","730","620","21510","21440"
"In post","2021","Declared non-disabled","Finance","EO","1150","1080","26570","26670"
"In post","2021","Declared non-disabled","Finance","G6/G7","1580","1540","59390","58130"
"In post","2021","Declared non-disabled","Finance","SCS","220","220","90150","82940"
"In post","2021","Declared non-disabled","Finance","SEO/HEO","2680","2580","37970","37410"
"In post","2021","Declared non-disabled","Finance","Unknown","110","100","40890","39860"
"In post","2021","Declared non-disabled","Human Resources","AA/AO","790","730","21630","21130"
"In post","2021","Declared non-disabled","Human Resources","EO","860","800","26960","26670"
"In post","2021","Declared non-disabled","Human Resources","G6/G7","1190","1150","58430","57460"
"In post","2021","Declared non-disabled","Human Resources","SCS","140","140","89860","83680"
"In post","2021","Declared non-disabled","Human Resources","SEO/HEO","2300","2190","36830","36330"
"In post","2021","Declared non-disabled","Human Resources","Unknown","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","G6/G7","460","450","75630","75500"
"In post","2021","Declared non-disabled","Inspector of Education and Training","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Inspector of Education and Training","SEO/HEO","250","240","50940","51360"
"In post","2021","Declared non-disabled","Intelligence Analysis","AA/AO","110","100","23240","21710"
"In post","2021","Declared non-disabled","Intelligence Analysis","EO","1170","1110","27700","27370"
"In post","2021","Declared non-disabled","Intelligence Analysis","G6/G7","210","200","58480","58230"
"In post","2021","Declared non-disabled","Intelligence Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Intelligence Analysis","SEO/HEO","900","880","36960","36150"
"In post","2021","Declared non-disabled","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","EO","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","G6/G7","150","150","58570","56610"
"In post","2021","Declared non-disabled","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","SEO/HEO","360","340","40800","40700"
"In post","2021","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","International Trade","EO","50","50","26990","26510"
"In post","2021","Declared non-disabled","International Trade","G6/G7","320","320","56150","53600"
"In post","2021","Declared non-disabled","International Trade","SCS","70","70","83590","75570"
"In post","2021","Declared non-disabled","International Trade","SEO/HEO","330","320","35490","35040"
"In post","2021","Declared non-disabled","Knowledge and Information Management","AA/AO","230","220","22130","21130"
"In post","2021","Declared non-disabled","Knowledge and Information Management","EO","340","320","26960","26670"
"In post","2021","Declared non-disabled","Knowledge and Information Management","G6/G7","270","260","57580","55060"
"In post","2021","Declared non-disabled","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Knowledge and Information Management","SEO/HEO","720","690","36620","36500"
"In post","2021","Declared non-disabled","Knowledge and Information Management","Unknown","40","30","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","AA/AO","170","150","21580","21440"
"In post","2021","Declared non-disabled","Legal","EO","1130","1090","27470","26030"
"In post","2021","Declared non-disabled","Legal","G6/G7","4250","3930","59550","58470"
"In post","2021","Declared non-disabled","Legal","SCS","280","270","88550","83230"
"In post","2021","Declared non-disabled","Legal","SEO/HEO","2320","2160","39040","38000"
"In post","2021","Declared non-disabled","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Medicine","AA/AO","220","210","22600","22640"
"In post","2021","Declared non-disabled","Medicine","EO","220","200","30570","30620"
"In post","2021","Declared non-disabled","Medicine","G6/G7","430","380","73840","74470"
"In post","2021","Declared non-disabled","Medicine","SCS","220","190","102310","97870"
"In post","2021","Declared non-disabled","Medicine","SEO/HEO","460","420","38810","37890"
"In post","2021","Declared non-disabled","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Delivery","AA/AO","48780","43770","23010","21440"
"In post","2021","Declared non-disabled","Operational Delivery","EO","29280","27030","27300","26750"
"In post","2021","Declared non-disabled","Operational Delivery","G6/G7","4740","4610","58690","56540"
"In post","2021","Declared non-disabled","Operational Delivery","SCS","500","480","90960","83790"
"In post","2021","Declared non-disabled","Operational Delivery","SEO/HEO","21100","20090","36650","35200"
"In post","2021","Declared non-disabled","Operational Delivery","Unknown","8680","8030","30220","30210"
"In post","2021","Declared non-disabled","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Research","EO","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Research","G6/G7","350","330","54250","53810"
"In post","2021","Declared non-disabled","Operational Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Operational Research","SEO/HEO","360","350","36740","37320"
"In post","2021","Declared non-disabled","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other","AA/AO","5190","4950","21040","20920"
"In post","2021","Declared non-disabled","Other","EO","3420","3250","26200","26670"
"In post","2021","Declared non-disabled","Other","G6/G7","1410","1370","62010","59420"
"In post","2021","Declared non-disabled","Other","SCS","190","190","95190","86190"
"In post","2021","Declared non-disabled","Other","SEO/HEO","3720","3600","35620","35070"
"In post","2021","Declared non-disabled","Other","Unknown","150","150","43770","40620"
"In post","2021","Declared non-disabled","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Planning","G6/G7","50","50","57950","57110"
"In post","2021","Declared non-disabled","Planning","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Planning","SEO/HEO","80","80","39230","39600"
"In post","2021","Declared non-disabled","Planning Inspectors","G6/G7","250","220","58050","58810"
"In post","2021","Declared non-disabled","Planning Inspectors","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Policy","AA/AO","530","510","23500","23830"
"In post","2021","Declared non-disabled","Policy","EO","1700","1650","28460","28680"
"In post","2021","Declared non-disabled","Policy","G6/G7","7880","7640","58700","57460"
"In post","2021","Declared non-disabled","Policy","SCS","1380","1330","85080","77570"
"In post","2021","Declared non-disabled","Policy","SEO/HEO","8200","7980","37550","36980"
"In post","2021","Declared non-disabled","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Project Delivery","AA/AO","220","200","21710","21130"
"In post","2021","Declared non-disabled","Project Delivery","EO","1320","1270","26510","26670"
"In post","2021","Declared non-disabled","Project Delivery","G6/G7","3150","3080","56960","54880"
"In post","2021","Declared non-disabled","Project Delivery","SCS","340","330","91960","85140"
"In post","2021","Declared non-disabled","Project Delivery","SEO/HEO","6030","5840","36830","37320"
"In post","2021","Declared non-disabled","Project Delivery","Unknown","400","390","42990","40460"
"In post","2021","Declared non-disabled","Property","AA/AO","620","580","19930","19560"
"In post","2021","Declared non-disabled","Property","EO","1000","940","27090","26670"
"In post","2021","Declared non-disabled","Property","G6/G7","870","850","58400","56540"
"In post","2021","Declared non-disabled","Property","SCS","50","50","89350","79420"
"In post","2021","Declared non-disabled","Property","SEO/HEO","2240","2150","37300","36400"
"In post","2021","Declared non-disabled","Property","Unknown","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Psychology","AA/AO","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Psychology","EO","290","280","26380","26330"
"In post","2021","Declared non-disabled","Psychology","G6/G7","90","80","65200","65520"
"In post","2021","Declared non-disabled","Psychology","SEO/HEO","590","570","37310","32730"
"In post","2021","Declared non-disabled","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Science and Engineering","AA/AO","930","900","21790","21580"
"In post","2021","Declared non-disabled","Science and Engineering","EO","1350","1310","25900","26370"
"In post","2021","Declared non-disabled","Science and Engineering","G6/G7","2020","1920","55880","54740"
"In post","2021","Declared non-disabled","Science and Engineering","SCS","100","80","94260","91000"
"In post","2021","Declared non-disabled","Science and Engineering","SEO/HEO","4620","4420","37140","37320"
"In post","2021","Declared non-disabled","Science and Engineering","Unknown","560","560","39240","37210"
"In post","2021","Declared non-disabled","Security","AA/AO","3320","3240","25820","21150"
"In post","2021","Declared non-disabled","Security","EO","720","700","32780","28960"
"In post","2021","Declared non-disabled","Security","G6/G7","230","220","60360","57720"
"In post","2021","Declared non-disabled","Security","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Security","SEO/HEO","890","870","40520","38160"
"In post","2021","Declared non-disabled","Security","Unknown","60","60","38360","37170"
"In post","2021","Declared non-disabled","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Social Research","EO","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Social Research","G6/G7","250","230","56850","57460"
"In post","2021","Declared non-disabled","Social Research","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Social Research","SEO/HEO","450","420","39110","38630"
"In post","2021","Declared non-disabled","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Statistics","EO","170","160","27950","27850"
"In post","2021","Declared non-disabled","Statistics","G6/G7","480","460","57230","57720"
"In post","2021","Declared non-disabled","Statistics","SCS","40","40","[c]","[c]"
"In post","2021","Declared non-disabled","Statistics","SEO/HEO","640","620","37280","37020"
"In post","2021","Declared non-disabled","Tax","AA/AO","1310","1220","20320","20140"
"In post","2021","Declared non-disabled","Tax","EO","2060","1900","26620","25560"
"In post","2021","Declared non-disabled","Tax","G6/G7","1890","1810","56970","52580"
"In post","2021","Declared non-disabled","Tax","SCS","70","70","82110","78210"
"In post","2021","Declared non-disabled","Tax","SEO/HEO","4420","4180","34610","31870"
"In post","2021","Declared non-disabled","Unknown","AA/AO","24640","21290","21290","21010"
"In post","2021","Declared non-disabled","Unknown","EO","38760","35210","28090","27570"
"In post","2021","Declared non-disabled","Unknown","G6/G7","6170","5960","59130","57530"
"In post","2021","Declared non-disabled","Unknown","SCS","930","910","93780","83230"
"In post","2021","Declared non-disabled","Unknown","SEO/HEO","13700","13080","35900","35000"
"In post","2021","Declared non-disabled","Unknown","Unknown","210","210","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinarian","G6/G7","110","110","55400","54320"
"In post","2021","Declared non-disabled","Veterinarian","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Veterinarian","SEO/HEO","220","210","41140","37910"
"In post","2021","Undeclared","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","EO","50","40","[c]","[c]"
"In post","2021","Undeclared","Commercial","G6/G7","70","70","62400","58440"
"In post","2021","Undeclared","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","SEO/HEO","200","200","39970","39990"
"In post","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","G6/G7","50","50","[c]","[c]"
