"Status","Year","Region_ITL3","Profession_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Antrim and Newtownabbey","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other","AA/AO","60","50","20440","20310"
"In post","2021","Antrim and Newtownabbey","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","AA/AO","70","70","20810","20310"
"In post","2021","Antrim and Newtownabbey","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Medicine","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Other","AA/AO","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Science and Engineering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","AA/AO","90","90","20890","20310"
"In post","2021","Ards and North Down","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Operational Delivery","AA/AO","60","50","22000","22450"
"In post","2021","Barking & Dagenham and Havering","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Operational Delivery","Unknown","50","40","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","AA/AO","60","50","24610","25110"
"In post","2021","Barking & Dagenham and Havering","Unknown","EO","360","330","31050","31060"
"In post","2021","Barking & Dagenham and Havering","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Barnet","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data and Technology","G6/G7","40","40","[c]","[c]"
"In post","2021","Barnet","Digital, Data and Technology","SEO/HEO","100","100","41940","41980"
"In post","2021","Barnet","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Medicine","SCS","40","30","[c]","[c]"
"In post","2021","Barnet","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Operational Delivery","AA/AO","110","100","22940","22720"
"In post","2021","Barnet","Operational Delivery","EO","110","100","29420","30350"
"In post","2021","Barnet","Operational Delivery","G6/G7","80","80","57140","54230"
"In post","2021","Barnet","Operational Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Operational Delivery","SEO/HEO","150","140","37360","37190"
"In post","2021","Barnet","Operational Delivery","Unknown","50","40","[c]","[c]"
"In post","2021","Barnet","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Science and Engineering","AA/AO","90","80","24260","23800"
"In post","2021","Barnet","Science and Engineering","EO","70","60","27800","27150"
"In post","2021","Barnet","Science and Engineering","G6/G7","140","140","60040","55960"
"In post","2021","Barnet","Science and Engineering","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Science and Engineering","SEO/HEO","240","230","38790","40070"
"In post","2021","Barnet","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","AA/AO","50","40","[c]","[c]"
"In post","2021","Barnet","Unknown","EO","230","210","31140","31060"
"In post","2021","Barnet","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Medicine","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Operational Delivery","AA/AO","880","810","24610","24120"
"In post","2021","Barnsley, Doncaster and Rotherham","Operational Delivery","EO","200","190","29420","27380"
"In post","2021","Barnsley, Doncaster and Rotherham","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Operational Delivery","SEO/HEO","140","130","39310","37450"
"In post","2021","Barnsley, Doncaster and Rotherham","Operational Delivery","Unknown","210","180","29460","30210"
"In post","2021","Barnsley, Doncaster and Rotherham","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Psychology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","EO","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","AA/AO","600","500","20790","21010"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","EO","660","560","27480","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","SEO/HEO","100","90","33270","32250"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","EO","150","140","23370","23000"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","G6/G7","210","200","58520","55360"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","SEO/HEO","640","620","35750","34800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Unknown","130","130","38520","36040"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","EO","50","50","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","G6/G7","80","70","58890","57650"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","SEO/HEO","240","230","38960","40460"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","EO","190","180","23040","23350"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","G6/G7","140","140","61790","58800"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","SEO/HEO","330","310","38570","39100"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Finance","Unknown","110","100","42160","39980"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","AA/AO","110","100","21110","20920"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","EO","90","80","24430","25460"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","G6/G7","60","60","58700","55080"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","SEO/HEO","160","150","35180","33690"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","SEO/HEO","130","130","33960","33300"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Knowledge and Information Management","Unknown","50","50","46020","42820"
