"Status","Year","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","9840","9170","45080","48080"
"In post","2021","Cabinet Office","9460","9280","46670","38230"
"In post","2021","Chancellor's other departments","410","390","58670","49690"
"In post","2021","Charity Commission","440","420","34850","29160"
"In post","2021","Competition and Markets Authority","840","820","60550","56360"
"In post","2021","Department for Business, Energy and Industrial Strategy","13160","12630","41160","39490"
"In post","2021","Department for Digital, Culture, Media and Sport","1780","1750","49140","51730"
"In post","2021","Department for Education","7930","7660","43800","40230"
"In post","2021","Department for Environment, Food and Rural Affairs","11040","10470","36010","32560"
"In post","2021","Department for International Trade","2690","2660","45830","39930"
"In post","2021","Department for Transport","15970","14810","32910","26780"
"In post","2021","Department for Work and Pensions","93530","83830","28080","27570"
"In post","2021","Department of Health and Social Care","11760","11040","45220","40070"
"In post","2021","ESTYN","110","100","58000","74730"
"In post","2021","Food Standards Agency","1310","1280","37260","32830"
"In post","2021","Foreign, Commonwealth and Development Office","8640","8450","47410","42760"
"In post","2021","HM Land Registry","6350","5770","31090","27130"
"In post","2021","HM Revenue and Customs","66480","61090","31310","27400"
"In post","2021","HM Treasury","2670","2600","48130","48780"
"In post","2021","Home Office","35370","32870","31970","27370"
"In post","2021","Ministry of Defence","57680","55790","34080","32670"
"In post","2021","Ministry of Housing, Communities and Local Government","3400","3260","45280","41350"
"In post","2021","Ministry of Justice","78890","73960","29680","26810"
"In post","2021","National Crime Agency","5480","5350","40070","37560"
"In post","2021","Northern Ireland Office","160","160","43930","37690"
"In post","2021","Office for Standards in Education","1780","1710","49320","51360"
"In post","2021","Office of Gas and Electricity Markets","1180","1160","44810","38550"
"In post","2021","Office of Qualifications and Examinations Regulation","260","250","45520","40580"
"In post","2021","Office of Rail and Road","330","320","54170","55210"
"In post","2021","Other Cabinet Office Agencies","1000","970","40180","35420"
"In post","2021","Scotland Office","120","110","47990","46600"
"In post","2021","Scottish Government","22230","21040","36580","33620"
"In post","2021","The National Archives","540","520","35580","33330"
"In post","2021","UK Export Finance","400","390","53500","48830"
"In post","2021","UK Supreme Court","60","50","38600","35150"
"In post","2021","United Kingdom Statistics Authority","5550","4960","32530","29540"
"In post","2021","Wales Office","40","40","[c]","[c]"
"In post","2021","Water Services Regulation Authority","250","240","56120","50170"
"In post","2021","Welsh Government","5780","5460","41050","37410"
"In post","2022","Attorney General's Departments","10210","9530","45050","48080"
"In post","2022","Cabinet Office","11050","10840","46800","40580"
"In post","2022","Chancellor's other departments","420","410","58830","50000"
"In post","2022","Charity Commission","470","440","34000","29160"
"In post","2022","Competition and Markets Authority","860","830","61280","57000"
"In post","2022","Department for Business, Energy and Industrial Strategy","14080","13500","41540","39650"
"In post","2022","Department for Digital, Culture, Media and Sport","2010","1980","46970","51730"
"In post","2022","Department for Education","8700","8390","43560","40230"
"In post","2022","Department for Environment, Food and Rural Affairs","12780","12160","35790","32560"
"In post","2022","Department for International Trade","2880","2850","46590","42310"
"In post","2022","Department for Levelling Up, Housing and Communities","4160","4000","45140","40720"
"In post","2022","Department for Transport","16390","15250","33220","26840"
"In post","2022","Department for Work and Pensions","94160","84660","28510","27570"
"In post","2022","Department of Health and Social Care","11810","11190","45200","40470"
"In post","2022","Estyn","110","110","59220","75480"
"In post","2022","Food Standards Agency","1460","1420","37600","32830"
"In post","2022","Foreign, Commonwealth and Development Office","8240","8060","47890","44030"
"In post","2022","HM Land Registry","6630","6040","31310","27130"
"In post","2022","HM Revenue and Customs","71370","66330","33400","30750"
"In post","2022","HM Treasury","2770","2690","48300","49200"
"In post","2022","Home Office","36540","34230","32660","28650"
"In post","2022","Ministry of Defence","57830","55900","34720","33000"
"In post","2022","Ministry of Justice","86900","81480","30460","27960"
"In post","2022","National Crime Agency","5550","5400","40690","37860"
"In post","2022","Northern Ireland Office","180","180","46380","41750"
"In post","2022","Office for Standards in Education, Children's Services and Skills","1830","1760","50310","51360"
"In post","2022","Office of Gas and Electricity Markets","1350","1330","43480","37120"
"In post","2022","Office of Qualifications and Examinations Regulation","290","280","44640","40190"
"In post","2022","Office of Rail and Road","350","340","54060","54890"
"In post","2022","Office of the Secretary of State for Scotland","120","110","48480","47490"
"In post","2022","Office of the Secretary of State for Wales","50","40","[c]","[c]"
"In post","2022","Scottish Government","25330","24090","37340","33070"
"In post","2022","The National Archives","580","550","35710","33500"
"In post","2022","UK Export Finance","500","490","52780","48000"
"In post","2022","UK Statistics Authority","5880","5270","33790","30710"
"In post","2022","UK Supreme Court","50","50","38660","31960"
"In post","2022","Water Services Regulation Authority","260","250","54620","48720"
"In post","2022","Welsh Government","5970","5640","41950","38160"
"Leaver CS","2021","Attorney General's Departments","410","370","47290","51250"
"Leaver CS","2021","Cabinet Office","380","370","47670","36000"
"Leaver CS","2021","Chancellor's other departments","40","30","[c]","[c]"
"Leaver CS","2021","Charity Commission","30","30","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","80","80","53210","46510"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","500","470","40200","33570"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","80","80","[c]","[c]"
"Leaver CS","2021","Department for Education","360","340","43340","38910"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","550","520","33460","27830"
"Leaver CS","2021","Department for International Trade","150","140","38160","32000"
"Leaver CS","2021","Department for Transport","720","610","30060","26380"
"Leaver CS","2021","Department for Work and Pensions","4520","3840","26920","26890"
"Leaver CS","2021","Department of Health and Social Care","1030","770","41160","34530"
"Leaver CS","2021","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","50","50","37120","35010"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","280","150","44340","40640"
"Leaver CS","2021","HM Land Registry","270","220","31660","27130"
"Leaver CS","2021","HM Revenue and Customs","5700","4790","29810","25900"
"Leaver CS","2021","HM Treasury","130","120","[c]","[c]"
"Leaver CS","2021","Home Office","1330","1160","30350","25990"
"Leaver CS","2021","Ministry of Defence","3220","3040","32170","29200"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","150","140","41890","39600"
"Leaver CS","2021","Ministry of Justice","5870","5310","26100","20770"
"Leaver CS","2021","National Crime Agency","180","170","43800","40210"
"Leaver CS","2021","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","130","120","52150","51360"
"Leaver CS","2021","Office of Gas and Electricity Markets","80","80","43720","36980"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","50","50","41630","40000"
"Leaver CS","2021","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","940","850","35240","30650"
"Leaver CS","2021","The National Archives","30","30","[c]","[c]"
"Leaver CS","2021","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","300","250","28650","22590"
"Leaver CS","2021","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","30","30","[c]","[c]"
"Leaver CS","2021","Welsh Government","140","130","43150","37410"
"Leaver CS","2022","Attorney General's Departments","670","600","44100","43920"
"Leaver CS","2022","Cabinet Office","820","790","49550","40600"
"Leaver CS","2022","Chancellor's other departments","50","50","51500","45580"
"Leaver CS","2022","Charity Commission","60","60","35540","29230"
"Leaver CS","2022","Competition and Markets Authority","100","90","52500","53530"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","840","750","38560","34500"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","160","150","41960","36000"
"Leaver CS","2022","Department for Education","450","440","41810","36780"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","940","880","29090","24920"
"Leaver CS","2022","Department for International Trade","220","220","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","240","230","42680","39600"
"Leaver CS","2022","Department for Transport","1280","1150","31200","26780"
"Leaver CS","2022","Department for Work and Pensions","8870","7800","27310","27570"
"Leaver CS","2022","Department of Health and Social Care","3210","2400","43000","37490"
"Leaver CS","2022","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","80","80","34070","30810"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","410","200","47160","41160"
"Leaver CS","2022","HM Land Registry","410","350","32960","27130"
"Leaver CS","2022","HM Revenue and Customs","4970","4190","30720","26000"
"Leaver CS","2022","HM Treasury","250","240","[c]","[c]"
"Leaver CS","2022","Home Office","2090","1800","31930","27370"
"Leaver CS","2022","Ministry of Defence","5040","4760","32590","29350"
"Leaver CS","2022","Ministry of Justice","9780","8980","27010","21410"
"Leaver CS","2022","National Crime Agency","320","310","42450","39840"
"Leaver CS","2022","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","190","180","52800","51360"
"Leaver CS","2022","Office of Gas and Electricity Markets","240","230","45710","38280"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","30","30","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Government","1430","1290","35530","30690"
"Leaver CS","2022","The National Archives","70","60","31730","28460"
"Leaver CS","2022","UK Export Finance","50","50","[c]","[c]"
"Leaver CS","2022","UK Statistics Authority","580","490","28270","23630"
"Leaver CS","2022","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Water Services Regulation Authority","50","50","[c]","[c]"
"Leaver CS","2022","Welsh Government","250","220","42710","37410"
"Leaver Dept.","2021","Attorney General's Departments","190","190","43480","39750"
"Leaver Dept.","2021","Cabinet Office","1390","1380","39830","32320"
"Leaver Dept.","2021","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy","630","590","43440","39340"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","200","200","46890","49600"
"Leaver Dept.","2021","Department for Education","270","260","42780","37770"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs","540","530","38220","34700"
"Leaver Dept.","2021","Department for International Trade","270","270","43340","38540"
"Leaver Dept.","2021","Department for Transport","400","390","37080","34700"
"Leaver Dept.","2021","Department for Work and Pensions","1390","1340","30410","27570"
"Leaver Dept.","2021","Department of Health and Social Care","230","60","47800","52390"
"Leaver Dept.","2021","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","40","40","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office","350","90","50240","50490"
"Leaver Dept.","2021","HM Revenue and Customs","1700","1640","34200","26500"
"Leaver Dept.","2021","HM Treasury","150","150","[c]","[c]"
