"Status","Year","Sex","Sexual_orientation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Heterosexual / straight","East Midlands (England)","8070","7240","29010","27130"
"In post","2021","Female","Heterosexual / straight","East of England","8520","7710","29650","27570"
"In post","2021","Female","Heterosexual / straight","London","36890","34860","42260","36360"
"In post","2021","Female","Heterosexual / straight","North East (England)","11860","10290","27940","25560"
"In post","2021","Female","Heterosexual / straight","North West (England)","23050","20690","29180","27370"
"In post","2021","Female","Heterosexual / straight","Northern Ireland","1220","1110","29200","25560"
"In post","2021","Female","Heterosexual / straight","Overseas","950","940","49570","50940"
"In post","2021","Female","Heterosexual / straight","Scotland","15510","14030","32150","27570"
"In post","2021","Female","Heterosexual / straight","South East (England)","14990","13570","30210","27570"
"In post","2021","Female","Heterosexual / straight","South West (England)","14940","13570","32110","27570"
"In post","2021","Female","Heterosexual / straight","Unknown","560","520","32640","27570"
"In post","2021","Female","Heterosexual / straight","Wales","14010","12590","30500","27570"
"In post","2021","Female","Heterosexual / straight","West Midlands (England)","11780","10630","29640","27570"
"In post","2021","Female","Heterosexual / straight","Yorkshire and The Humber","13640","12140","30760","27570"
"In post","2021","Female","LGBO","East Midlands (England)","440","420","29140","27570"
"In post","2021","Female","LGBO","East of England","410","390","29020","27570"
"In post","2021","Female","LGBO","London","2130","2080","42250","36650"
"In post","2021","Female","LGBO","North East (England)","510","480","27790","25560"
"In post","2021","Female","LGBO","North West (England)","1090","1040","28910","26550"
"In post","2021","Female","LGBO","Northern Ireland","50","40","[c]","[c]"
"In post","2021","Female","LGBO","Overseas","50","50","47100","41460"
"In post","2021","Female","LGBO","Scotland","770","740","31780","27570"
"In post","2021","Female","LGBO","South East (England)","890","850","29420","27620"
"In post","2021","Female","LGBO","South West (England)","750","720","30220","27570"
"In post","2021","Female","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Wales","620","600","29180","26210"
"In post","2021","Female","LGBO","West Midlands (England)","530","500","29160","26810"
"In post","2021","Female","LGBO","Yorkshire and The Humber","780","750","30560","27570"
"In post","2021","Female","Undeclared","East Midlands (England)","1120","990","28720","27130"
"In post","2021","Female","Undeclared","East of England","1100","980","29620","27570"
"In post","2021","Female","Undeclared","London","4650","4350","40830","35200"
"In post","2021","Female","Undeclared","North East (England)","1170","990","27330","24880"
"In post","2021","Female","Undeclared","North West (England)","2520","2210","28600","27130"
"In post","2021","Female","Undeclared","Northern Ireland","90","80","27940","25560"
"In post","2021","Female","Undeclared","Overseas","140","140","45590","40330"
"In post","2021","Female","Undeclared","Scotland","2640","2330","28950","26480"
"In post","2021","Female","Undeclared","South East (England)","2030","1820","30560","27570"
"In post","2021","Female","Undeclared","South West (England)","2010","1800","32950","29200"
"In post","2021","Female","Undeclared","Unknown","70","60","31870","27570"
"In post","2021","Female","Undeclared","Wales","2270","1890","28270","23830"
"In post","2021","Female","Undeclared","West Midlands (England)","1380","1220","29070","27130"
"In post","2021","Female","Undeclared","Yorkshire and The Humber","1600","1400","29640","27570"
"In post","2021","Female","Unknown","East Midlands (England)","2390","2100","27480","25780"
"In post","2021","Female","Unknown","East of England","2140","1870","29810","27570"
"In post","2021","Female","Unknown","London","11590","10900","41280","34550"
"In post","2021","Female","Unknown","North East (England)","4520","3760","25210","21440"
"In post","2021","Female","Unknown","North West (England)","7470","6480","26900","25430"
"In post","2021","Female","Unknown","Northern Ireland","400","360","26260","21730"
"In post","2021","Female","Unknown","Overseas","360","360","49730","46620"
"In post","2021","Female","Unknown","Scotland","6740","6000","29820","26120"
"In post","2021","Female","Unknown","South East (England)","3400","2970","29840","27570"
"In post","2021","Female","Unknown","South West (England)","3740","3280","31640","27570"
"In post","2021","Female","Unknown","Unknown","550","520","33680","30780"
"In post","2021","Female","Unknown","Wales","3760","3280","26830","23320"
"In post","2021","Female","Unknown","West Midlands (England)","3800","3330","28310","26120"
"In post","2021","Female","Unknown","Yorkshire and The Humber","4040","3560","29890","27570"
"In post","2021","Male","Heterosexual / straight","East Midlands (England)","6070","5880","31200","27570"
"In post","2021","Male","Heterosexual / straight","East of England","7100","6850","32230","29290"
"In post","2021","Male","Heterosexual / straight","London","29410","28870","45100","39600"
"In post","2021","Male","Heterosexual / straight","North East (England)","7770","7440","30110","27570"
"In post","2021","Male","Heterosexual / straight","North West (England)","15930","15400","31120","27570"
"In post","2021","Male","Heterosexual / straight","Northern Ireland","1400","1360","28070","25040"
"In post","2021","Male","Heterosexual / straight","Overseas","1550","1550","50130","49640"
"In post","2021","Male","Heterosexual / straight","Scotland","12270","11850","34260","30160"
"In post","2021","Male","Heterosexual / straight","South East (England)","13950","13420","32890","29810"
