"Status","Year","Organisation","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","Operational Delivery","370","340","27990","25670"
"In post","2021","Animal and Plant Health Agency","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","Science and Engineering","150","140","33340","29180"
"In post","2021","Animal and Plant Health Agency","40-49","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","40-49","Veterinarian","130","130","42810","37910"
"In post","2021","Animal and Plant Health Agency","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","Operational Delivery","410","390","28290","26520"
"In post","2021","Animal and Plant Health Agency","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","Science and Engineering","210","200","34060","29980"
"In post","2021","Animal and Plant Health Agency","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","50-59","Veterinarian","80","80","51450","51760"
"In post","2021","Animal and Plant Health Agency","60-64","Operational Delivery","120","110","28400","26520"
"In post","2021","Animal and Plant Health Agency","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","Science and Engineering","60","50","31920","29180"
"In post","2021","Animal and Plant Health Agency","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","60-64","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","Operational Delivery","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","65+","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","20-29","Unknown","3370","3360","33940","29250"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","30-39","Unknown","2330","2280","49130","54700"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","40-49","Unknown","1820","1770","58250","54700"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","50-59","Unknown","1490","1460","56990","52920"
"In post","2021","Cabinet Office (excl. agencies)","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","60-64","Unknown","260","230","50230","38420"
"In post","2021","Cabinet Office (excl. agencies)","65+","Unknown","50","50","50180","35100"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","20-29","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","20-29","Science and Engineering","60","60","25270","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","30-39","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","30-39","Science and Engineering","150","140","31340","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","40-49","Science and Engineering","130","120","35610","30860"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","50-59","Science and Engineering","110","100","38530","37280"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","60-64","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","60-64","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","60-64","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","65+","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","20-29","Unknown","30","30","[c]","[c]"
"In post","2021","Charity Commission","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","30-39","Unknown","50","50","[c]","[c]"
"In post","2021","Charity Commission","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","40-49","Unknown","60","60","33890","29160"
"In post","2021","Charity Commission","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","50-59","Unknown","60","60","34700","29160"
"In post","2021","Charity Commission","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Other","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","16-19","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Digital, Data and Technology","40","40","[c]","[c]"
"In post","2021","Companies House","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Operational Delivery","60","60","21320","19850"
"In post","2021","Companies House","20-29","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Digital, Data and Technology","70","60","37760","38000"
"In post","2021","Companies House","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Operational Delivery","110","100","23900","22490"
"In post","2021","Companies House","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Digital, Data and Technology","80","80","41570","38000"
"In post","2021","Companies House","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Operational Delivery","110","100","25930","22490"
"In post","2021","Companies House","40-49","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Digital, Data and Technology","50","50","40080","38000"
"In post","2021","Companies House","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Operational Delivery","200","180","25940","22490"
"In post","2021","Companies House","50-59","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","50-59","Security","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","60-64","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","60-64","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","60-64","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","60-64","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","60-64","Operational Delivery","60","50","23670","22490"
"In post","2021","Companies House","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","60-64","Property","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
