"Status","Year","Organisation","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","30-39","Unknown","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","40-49","Unknown","40","30","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","50-59","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","65+","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","16-19","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Operational Delivery","100","90","25550","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Operational Delivery","200","190","29310","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Operational Delivery","210","200","30900","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Operational Delivery","290","280","33820","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Operational Delivery","70","60","35270","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Operational Delivery","30","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","65+","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Operational Delivery","340","330","24830","24920"
"In post","2021","Animal and Plant Health Agency","20-29","Science and Engineering","100","100","26630","24370"
"In post","2021","Animal and Plant Health Agency","20-29","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","20-29","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","Operational Delivery","290","270","26270","24920"
"In post","2021","Animal and Plant Health Agency","30-39","Other","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","Science and Engineering","110","100","30210","28270"
"In post","2021","Animal and Plant Health Agency","30-39","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","30-39","Veterinarian","90","90","38290","37240"
