"Status","Year","Parent_department","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Declared disabled","60","50","35350","28430"
"In post","2021","Attorney General's Departments","East Midlands (England)","Declared non-disabled","280","250","40700","38760"
"In post","2021","Attorney General's Departments","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Unknown","110","100","33780","27470"
"In post","2021","Attorney General's Departments","East of England","Declared disabled","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Declared non-disabled","340","300","42160","36240"
"In post","2021","Attorney General's Departments","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Unknown","90","90","33550","26970"
"In post","2021","Attorney General's Departments","London","Declared disabled","380","360","49660","51250"
"In post","2021","Attorney General's Departments","London","Declared non-disabled","3290","3090","50320","51250"
"In post","2021","Attorney General's Departments","London","Undeclared","130","120","55510","56320"
"In post","2021","Attorney General's Departments","London","Unknown","890","840","48120","50520"
"In post","2021","Attorney General's Departments","North East (England)","Declared disabled","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Declared non-disabled","230","210","39800","34480"
"In post","2021","Attorney General's Departments","North East (England)","Unknown","70","60","33730","28430"
"In post","2021","Attorney General's Departments","North West (England)","Declared disabled","110","100","39930","32680"
"In post","2021","Attorney General's Departments","North West (England)","Declared non-disabled","670","620","40090","33310"
"In post","2021","Attorney General's Departments","North West (England)","Unknown","190","180","37540","38000"
"In post","2021","Attorney General's Departments","Overseas","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Declared disabled","60","60","45590","44320"
"In post","2021","Attorney General's Departments","South East (England)","Declared non-disabled","420","390","44150","39750"
"In post","2021","Attorney General's Departments","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Unknown","210","200","37330","30240"
"In post","2021","Attorney General's Departments","South West (England)","Declared disabled","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Declared non-disabled","220","200","42250","48080"
"In post","2021","Attorney General's Departments","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South West (England)","Unknown","70","70","40560","38000"
"In post","2021","Attorney General's Departments","Wales","Declared disabled","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Wales","Declared non-disabled","260","240","41740","38760"
"In post","2021","Attorney General's Departments","Wales","Unknown","70","60","39530","38000"
"In post","2021","Attorney General's Departments","West Midlands (England)","Declared disabled","50","50","41270","42090"
"In post","2021","Attorney General's Departments","West Midlands (England)","Declared non-disabled","360","330","40730","38000"
"In post","2021","Attorney General's Departments","West Midlands (England)","Unknown","140","140","37710","36240"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Declared disabled","110","100","43240","38760"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Declared non-disabled","710","640","43310","48080"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Yorkshire and The Humber","Unknown","170","160","36490","30130"
"In post","2021","Cabinet Office","East Midlands (England)","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","East Midlands (England)","Declared non-disabled","[c]","[c]","[c]","[c]"
