"Status","Year","Profession_of_post","Region_ITL3","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","1160","1110","39660","37400"
"In post","2021","Commercial","Bedford","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","West Midlands (England)","70","70","39140","36740"
"In post","2021","Commercial","Blackpool","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","South West (England)","80","80","39830","39230"
"In post","2021","Commercial","Buckinghamshire CC","South East (England)","50","50","36230","36800"
"In post","2021","Commercial","Cambridgeshire CC","East of England","60","60","36180","34800"
"In post","2021","Commercial","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Bedfordshire","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","South East (England)","140","130","34720","34800"
"In post","2021","Commercial","Central Valleys","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","City of Edinburgh","Scotland","50","50","36660","34190"
"In post","2021","Commercial","Clackmannanshire and Fife","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Conwy and Denbighshire","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","West Midlands (England)","60","60","38450","37100"
"In post","2021","Commercial","Croydon","London","150","140","43970","43420"
"In post","2021","Commercial","Darlington","North East (England)","50","50","40700","37100"
"In post","2021","Commercial","Derby","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","South West (England)","200","190","42960","40140"
"In post","2021","Commercial","Dorset CC","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dudley","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Surrey","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Enfield","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Glasgow City","Scotland","90","90","35010","33300"
"In post","2021","Commercial","Gloucestershire","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South East","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","North West (England)","70","70","39740","38630"
"In post","2021","Commercial","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heart of Essex","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","London","60","50","35920","28460"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inverness and Nairn and Moray, Badenoch and Strathspey","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Anglesey","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Isle of Wight","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kensington & Chelsea and Hammersmith & Fulham","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kent Thames Gateway","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Kingston upon Hull, City of","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lancaster and Wyre","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leeds","Yorkshire and The Humber","180","180","40710","36820"
"In post","2021","Commercial","Leicester","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Leicestershire CC and Rutland","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Lisburn and Castlereagh","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Liverpool","North West (England)","200","190","34520","34800"
"In post","2021","Commercial","Luton","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Manchester","North West (England)","140","140","39510","36780"
"In post","2021","Commercial","Medway","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Mid Lancashire","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Milton Keynes","South East (England)","80","70","43780","41160"
"In post","2021","Commercial","Monmouthshire and Newport","Wales","100","100","35580","31700"
"In post","2021","Commercial","North and West Norfolk","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Hampshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Lanarkshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Nottinghamshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North Yorkshire CC","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northumberland","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Norwich and East Norfolk","East of England","90","90","35650","34800"
"In post","2021","Commercial","Nottingham","East Midlands (England)","40","40","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","40","40","[c]","[c]"
"In post","2021","Commercial","Oxfordshire","South East (England)","40","40","[c]","[c]"
"In post","2021","Commercial","Perth and Kinross and Stirling","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Peterborough","East of England","40","40","[c]","[c]"
"In post","2021","Commercial","Plymouth","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Portsmouth","South East (England)","60","60","36240","34770"
"In post","2021","Commercial","Powys","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sefton","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Sheffield","Yorkshire and The Humber","90","90","38700","37100"
"In post","2021","Commercial","Shropshire CC","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Solihull","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Somerset","South West (England)","60","50","40220","36370"
"In post","2021","Commercial","South and West Derbyshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Hampshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Lanarkshire","Scotland","70","70","40370","39630"
"In post","2021","Commercial","South Nottinghamshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South Teesside","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Southend-on-Sea","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Staffordshire CC","West Midlands (England)","70","70","39280","33300"
"In post","2021","Commercial","Stoke-on-Trent","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Suffolk","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Swansea","Wales","170","150","33520","31040"
"In post","2021","Commercial","Swindon","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Telford and Wrekin","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Torbay","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tower Hamlets","London","60","50","44170","40400"
"In post","2021","Commercial","Tyneside","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wakefield","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Walsall","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wandsworth","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Warrington","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Warwickshire","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Lothian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Northamptonshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Surrey","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Sussex (North East)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","West Sussex (South West)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Westminster","London","570","550","50130","44070"
"In post","2021","Commercial","Wiltshire","South West (England)","180","170","33620","34800"
"In post","2021","Commercial","Wirral","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Worcestershire","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","York","Yorkshire and The Humber","50","40","[c]","[c]"
"In post","2021","Communications","Barnet","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bath and North East Somerset, North Somerset and South Gloucestershire","South West (England)","60","60","37320","36010"
"In post","2021","Communications","Bedford","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Belfast","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Berkshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Birmingham","West Midlands (England)","40","40","[c]","[c]"
"In post","2021","Communications","Blackpool","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bournemouth and Poole","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bradford","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Bristol, City of","South West (England)","90","80","37980","36500"
"In post","2021","Communications","Buckinghamshire CC","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cambridgeshire CC","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cardiff and Vale of Glamorgan","Wales","180","170","39580","37410"
"In post","2021","Communications","Central Bedfordshire","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Central Hampshire","South East (England)","70","60","31680","28060"
"In post","2021","Communications","Central Valleys","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cheshire East","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","City of Edinburgh","Scotland","40","40","[c]","[c]"
"In post","2021","Communications","Clackmannanshire and Fife","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Conwy and Denbighshire","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Cornwall and Isles of Scilly","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Coventry","West Midlands (England)","50","50","[c]","[c]"
"In post","2021","Communications","Croydon","London","30","30","[c]","[c]"
"In post","2021","Communications","Darlington","North East (England)","30","30","[c]","[c]"
"In post","2021","Communications","Devon CC","South West (England)","50","40","[c]","[c]"
"In post","2021","Communications","Dorset CC","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Durham CC","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Cumbria","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Merseyside","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Riding of Yorkshire","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Sussex CC","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Essex Haven Gateway","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Flintshire and Wrexham","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Glasgow City","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gloucestershire","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester North West","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester South East","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Greater Manchester South West","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gwent Valleys","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Gwynedd","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Heart of Essex","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Herefordshire, County of","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hertfordshire","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Hounslow and Richmond upon Thames","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inverclyde, East Renfrewshire and Renfrewshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Inverness and Nairn and Moray, Badenoch and Strathspey","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Isle of Anglesey","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Kingston upon Hull, City of","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lambeth","London","60","60","49970","45650"
"In post","2021","Communications","Lancaster and Wyre","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Leeds","Yorkshire and The Humber","50","50","[c]","[c]"
"In post","2021","Communications","Leicester","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Leicestershire CC and Rutland","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lincolnshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Lisburn and Castlereagh","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Liverpool","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Manchester","North West (England)","80","80","33680","30420"
"In post","2021","Communications","Medway","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Mid Lancashire","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Milton Keynes","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Monmouthshire and Newport","Wales","60","60","35610","30640"
"In post","2021","Communications","North and West Norfolk","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North Hampshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North Nottinghamshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","North Yorkshire CC","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Northumberland","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Norwich and East Norfolk","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Nottingham","East Midlands (England)","80","70","37000","36470"
"In post","2021","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Oxfordshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Peterborough","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Plymouth","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Portsmouth","South East (England)","40","40","[c]","[c]"
"In post","2021","Communications","Powys","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Redbridge and Waltham Forest","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Sefton","North West (England)","40","40","[c]","[c]"
"In post","2021","Communications","Sheffield","Yorkshire and The Humber","50","50","38000","35610"
"In post","2021","Communications","Shropshire CC","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Solihull","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Somerset","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South Hampshire","South East (England)","40","40","[c]","[c]"
"In post","2021","Communications","South Lanarkshire","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South Nottinghamshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South West Wales","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Southampton","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Southend-on-Sea","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Staffordshire CC","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Stoke-on-Trent","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Suffolk","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Sunderland","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Swansea","Wales","70","70","30830","26780"
"In post","2021","Communications","Swindon","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Telford and Wrekin","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tower Hamlets","London","150","140","46810","40850"
"In post","2021","Communications","Tyneside","North East (England)","80","80","34110","31810"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wakefield","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wandsworth","London","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Warrington","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Warwickshire","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Essex","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Northamptonshire","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Surrey","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Sussex (North East)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","West Sussex (South West)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Westminster","London","1790","1760","46280","42710"
"In post","2021","Communications","Wiltshire","South West (England)","50","50","32540","29200"
"In post","2021","Communications","Wirral","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Worcestershire","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Communications","York","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Birmingham","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Cardiff and Vale of Glamorgan","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Central Hampshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Devon CC","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Glasgow City","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Lambeth","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Sefton","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","South Hampshire","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Suffolk","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Tower Hamlets","London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Kent","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Westminster","London","50","50","58230","57890"
"In post","2021","Corporate Finance","Wiltshire","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Barking & Dagenham and Havering","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Barnsley, Doncaster and Rotherham","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Bedford","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Belfast","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Birmingham","West Midlands (England)","70","70","37490","37380"
"In post","2021","Counter Fraud","Blackpool","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Bournemouth and Poole","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Bristol, City of","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cambridgeshire CC","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cardiff and Vale of Glamorgan","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Central Valleys","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","City of Edinburgh","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Croydon","London","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Derby","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Devon CC","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Durham CC","North East (England)","30","30","[c]","[c]"
"In post","2021","Counter Fraud","East Ayrshire and North Ayrshire mainland","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","East Merseyside","North West (England)","[c]","[c]","[c]","[c]"
