"Status","Year","Sex","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","East Midlands (England)","Advisory, Conciliation and Arbitration Service","60","60","29660","30950"
"In post","2021","Female","East Midlands (England)","Animal and Plant Health Agency","50","50","32490","29180"
"In post","2021","Female","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Crown Prosecution Service","300","270","37150","30130"
"In post","2021","Female","East Midlands (England)","Defence Equipment and Support","70","70","34100","33070"
"In post","2021","Female","East Midlands (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Department for Education (excl. agencies)","140","120","40000","36780"
"In post","2021","Female","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Department for Work and Pensions (excl. agencies)","2990","2550","25870","27570"
"In post","2021","Female","East Midlands (England)","Driver and Vehicle Standards Agency","200","190","33130","31040"
"In post","2021","Female","East Midlands (England)","Education and Skills Funding Agency","30","30","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Midlands (England)","Health and Safety Executive","180","160","38920","33340"
"In post","2021","Female","East Midlands (England)","HM Courts and Tribunals Service","990","840","21900","19830"
"In post","2021","Female","East Midlands (England)","HM Land Registry","540","480","30770","27130"
"In post","2021","Female","East Midlands (England)","HM Prison and Probation Service","2490","2300","28390","25830"
