"Status","Year","Function_of_post","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Education","30","30","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","HM Revenue and Customs","70","70","40580","36350"
"In post","2021","Analysis","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Analysis","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Analysis","Asian","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Black","Department for Education","[c]","[c]","[c]","[c]"
