"Status","Year","Responsibility_level","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Declared disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Animal and Plant Health Agency","140","130","21950","21050"
"In post","2021","AA/AO","Declared disabled","Cabinet Office (excl. agencies)","80","70","22090","20920"
"In post","2021","AA/AO","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Companies House","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Crown Office and Procurator Fiscal Service","30","30","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Crown Prosecution Service","160","140","22460","21950"
"In post","2021","AA/AO","Declared disabled","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Department for Work and Pensions (excl. agencies)","5070","4280","21150","21010"
"In post","2021","AA/AO","Declared disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Driver and Vehicle Licensing Agency","490","390","20280","21590"
"In post","2021","AA/AO","Declared disabled","Driver and Vehicle Standards Agency","80","70","23550","21590"
"In post","2021","AA/AO","Declared disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","70","70","25930","25430"
"In post","2021","AA/AO","Declared disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","Health and Safety Executive","50","40","[c]","[c]"
"In post","2021","AA/AO","Declared disabled","HM Courts and Tribunals Service","1390","1230","19870","19930"
