"Status","Year","Responsibility_level","Ethnicity","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Asian","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Crown Prosecution Service","160","140","22740","23520"
"In post","2021","AA/AO","Asian","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Asian","Department for Work and Pensions (excl. agencies)","2240","1870","21770","21010"
"In post","2021","AA/AO","Asian","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
