"Status","Year","Disability","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Defence Science and Technology Laboratory","60","50","37970","37320"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
