"Status","Year","Disability","Responsibility_level","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","East Midlands (England)","960","860","21580","21010"
"In post","2021","Declared disabled","AA/AO","East of England","830","740","23120","21440"
"In post","2021","Declared disabled","AA/AO","London","1380","1250","25110","24900"
"In post","2021","Declared disabled","AA/AO","North East (England)","1560","1310","21210","21010"
"In post","2021","Declared disabled","AA/AO","North West (England)","2620","2270","21220","21010"
"In post","2021","Declared disabled","AA/AO","Northern Ireland","140","130","21130","20810"
"In post","2021","Declared disabled","AA/AO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Scotland","1610","1410","21670","21010"
"In post","2021","Declared disabled","AA/AO","South East (England)","1510","1340","23060","21430"
"In post","2021","Declared disabled","AA/AO","South West (England)","1100","980","21730","21010"
"In post","2021","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA/AO","Wales","1420","1210","20870","21010"
"In post","2021","Declared disabled","AA/AO","West Midlands (England)","1180","1050","21600","21010"
"In post","2021","Declared disabled","AA/AO","Yorkshire and The Humber","1210","1040","21690","21010"
"In post","2021","Declared disabled","EO","East Midlands (England)","890","810","27000","27570"
"In post","2021","Declared disabled","EO","East of England","950","860","28470","27570"
"In post","2021","Declared disabled","EO","London","2440","2280","30180","30600"
"In post","2021","Declared disabled","EO","North East (England)","1000","880","27100","27570"
"In post","2021","Declared disabled","EO","North West (England)","2360","2110","26990","27570"
"In post","2021","Declared disabled","EO","Northern Ireland","90","80","26500","25900"
"In post","2021","Declared disabled","EO","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Scotland","1480","1350","28110","27570"
"In post","2021","Declared disabled","EO","South East (England)","1500","1370","28210","27570"
"In post","2021","Declared disabled","EO","South West (England)","1290","1170","26630","27570"
"In post","2021","Declared disabled","EO","Unknown","100","90","27990","27570"
"In post","2021","Declared disabled","EO","Wales","1010","910","27070","27570"
"In post","2021","Declared disabled","EO","West Midlands (England)","1270","1140","27100","27570"
"In post","2021","Declared disabled","EO","Yorkshire and The Humber","1290","1150","27040","27570"
"In post","2021","Declared disabled","G6/G7","East Midlands (England)","120","110","57670","52600"
"In post","2021","Declared disabled","G6/G7","East of England","110","110","59780","58890"
"In post","2021","Declared disabled","G6/G7","London","2010","1940","60360","59160"
"In post","2021","Declared disabled","G6/G7","North East (England)","130","130","54630","52580"
"In post","2021","Declared disabled","G6/G7","North West (England)","400","380","55350","52580"
"In post","2021","Declared disabled","G6/G7","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Overseas","90","90","60260","58330"
"In post","2021","Declared disabled","G6/G7","Scotland","310","300","59380","58110"
"In post","2021","Declared disabled","G6/G7","South East (England)","270","260","55550","53500"
"In post","2021","Declared disabled","G6/G7","South West (England)","440","420","55990","54540"
"In post","2021","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Wales","210","200","58620","57280"
"In post","2021","Declared disabled","G6/G7","West Midlands (England)","190","180","56520","52970"
"In post","2021","Declared disabled","G6/G7","Yorkshire and The Humber","320","310","55840","52750"
"In post","2021","Declared disabled","SCS","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","London","280","270","89570","80520"
"In post","2021","Declared disabled","SCS","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","East Midlands (England)","490","470","35620","33840"
"In post","2021","Declared disabled","SEO/HEO","East of England","520","490","37030","35120"
"In post","2021","Declared disabled","SEO/HEO","London","2800","2710","38630","37780"
"In post","2021","Declared disabled","SEO/HEO","North East (England)","570","540","34360","32540"
"In post","2021","Declared disabled","SEO/HEO","North West (England)","1280","1200","35120","33840"
"In post","2021","Declared disabled","SEO/HEO","Northern Ireland","80","70","34230","31870"
"In post","2021","Declared disabled","SEO/HEO","Overseas","90","90","36420","34770"
"In post","2021","Declared disabled","SEO/HEO","Scotland","1040","990","37610","35230"
"In post","2021","Declared disabled","SEO/HEO","South East (England)","1020","970","36480","35120"
"In post","2021","Declared disabled","SEO/HEO","South West (England)","1570","1500","36260","35710"
"In post","2021","Declared disabled","SEO/HEO","Unknown","50","50","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Wales","690","650","35940","34970"
"In post","2021","Declared disabled","SEO/HEO","West Midlands (England)","710","670","35650","33840"
"In post","2021","Declared disabled","SEO/HEO","Yorkshire and The Humber","890","830","35180","34290"
"In post","2021","Declared disabled","Unknown","East Midlands (England)","200","190","30370","29200"
"In post","2021","Declared disabled","Unknown","East of England","180","160","28690","28200"
"In post","2021","Declared disabled","Unknown","London","300","290","34130","34100"
"In post","2021","Declared disabled","Unknown","North East (England)","150","140","29950","28200"
"In post","2021","Declared disabled","Unknown","North West (England)","330","310","30560","30210"
"In post","2021","Declared disabled","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","South East (England)","260","240","30160","30210"
"In post","2021","Declared disabled","Unknown","South West (England)","330","310","34830","32710"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Wales","190","180","30000","28470"
"In post","2021","Declared disabled","Unknown","West Midlands (England)","250","230","30450","30210"
"In post","2021","Declared disabled","Unknown","Yorkshire and The Humber","260","240","30840","30210"
"In post","2021","Declared non-disabled","AA/AO","East Midlands (England)","5080","4580","22130","21010"
"In post","2021","Declared non-disabled","AA/AO","East of England","5250","4800","23500","21440"
"In post","2021","Declared non-disabled","AA/AO","London","8110","7500","25430","25110"
"In post","2021","Declared non-disabled","AA/AO","North East (England)","8550","7320","21460","21010"
"In post","2021","Declared non-disabled","AA/AO","North West (England)","13650","12110","21440","21010"
"In post","2021","Declared non-disabled","AA/AO","Northern Ireland","960","890","20850","20310"
"In post","2021","Declared non-disabled","AA/AO","Overseas","50","50","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Scotland","8900","7990","21880","21010"
"In post","2021","Declared non-disabled","AA/AO","South East (England)","8870","8130","24010","21580"
"In post","2021","Declared non-disabled","AA/AO","South West (England)","6170","5610","22080","21010"
"In post","2021","Declared non-disabled","AA/AO","Unknown","180","150","22340","21010"
"In post","2021","Declared non-disabled","AA/AO","Wales","8420","7430","21300","21130"
"In post","2021","Declared non-disabled","AA/AO","West Midlands (England)","6770","6090","21760","21010"
"In post","2021","Declared non-disabled","AA/AO","Yorkshire and The Humber","7590","6760","22450","21010"
"In post","2021","Declared non-disabled","EO","East Midlands (England)","4100","3770","27030","27570"
"In post","2021","Declared non-disabled","EO","East of England","5140","4710","28170","27570"
"In post","2021","Declared non-disabled","EO","London","14450","13650","29950","30130"
"In post","2021","Declared non-disabled","EO","North East (England)","5310","4800","26850","27570"
"In post","2021","Declared non-disabled","EO","North West (England)","12800","11780","26800","27570"
"In post","2021","Declared non-disabled","EO","Northern Ireland","600","560","26470","25560"
"In post","2021","Declared non-disabled","EO","Overseas","210","210","27760","27130"
"In post","2021","Declared non-disabled","EO","Scotland","7580","6980","27380","27570"
"In post","2021","Declared non-disabled","EO","South East (England)","9020","8320","27970","27570"
"In post","2021","Declared non-disabled","EO","South West (England)","7390","6800","26390","27130"
"In post","2021","Declared non-disabled","EO","Unknown","410","380","28090","27570"
"In post","2021","Declared non-disabled","EO","Wales","6580","6070","27130","27570"
"In post","2021","Declared non-disabled","EO","West Midlands (England)","6510","5970","26980","27570"
"In post","2021","Declared non-disabled","EO","Yorkshire and The Humber","7340","6700","27120","27570"
"In post","2021","Declared non-disabled","G6/G7","East Midlands (England)","1060","1010","57660","53430"
"In post","2021","Declared non-disabled","G6/G7","East of England","880","850","59290","55610"
"In post","2021","Declared non-disabled","G6/G7","London","18830","18170","60660","59150"
"In post","2021","Declared non-disabled","G6/G7","North East (England)","1530","1480","54880","52580"
"In post","2021","Declared non-disabled","G6/G7","North West (England)","3240","3120","56730","52920"
"In post","2021","Declared non-disabled","G6/G7","Northern Ireland","180","170","56070","52580"
"In post","2021","Declared non-disabled","G6/G7","Overseas","880","870","59790","57790"
"In post","2021","Declared non-disabled","G6/G7","Scotland","2880","2760","60970","61010"
"In post","2021","Declared non-disabled","G6/G7","South East (England)","2270","2170","57580","54990"
"In post","2021","Declared non-disabled","G6/G7","South West (England)","4480","4310","56010","54540"
"In post","2021","Declared non-disabled","G6/G7","Unknown","130","120","55660","54700"
"In post","2021","Declared non-disabled","G6/G7","Wales","2440","2350","59060","59620"
"In post","2021","Declared non-disabled","G6/G7","West Midlands (England)","1640","1590","57120","52790"
"In post","2021","Declared non-disabled","G6/G7","Yorkshire and The Humber","2780","2650","56560","53340"
"In post","2021","Declared non-disabled","SCS","East Midlands (England)","70","70","89950","83850"
"In post","2021","Declared non-disabled","SCS","East of England","80","80","96330","95620"
"In post","2021","Declared non-disabled","SCS","London","3230","3110","90190","81800"
