"Status","Year","Sexual_orientation","Region_ITL2","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Declared disabled","400","370","31420","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Declared non-disabled","2480","2320","32310","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Undeclared","110","110","31280","29290"
"In post","2021","Heterosexual / straight","Bedfordshire and Hertfordshire","Unknown","220","220","36990","34140"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Declared disabled","770","730","31640","29290"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Declared non-disabled","5170","4940","32810","29290"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","310","290","33080","31810"
"In post","2021","Heterosexual / straight","Berkshire, Buckinghamshire and Oxfordshire","Unknown","380","360","36110","33300"
"In post","2021","Heterosexual / straight","Cheshire","Declared disabled","320","290","28890","27570"
"In post","2021","Heterosexual / straight","Cheshire","Declared non-disabled","1700","1610","31530","27570"
"In post","2021","Heterosexual / straight","Cheshire","Undeclared","100","90","29970","27570"
"In post","2021","Heterosexual / straight","Cheshire","Unknown","590","580","34380","32770"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Declared disabled","160","140","26980","27570"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Declared non-disabled","870","790","26790","26670"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cornwall and Isles of Scilly","Unknown","60","50","25360","21130"
"In post","2021","Heterosexual / straight","Cumbria","Declared disabled","160","140","28580","27280"
"In post","2021","Heterosexual / straight","Cumbria","Declared non-disabled","1060","970","28710","25770"
"In post","2021","Heterosexual / straight","Cumbria","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Cumbria","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Declared disabled","1140","1050","29710","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Declared non-disabled","6110","5680","32060","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Undeclared","330","300","29770","27570"
"In post","2021","Heterosexual / straight","Derbyshire and Nottinghamshire","Unknown","290","280","32140","28130"
"In post","2021","Heterosexual / straight","Devon","Declared disabled","640","560","28150","27130"
"In post","2021","Heterosexual / straight","Devon","Declared non-disabled","3800","3490","29810","27560"
"In post","2021","Heterosexual / straight","Devon","Undeclared","200","180","28140","26780"
"In post","2021","Heterosexual / straight","Devon","Unknown","260","250","30480","26650"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Declared disabled","440","410","28860","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Declared non-disabled","2840","2650","29650","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Undeclared","180","160","29850","27570"
"In post","2021","Heterosexual / straight","Dorset and Somerset","Unknown","140","130","29820","26670"
"In post","2021","Heterosexual / straight","East Anglia","Declared disabled","1060","970","29270","27570"
"In post","2021","Heterosexual / straight","East Anglia","Declared non-disabled","6780","6340","30110","27570"
"In post","2021","Heterosexual / straight","East Anglia","Undeclared","480","450","31120","29810"
"In post","2021","Heterosexual / straight","East Anglia","Unknown","330","310","32780","29270"
"In post","2021","Heterosexual / straight","East Wales","Declared disabled","1310","1200","31520","27570"
"In post","2021","Heterosexual / straight","East Wales","Declared non-disabled","10640","9990","33940","28850"
"In post","2021","Heterosexual / straight","East Wales","Undeclared","370","350","30540","27570"
"In post","2021","Heterosexual / straight","East Wales","Unknown","930","870","32560","29540"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Declared disabled","380","340","27260","27380"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Declared non-disabled","2580","2360","28020","26930"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Undeclared","180","160","29910","29200"
"In post","2021","Heterosexual / straight","East Yorkshire and Northern Lincolnshire","Unknown","100","90","26650","26630"
"In post","2021","Heterosexual / straight","Eastern Scotland","Declared disabled","1300","1200","32940","27570"
"In post","2021","Heterosexual / straight","Eastern Scotland","Declared non-disabled","7560","7140","35700","30080"
"In post","2021","Heterosexual / straight","Eastern Scotland","Undeclared","260","250","31900","27570"
"In post","2021","Heterosexual / straight","Eastern Scotland","Unknown","1870","1770","38630","33650"
"In post","2021","Heterosexual / straight","Essex","Declared disabled","520","470","30550","29290"
"In post","2021","Heterosexual / straight","Essex","Declared non-disabled","2960","2730","30900","29290"
"In post","2021","Heterosexual / straight","Essex","Undeclared","150","140","30910","29290"
"In post","2021","Heterosexual / straight","Essex","Unknown","150","140","32600","28130"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Declared disabled","2260","2130","34640","31950"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Declared non-disabled","17140","16350","36780","33300"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","720","680","36720","33300"
"In post","2021","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","1270","1220","37610","34860"
"In post","2021","Heterosexual / straight","Greater Manchester","Declared disabled","1530","1400","29960","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","Declared non-disabled","10010","9460","31940","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","Undeclared","480","450","29260","27570"
"In post","2021","Heterosexual / straight","Greater Manchester","Unknown","480","450","33150","30260"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Declared disabled","1280","1160","30890","27570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Declared non-disabled","8080","7520","32710","28660"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Undeclared","480","440","30390","27570"
"In post","2021","Heterosexual / straight","Hampshire and Isle of Wight","Unknown","1040","930","30000","27570"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Declared disabled","330","300","27890","27570"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Declared non-disabled","2230","2100","28120","26350"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Undeclared","180","170","29520","27570"
"In post","2021","Heterosexual / straight","Herefordshire, Worcestershire and Warwickshire","Unknown","70","60","28530","26570"
"In post","2021","Heterosexual / straight","Highlands and Islands","Declared disabled","120","110","27480","27570"
"In post","2021","Heterosexual / straight","Highlands and Islands","Declared non-disabled","880","830","28480","27570"
"In post","2021","Heterosexual / straight","Highlands and Islands","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Highlands and Islands","Unknown","120","110","31240","29190"
"In post","2021","Heterosexual / straight","Inner London - East","Declared disabled","1100","1030","37780","31880"
"In post","2021","Heterosexual / straight","Inner London - East","Declared non-disabled","8160","7790","42720","36200"
"In post","2021","Heterosexual / straight","Inner London - East","Undeclared","370","350","38190","32960"
"In post","2021","Heterosexual / straight","Inner London - East","Unknown","1250","1220","43920","39840"
"In post","2021","Heterosexual / straight","Inner London - West","Declared disabled","3730","3600","44930","40000"
"In post","2021","Heterosexual / straight","Inner London - West","Declared non-disabled","31710","30810","48050","43300"
"In post","2021","Heterosexual / straight","Inner London - West","Undeclared","1370","1340","44970","40170"
"In post","2021","Heterosexual / straight","Inner London - West","Unknown","2370","2320","45220","40650"
"In post","2021","Heterosexual / straight","Kent","Declared disabled","730","680","29380","29290"
"In post","2021","Heterosexual / straight","Kent","Declared non-disabled","4760","4450","29390","27680"
"In post","2021","Heterosexual / straight","Kent","Undeclared","310","290","30150","29290"
"In post","2021","Heterosexual / straight","Kent","Unknown","180","180","32890","30420"
"In post","2021","Heterosexual / straight","Lancashire","Declared disabled","1440","1290","27300","27130"
"In post","2021","Heterosexual / straight","Lancashire","Declared non-disabled","6980","6400","29000","27570"
"In post","2021","Heterosexual / straight","Lancashire","Undeclared","450","410","28250","27570"
"In post","2021","Heterosexual / straight","Lancashire","Unknown","280","260","28770","25990"
