"Status","Year","Region_ITL3","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Legal","Scottish Government","110","90","31140","22820"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Department for Business, Energy and Industrial Strategy","120","120","47970","41420"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Department for Transport","70","70","32830","27680"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Department for Work and Pensions","110","100","77580","90550"
"In post","2021","Aberdeen City and Aberdeenshire","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","No function","Scottish Government","350","330","29300","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Property","Scottish Government","80","80","30600","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Security","Ministry of Defence","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Department for Work and Pensions","260","230","26500","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Home Office","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Scottish Government","560","530","37260","33620"
"In post","2021","Angus and Dundee City","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Legal","Scottish Government","100","90","33520","29350"
"In post","2021","Angus and Dundee City","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","HM Revenue and Customs","290","270","23250","21400"
"In post","2021","Angus and Dundee City","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","No function","Scottish Government","60","50","25900","22220"
"In post","2021","Angus and Dundee City","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Department for Work and Pensions","960","870","23850","21010"
"In post","2021","Angus and Dundee City","Unknown","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Unknown","Scottish Government","420","410","32240","27150"
"In post","2021","Antrim and Newtownabbey","Commercial","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Security","Ministry of Defence","80","80","21070","20310"
"In post","2021","Antrim and Newtownabbey","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Unknown","Ministry of Defence","90","80","25460","21670"
"In post","2021","Ards and North Down","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","No function","Department for Transport","40","40","[c]","[c]"
"In post","2021","Ards and North Down","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","Security","Ministry of Defence","90","90","21100","20310"
"In post","2021","Ards and North Down","Unknown","Ministry of Defence","60","60","26460","22330"
"In post","2021","Armagh City, Banbridge and Craigavon","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Armagh City, Banbridge and Craigavon","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","No function","Ministry of Justice","110","100","27230","23500"
"In post","2021","Barking & Dagenham and Havering","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barking & Dagenham and Havering","Unknown","Department for Work and Pensions","460","420","30980","31060"
"In post","2021","Barnet","Commercial","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Barnet","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Finance","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Barnet","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","No function","Department for Transport","30","30","[c]","[c]"
"In post","2021","Barnet","No function","Department of Health and Social Care","980","920","42830","38930"
"In post","2021","Barnet","No function","Ministry of Justice","80","80","27630","26480"
"In post","2021","Barnet","Property","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnet","Unknown","Department for Work and Pensions","300","280","30710","31060"
"In post","2021","Barnet","Unknown","Home Office","150","150","44640","42170"
"In post","2021","Barnet","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Commercial","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Department for Transport","60","50","27410","26780"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","No function","Ministry of Justice","1390","1290","27920","26320"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Security","Ministry of Justice","80","80","39250","40190"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Department for Work and Pensions","1360","1150","25090","27570"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Home Office","40","40","[c]","[c]"
"In post","2021","Barnsley, Doncaster and Rotherham","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Analysis","Ministry of Defence","60","50","40630","38530"
"In post","2021","Bath and North East Somerset, North Somerset and South Gloucestershire","Commercial","Cabinet Office","[c]","[c]","[c]","[c]"
