"Status","Year","Profession_of_post","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","580","540","37690","34270"
"In post","2021","Commercial","Female","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Birmingham","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Bristol, City of","50","50","38230","36970"
"In post","2021","Commercial","Female","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Cambridgeshire CC","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Central Hampshire","80","80","34220","34800"
"In post","2021","Commercial","Female","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Cheshire East","[c]","[c]","[c]","[c]"
