"Status","Year","Function_of_post","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Female","AA/AO","110","100","21380","21050"
"In post","2021","Analysis","Female","EO","370","340","26260","25880"
"In post","2021","Analysis","Female","G6/G7","1010","940","57880","55970"
"In post","2021","Analysis","Female","SCS","60","60","88120","79520"
"In post","2021","Analysis","Female","SEO/HEO","1700","1610","35740","36030"
"In post","2021","Analysis","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Male","AA/AO","100","100","21750","21260"
"In post","2021","Analysis","Male","EO","360","350","26720","26410"
"In post","2021","Analysis","Male","G6/G7","1400","1370","58800","56520"
"In post","2021","Analysis","Male","SCS","90","90","89390","79930"
"In post","2021","Analysis","Male","SEO/HEO","1970","1940","35970","36030"
"In post","2021","Analysis","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","AA/AO","300","280","22080","21440"
"In post","2021","Commercial","Female","EO","510","470","26710","26670"
"In post","2021","Commercial","Female","G6/G7","800","780","60520","56040"
"In post","2021","Commercial","Female","SCS","230","220","88300","73000"
"In post","2021","Commercial","Female","SEO/HEO","1570","1510","37360","36910"
"In post","2021","Commercial","Female","Unknown","110","110","37840","34500"
"In post","2021","Commercial","Male","AA/AO","220","210","22150","21160"
"In post","2021","Commercial","Male","EO","350","350","26980","26670"
"In post","2021","Commercial","Male","G6/G7","940","930","62230","59110"
"In post","2021","Commercial","Male","SCS","350","350","96120","77920"
"In post","2021","Commercial","Male","SEO/HEO","1460","1440","39140","38630"
"In post","2021","Commercial","Male","Unknown","130","130","44000","40590"
"In post","2021","Communications","Female","AA/AO","300","260","21410","21400"
"In post","2021","Communications","Female","EO","1500","1410","26040","25560"
"In post","2021","Communications","Female","G6/G7","640","600","57850","56130"
"In post","2021","Communications","Female","SCS","70","70","85110","80370"
"In post","2021","Communications","Female","SEO/HEO","1780","1710","36010","34770"
"In post","2021","Communications","Male","AA/AO","200","190","21490","21130"
"In post","2021","Communications","Male","EO","1700","1670","25560","25560"
"In post","2021","Communications","Male","G6/G7","430","430","58350","55630"
"In post","2021","Communications","Male","SCS","60","60","92600","84020"
"In post","2021","Communications","Male","SEO/HEO","1520","1510","35470","33300"
"In post","2021","Counter Fraud","Female","AA/AO","520","430","21520","21440"
"In post","2021","Counter Fraud","Female","EO","1720","1560","26980","25560"
"In post","2021","Counter Fraud","Female","G6/G7","390","370","56230","52770"
"In post","2021","Counter Fraud","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Female","SEO/HEO","1870","1740","34780","32520"
"In post","2021","Counter Fraud","Male","AA/AO","330","320","21400","20650"
"In post","2021","Counter Fraud","Male","EO","1690","1650","26990","25560"
"In post","2021","Counter Fraud","Male","G6/G7","710","680","58120","57890"
"In post","2021","Counter Fraud","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Male","SEO/HEO","2340","2270","35540","35000"
"In post","2021","Debt","Female","AA/AO","1950","1660","21110","20140"
"In post","2021","Debt","Female","EO","530","460","26920","25560"
"In post","2021","Debt","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Female","SEO/HEO","140","130","33980","31810"
"In post","2021","Debt","Male","AA/AO","1470","1410","20730","20140"
"In post","2021","Debt","Male","EO","420","410","26720","25560"
"In post","2021","Debt","Male","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Male","SEO/HEO","110","100","35320","35000"
"In post","2021","Digital, Data & Technology","Female","AA/AO","210","190","21650","21230"
"In post","2021","Digital, Data & Technology","Female","EO","880","820","27180","26670"
"In post","2021","Digital, Data & Technology","Female","G6/G7","1300","1260","56510","54700"
"In post","2021","Digital, Data & Technology","Female","SCS","90","90","88680","79360"
"In post","2021","Digital, Data & Technology","Female","SEO/HEO","2490","2360","36400","36160"
"In post","2021","Digital, Data & Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Male","AA/AO","240","240","22000","21580"
"In post","2021","Digital, Data & Technology","Male","EO","1400","1370","27610","26740"
"In post","2021","Digital, Data & Technology","Male","G6/G7","2370","2340","57870","55830"
"In post","2021","Digital, Data & Technology","Male","SCS","170","170","92780","89800"
"In post","2021","Digital, Data & Technology","Male","SEO/HEO","4340","4270","37720","37910"
"In post","2021","Digital, Data & Technology","Male","Unknown","80","80","37430","37200"
"In post","2021","Digital, Data & Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","AA/AO","990","800","21180","21130"
"In post","2021","Finance","Female","EO","1080","1000","26570","26670"
"In post","2021","Finance","Female","G6/G7","990","950","57840","56860"
"In post","2021","Finance","Female","SCS","100","100","88170","82720"
"In post","2021","Finance","Female","SEO/HEO","2090","1990","36950","36520"
"In post","2021","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Male","AA/AO","500","460","20980","20670"
"In post","2021","Finance","Male","EO","610","600","26230","26350"
"In post","2021","Finance","Male","G6/G7","1080","1070","59370","58130"
"In post","2021","Finance","Male","SCS","180","180","92900","85800"
"In post","2021","Finance","Male","SEO/HEO","1730","1710","37790","37600"
"In post","2021","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","AA/AO","570","480","21000","21050"
"In post","2021","Grants Management","Female","EO","320","280","25510","25190"
"In post","2021","Grants Management","Female","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Female","SEO/HEO","180","160","32440","30780"
"In post","2021","Grants Management","Male","AA/AO","390","380","21020","21050"
"In post","2021","Grants Management","Male","EO","220","220","25530","25190"
"In post","2021","Grants Management","Male","G6/G7","30","30","[c]","[c]"
"In post","2021","Grants Management","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Male","SEO/HEO","150","150","33080","31640"
"In post","2021","Human Resources","Female","AA/AO","1150","1010","21420","21130"
"In post","2021","Human Resources","Female","EO","1240","1150","26540","26670"
"In post","2021","Human Resources","Female","G6/G7","1320","1270","57480","55550"
"In post","2021","Human Resources","Female","SCS","150","150","88780","81870"
"In post","2021","Human Resources","Female","SEO/HEO","2660","2510","36160","35290"
"In post","2021","Human Resources","Female","Unknown","170","160","35190","32580"
"In post","2021","Human Resources","Male","AA/AO","460","450","21170","20920"
"In post","2021","Human Resources","Male","EO","530","520","27010","26670"
"In post","2021","Human Resources","Male","G6/G7","580","570","58520","57670"
"In post","2021","Human Resources","Male","SCS","70","70","90030","83350"
"In post","2021","Human Resources","Male","SEO/HEO","1200","1170","36900","36320"
"In post","2021","Human Resources","Male","Unknown","70","70","43930","34850"
"In post","2021","Human Resources","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","EO","30","30","[c]","[c]"
"In post","2021","Internal Audit","Female","G6/G7","90","80","59040","56400"
"In post","2021","Internal Audit","Female","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Female","SEO/HEO","250","230","39940","39980"
"In post","2021","Internal Audit","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","EO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","G6/G7","120","110","58870","57490"
"In post","2021","Internal Audit","Male","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Male","SEO/HEO","210","210","41260","40660"
"In post","2021","Internal Audit","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Female","AA/AO","1820","1600","22140","21950"
"In post","2021","Legal","Female","EO","1720","1560","28080","28430"
"In post","2021","Legal","Female","G6/G7","3720","3350","58930","57340"
"In post","2021","Legal","Female","SCS","250","230","87610","82500"
"In post","2021","Legal","Female","SEO/HEO","2200","2020","38570","38000"
