"Status","Year","Region_ITL2","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","No function","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","No function","360","350","27080","27850"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","20-29","Unknown","240","230","28700","27570"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Legal","50","50","38060","36020"
"In post","2021","Bedfordshire and Hertfordshire","30-39","No function","370","350","29730","30210"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Project Delivery","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","30-39","Unknown","360","340","33480","29290"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Finance","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Legal","60","50","45030","43290"
"In post","2021","Bedfordshire and Hertfordshire","40-49","No function","320","300","31660","30400"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Project Delivery","40","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Property","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Security","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","40-49","Unknown","490","460","33540","29290"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Finance","30","30","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Legal","50","40","[c]","[c]"
"In post","2021","Bedfordshire and Hertfordshire","50-59","No function","420","400","32260","28200"
"In post","2021","Bedfordshire and Hertfordshire","50-59","Project Delivery","70","70","40950","37640"
