"Status","Year","Function_of_post","Sexual_orientation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Heterosexual / straight","Female","2180","2040","43150","38630"
"In post","2021","Analysis","Heterosexual / straight","Male","2460","2420","44820","39950"
"In post","2021","Analysis","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","LGBO","Female","200","200","39780","36160"
"In post","2021","Analysis","LGBO","Male","220","220","42670","37020"
"In post","2021","Analysis","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Undeclared","Female","200","180","42510","37750"
"In post","2021","Analysis","Undeclared","Male","300","290","46260","41950"
"In post","2021","Analysis","Unknown","Female","680","640","39480","36160"
"In post","2021","Analysis","Unknown","Male","940","920","42170","37320"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Heterosexual / straight","Female","2210","2100","39780","35610"
"In post","2021","Commercial","Heterosexual / straight","Male","1990","1970","45070","40500"
"In post","2021","Commercial","LGBO","Female","80","80","36860","33000"
"In post","2021","Commercial","LGBO","Male","110","110","40570","36450"
"In post","2021","Commercial","Undeclared","Female","280","260","36570","33350"
"In post","2021","Commercial","Undeclared","Male","290","290","43670","39840"
"In post","2021","Commercial","Unknown","Female","960","930","53100","49700"
"In post","2021","Commercial","Unknown","Male","1060","1050","59090","54540"
"In post","2021","Communications","Heterosexual / straight","Female","2600","2450","36340","31810"
"In post","2021","Communications","Heterosexual / straight","Male","2170","2140","34370","31810"
"In post","2021","Communications","LGBO","Female","140","130","34300","31810"
"In post","2021","Communications","LGBO","Male","230","230","37080","32230"
"In post","2021","Communications","Undeclared","Female","260","240","35220","31810"
"In post","2021","Communications","Undeclared","Male","240","230","32750","30700"
"In post","2021","Communications","Unknown","Female","1300","1230","34130","29540"
"In post","2021","Communications","Unknown","Male","1270","1260","32710","25560"
"In post","2021","Counter Fraud","Heterosexual / straight","Female","2800","2560","33020","31810"
"In post","2021","Counter Fraud","Heterosexual / straight","Male","3050","2960","35690","31810"
"In post","2021","Counter Fraud","LGBO","Female","150","140","33560","29570"
"In post","2021","Counter Fraud","LGBO","Male","160","160","34910","31810"
"In post","2021","Counter Fraud","Undeclared","Female","400","350","33440","31810"
"In post","2021","Counter Fraud","Undeclared","Male","540","520","37170","32100"
"In post","2021","Counter Fraud","Unknown","Female","1170","1070","30340","28130"
"In post","2021","Counter Fraud","Unknown","Male","1340","1300","33010","31810"
"In post","2021","Debt","Heterosexual / straight","Female","1280","1090","24070","21440"
"In post","2021","Debt","Heterosexual / straight","Male","880","840","23970","20640"
"In post","2021","Debt","LGBO","Female","60","60","23230","20140"
"In post","2021","Debt","LGBO","Male","90","80","23140","20140"
"In post","2021","Debt","Undeclared","Female","200","160","23770","21440"
"In post","2021","Debt","Undeclared","Male","120","120","24640","21440"
"In post","2021","Debt","Unknown","Female","1110","980","22360","20140"
"In post","2021","Debt","Unknown","Male","930","900","22410","20140"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Female","3060","2900","40610","37100"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Male","4860","4790","43010","38630"
"In post","2021","Digital, Data & Technology","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","LGBO","Female","230","220","39360","36530"
"In post","2021","Digital, Data & Technology","LGBO","Male","290","290","43790","38650"
"In post","2021","Digital, Data & Technology","LGBO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Undeclared","Female","440","420","40150","37170"
"In post","2021","Digital, Data & Technology","Undeclared","Male","790","770","41410","38630"
"In post","2021","Digital, Data & Technology","Unknown","Female","1270","1200","39870","37930"
"In post","2021","Digital, Data & Technology","Unknown","Male","2650","2610","40970","38630"
"In post","2021","Finance","Heterosexual / straight","Female","3650","3380","37690","33300"
"In post","2021","Finance","Heterosexual / straight","Male","2780","2740","43480","39000"
"In post","2021","Finance","LGBO","Female","110","100","38550","33050"
"In post","2021","Finance","LGBO","Male","140","140","42860","38600"
"In post","2021","Finance","Undeclared","Female","500","450","36470","32790"
"In post","2021","Finance","Undeclared","Male","370","360","42660","39800"
"In post","2021","Finance","Unknown","Female","1030","930","33790","29920"
"In post","2021","Finance","Unknown","Male","820","800","37300","32790"
