"Status","Year","Region_ITL1","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Commercial","Commercial","120","110","42940","41650"
"In post","2021","East Midlands (England)","Commercial","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Communications","Communications","100","100","36620","34570"
"In post","2021","East Midlands (England)","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Counter Fraud","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Digital, Data & Technology","270","270","36460","32300"
"In post","2021","East Midlands (England)","Digital, Data and Technology","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Finance","180","170","36280","31810"
"In post","2021","East Midlands (England)","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Finance","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Human Resources","360","340","37850","33840"
"In post","2021","East Midlands (England)","Human Resources","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Inspector of Education and Training","No function","70","70","64380","64500"
"In post","2021","East Midlands (England)","Intelligence Analysis","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","No function","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Intelligence Analysis","Unknown","80","80","29400","27370"
"In post","2021","East Midlands (England)","Internal Audit","Internal Audit","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Legal","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Knowledge and Information Management","Security","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Legal","Counter Fraud","180","170","31030","31810"
