"Status","Year","Sex","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","20-29","140","130","26920","26160"
"In post","2021","Female","Aberdeen City and Aberdeenshire","30-39","240","210","32190","30360"
"In post","2021","Female","Aberdeen City and Aberdeenshire","40-49","220","200","37760","30650"
"In post","2021","Female","Aberdeen City and Aberdeenshire","50-59","240","220","32640","27570"
"In post","2021","Female","Aberdeen City and Aberdeenshire","60-64","70","60","27000","22920"
"In post","2021","Female","Aberdeen City and Aberdeenshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","20-29","120","120","23390","21010"
"In post","2021","Female","Angus and Dundee City","30-39","250","230","26290","23340"
"In post","2021","Female","Angus and Dundee City","40-49","300","270","27070","24110"
"In post","2021","Female","Angus and Dundee City","50-59","350","320","27780","22820"
"In post","2021","Female","Angus and Dundee City","60-64","110","90","25560","21440"
"In post","2021","Female","Angus and Dundee City","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","50-59","30","30","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","20-29","50","50","29390","31060"
"In post","2021","Female","Barking & Dagenham and Havering","30-39","60","50","29910","31060"
"In post","2021","Female","Barking & Dagenham and Havering","40-49","90","70","29680","31060"
"In post","2021","Female","Barking & Dagenham and Havering","50-59","150","130","30800","31060"
"In post","2021","Female","Barking & Dagenham and Havering","60-64","30","20","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","65+","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnet","20-29","230","220","30550","31060"
"In post","2021","Female","Barnet","30-39","230","220","38060","33350"
"In post","2021","Female","Barnet","40-49","240","220","43000","38930"
"In post","2021","Female","Barnet","50-59","250","230","40270","32090"
"In post","2021","Female","Barnet","60-64","80","70","42320","31880"
"In post","2021","Female","Barnet","65+","30","30","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","20-29","240","230","24440","22920"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","30-39","320","280","26300","26300"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","40-49","450","370","27600","27570"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","50-59","620","540","26090","26580"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","60-64","160","120","24830","23240"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","65+","40","20","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","20-29","1180","1150","27270","26670"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","30-39","1440","1300","34880","33300"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","40-49","1230","1130","38990","36740"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","50-59","1190","1120","37980","33640"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","60-64","240","200","34990","33000"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","65+","60","50","30570","27570"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
