"Status","Year","Region_ITL3","Responsibility_level","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","20-29","110","110","23830","22220"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","30-39","100","100","26150","22920"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","40-49","90","90","26440","22920"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","50-59","160","150","26020","22230"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","60-64","60","50","23630","22120"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","20-29","80","80","28500","27840"
"In post","2021","Aberdeen City and Aberdeenshire","EO","30-39","160","150","29170","27870"
"In post","2021","Aberdeen City and Aberdeenshire","EO","40-49","130","120","29250","28170"
"In post","2021","Aberdeen City and Aberdeenshire","EO","50-59","180","170","29920","27570"
"In post","2021","Aberdeen City and Aberdeenshire","EO","60-64","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","EO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","40-49","50","50","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","50-59","60","60","67500","61010"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","65+","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","20-29","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","30-39","150","140","40340","35680"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","40-49","170","170","49210","39660"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","50-59","170","170","47860","39580"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","60-64","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","65+","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","AA/AO","20-29","160","150","21140","21010"
"In post","2021","Angus and Dundee City","AA/AO","30-39","240","220","21200","21010"
