"Status","Year","Profession_of_post","Parent_department","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","United Kingdom Statistics Authority","Communications","90","80","37320","36030"
"In post","2021","Communications","Wales Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Welsh Government","Unknown","160","150","39140","37410"
"In post","2021","Corporate Finance","Attorney General's Departments","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","No function","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","Finance","50","50","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","Counter Fraud","250","240","45590","40000"
"In post","2021","Counter Fraud","Attorney General's Departments","No function","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","Counter Fraud","260","250","39330","39170"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport","Counter Fraud","60","60","30410","26780"
"In post","2021","Counter Fraud","Food Standards Agency","Counter Fraud","60","60","38850","37630"
"In post","2021","Counter Fraud","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HM Treasury","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Counter Fraud","Home Office","Unknown","180","160","26930","25310"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","Digital, Data & Technology","160","160","40320","38180"
"In post","2021","Digital, Data and Technology","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Cabinet Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chancellor's other departments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Chancellor's other departments","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Competition and Markets Authority","Digital, Data & Technology","70","60","56530","54550"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Digital, Data & Technology","1000","980","40720","38000"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education","Analysis","150","140","44060","42420"
"In post","2021","Digital, Data and Technology","Department for Education","Digital, Data & Technology","650","640","39650","36780"
"In post","2021","Digital, Data and Technology","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Education","No function","90","90","35400","30200"
"In post","2021","Digital, Data and Technology","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","Digital, Data & Technology","710","690","43180","42440"
"In post","2021","Digital, Data and Technology","Department for International Trade","Digital, Data & Technology","120","120","47030","44020"
"In post","2021","Digital, Data and Technology","Department for Transport","Analysis","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Transport","Digital, Data & Technology","1100","1080","39530","36000"
"In post","2021","Digital, Data and Technology","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Transport","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Department for Work and Pensions","Digital, Data & Technology","60","60","39240","33460"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","Digital, Data & Technology","360","350","44810","40850"
"In post","2021","Digital, Data and Technology","Department of Health and Social Care","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","ESTYN","Security","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Food Standards Agency","Digital, Data & Technology","60","60","44630","40350"
"In post","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","Digital, Data & Technology","320","320","42140","39630"
"In post","2021","Digital, Data and Technology","HM Land Registry","Digital, Data & Technology","670","640","38030","38450"
"In post","2021","Digital, Data and Technology","HM Revenue and Customs","Digital, Data & Technology","1930","1850","39680","38630"
"In post","2021","Digital, Data and Technology","HM Treasury","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","HM Treasury","Digital, Data & Technology","50","50","51630","50590"
"In post","2021","Digital, Data and Technology","Home Office","Unknown","1220","1200","50060","45550"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Digital, Data & Technology","910","890","33770","33290"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Project Delivery","430","420","42620","42920"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Property","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","Digital, Data & Technology","120","110","45790","41610"
"In post","2021","Digital, Data and Technology","Ministry of Justice","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice","Digital, Data & Technology","970","960","46790","44560"
"In post","2021","Digital, Data and Technology","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Ministry of Justice","Property","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","National Crime Agency","Digital, Data & Technology","260","250","41070","37750"
"In post","2021","Digital, Data and Technology","Northern Ireland Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office for Standards in Education","Digital, Data & Technology","80","80","45050","39850"
"In post","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","Digital, Data & Technology","60","60","51940","50000"
"In post","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","No function","40","40","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Office of Rail and Road","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Other Cabinet Office Agencies","Digital, Data & Technology","120","120","41820","36120"
"In post","2021","Digital, Data and Technology","Scottish Government","Digital, Data & Technology","210","200","39400","35720"
"In post","2021","Digital, Data and Technology","The National Archives","Digital, Data & Technology","100","100","40050","39000"
"In post","2021","Digital, Data and Technology","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","UK Export Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","United Kingdom Statistics Authority","Digital, Data & Technology","600","590","40840","36840"
"In post","2021","Digital, Data and Technology","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Welsh Government","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Welsh Government","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Welsh Government","Unknown","210","210","37690","37410"
"In post","2021","Economics","Competition and Markets Authority","Analysis","90","90","62530","59510"
"In post","2021","Economics","Department for Business, Energy and Industrial Strategy","Analysis","210","210","41510","35640"
"In post","2021","Economics","Department for Business, Energy and Industrial Strategy","No function","100","100","57750","57850"
"In post","2021","Economics","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Department for Digital, Culture, Media and Sport","Analysis","80","70","53810","59730"
"In post","2021","Economics","Department for Environment, Food and Rural Affairs","No function","160","160","44720","47550"
"In post","2021","Economics","Department for International Trade","Analysis","150","150","43340","32330"
"In post","2021","Economics","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Department for Transport","Analysis","170","170","47750","54110"
"In post","2021","Economics","Department for Work and Pensions","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Department of Health and Social Care","Finance","90","90","43100","36820"
"In post","2021","Economics","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Foreign, Commonwealth and Development Office","No function","70","70","45280","41980"
"In post","2021","Economics","Foreign, Commonwealth and Development Office","Project Delivery","110","100","54610","55620"
"In post","2021","Economics","HM Revenue and Customs","Analysis","100","100","45640","36160"
"In post","2021","Economics","HM Revenue and Customs","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Economics","HM Revenue and Customs","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","HM Revenue and Customs","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","HM Treasury","Analysis","90","80","48050","52530"
"In post","2021","Economics","HM Treasury","No function","70","70","41280","33990"
"In post","2021","Economics","HM Treasury","Unknown","50","50","[c]","[c]"
"In post","2021","Economics","Home Office","Unknown","110","110","46610","35070"
"In post","2021","Economics","Ministry of Defence","Analysis","30","30","[c]","[c]"
"In post","2021","Economics","Ministry of Defence","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Ministry of Housing, Communities and Local Government","Analysis","80","70","43680","35060"
"In post","2021","Economics","Ministry of Housing, Communities and Local Government","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Ministry of Housing, Communities and Local Government","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Ministry of Justice","Analysis","50","40","[c]","[c]"
"In post","2021","Economics","Northern Ireland Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Office of Gas and Electricity Markets","No function","40","40","[c]","[c]"
"In post","2021","Economics","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Office of Rail and Road","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","United Kingdom Statistics Authority","Analysis","150","150","37150","32540"
"In post","2021","Economics","Wales Office","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Wales Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Welsh Government","Unknown","50","50","[c]","[c]"
"In post","2021","Finance","Attorney General's Departments","Finance","140","130","36050","31010"
"In post","2021","Finance","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Chancellor's other departments","Finance","40","40","[c]","[c]"
"In post","2021","Finance","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","Finance","310","300","44430","41580"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","Finance","70","70","56710","58490"
"In post","2021","Finance","Department for Education","Finance","530","520","43160","41150"
"In post","2021","Finance","Department for Education","No function","230","230","40890","37100"
"In post","2021","Finance","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs","Finance","410","390","43010","38060"
"In post","2021","Finance","Department for International Trade","Finance","90","90","48730","51840"
"In post","2021","Finance","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Transport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Transport","Finance","400","380","39870","38110"
"In post","2021","Finance","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department for Transport","No function","70","70","48110","48770"
"In post","2021","Finance","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Department of Health and Social Care","Finance","510","500","40620","36820"
"In post","2021","Finance","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Food Standards Agency","Finance","50","50","41000","37910"
"In post","2021","Finance","Foreign, Commonwealth and Development Office","Finance","200","200","41510","36520"
"In post","2021","Finance","Foreign, Commonwealth and Development Office","Project Delivery","50","50","43090","38600"
"In post","2021","Finance","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Finance","HM Land Registry","Finance","50","50","48870","46800"
"In post","2021","Finance","HM Revenue and Customs","Finance","1560","1370","34040","31810"
"In post","2021","Finance","HM Treasury","Finance","110","110","48060","49870"
"In post","2021","Finance","Home Office","Unknown","280","270","45650","41970"
"In post","2021","Finance","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Ministry of Defence","Finance","1880","1810","37720","33300"
"In post","2021","Finance","Ministry of Defence","Project Delivery","320","310","42090","39860"
