"Status","Year","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Heterosexual / straight","140","130","70300","65470"
"In post","2021","Analysis","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Heterosexual / straight","100","100","59350","56360"
"In post","2021","Analysis","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","220","220","45240","39570"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Unknown","50","50","36650","35640"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Heterosexual / straight","110","100","52430","50400"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Heterosexual / straight","290","270","43830","42420"
"In post","2021","Analysis","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Unknown","70","60","47960","49860"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Heterosexual / straight","250","240","34030","30220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Undeclared","40","30","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Unknown","290","270","34330","29750"
"In post","2021","Analysis","Department for International Trade","Heterosexual / straight","160","160","44340","39790"
"In post","2021","Analysis","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Unknown","60","60","39670","31800"
"In post","2021","Analysis","Department for Transport","Heterosexual / straight","330","310","44630","42470"
"In post","2021","Analysis","Department for Transport","LGBO","40","30","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Undeclared","40","40","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Unknown","80","80","40820","36610"
"In post","2021","Analysis","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Heterosexual / straight","130","120","51480","53360"
"In post","2021","Analysis","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Unknown","140","140","52890","53360"
"In post","2021","Analysis","ESTYN","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Heterosexual / straight","430","410","46010","41340"
"In post","2021","Analysis","HM Revenue and Customs","LGBO","50","50","42610","36160"
"In post","2021","Analysis","HM Revenue and Customs","Undeclared","50","50","44800","38630"
"In post","2021","Analysis","HM Revenue and Customs","Unknown","150","150","39690","36160"
"In post","2021","Analysis","HM Treasury","Heterosexual / straight","100","100","51150","52530"
"In post","2021","Analysis","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Heterosexual / straight","490","470","40260","37360"
"In post","2021","Analysis","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Undeclared","70","60","40420","39160"
"In post","2021","Analysis","Ministry of Defence","Unknown","70","70","42180","41250"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Heterosexual / straight","170","170","46760","43190"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Heterosexual / straight","280","270","45780","40480"
"In post","2021","Analysis","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Undeclared","50","40","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice","Unknown","60","60","41800","40480"
"In post","2021","Analysis","Office for Standards in Education","Heterosexual / straight","120","110","40450","35010"
"In post","2021","Analysis","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Unknown","30","30","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
