"Status","Year","Ethnicity","Parent_department","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Declared disabled","80","70","43210","39540"
"In post","2021","Asian","Attorney General's Departments","Declared non-disabled","660","610","43410","48080"
"In post","2021","Asian","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","150","140","37080","38000"
"In post","2021","Asian","Cabinet Office","Declared disabled","60","50","41990","35590"
"In post","2021","Asian","Cabinet Office","Declared non-disabled","380","370","46900","40600"
"In post","2021","Asian","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Declared non-disabled","40","40","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Declared non-disabled","90","90","45560","37650"
"In post","2021","Asian","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Declared disabled","60","60","38480","33640"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Declared non-disabled","520","510","39360","35950"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Undeclared","30","30","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","100","100","38900","34500"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Declared non-disabled","100","100","45190","42020"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Declared disabled","60","50","38230","36570"
"In post","2021","Asian","Department for Education","Declared non-disabled","550","530","40310","36960"
"In post","2021","Asian","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","80","80","37230","34020"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Declared disabled","50","40","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Declared non-disabled","280","270","35990","32560"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Declared non-disabled","140","140","42310","38540"
"In post","2021","Asian","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Unknown","50","50","43850","38540"
"In post","2021","Asian","Department for Transport","Declared disabled","30","30","[c]","[c]"
"In post","2021","Asian","Department for Transport","Declared non-disabled","450","430","40470","35060"
"In post","2021","Asian","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Declared disabled","990","880","27800","27570"
"In post","2021","Asian","Department for Work and Pensions","Declared non-disabled","6000","5410","27900","27570"
"In post","2021","Asian","Department for Work and Pensions","Undeclared","350","320","27990","27570"
"In post","2021","Asian","Department for Work and Pensions","Unknown","60","60","29970","27570"
"In post","2021","Asian","Department of Health and Social Care","Declared disabled","40","40","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Declared non-disabled","700","650","40590","33100"
"In post","2021","Asian","Department of Health and Social Care","Undeclared","40","40","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Unknown","370","360","46110","37880"
"In post","2021","Asian","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Declared non-disabled","30","30","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Declared disabled","40","40","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Declared non-disabled","370","360","42850","37620"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Unknown","50","40","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Declared non-disabled","130","120","32210","27130"
"In post","2021","Asian","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Unknown","60","60","27940","22350"
"In post","2021","Asian","HM Revenue and Customs","Declared disabled","330","300","31590","31810"
"In post","2021","Asian","HM Revenue and Customs","Declared non-disabled","3370","3170","30940","29570"
"In post","2021","Asian","HM Revenue and Customs","Undeclared","150","140","31150","29570"
"In post","2021","Asian","HM Revenue and Customs","Unknown","540","490","30560","28130"
"In post","2021","Asian","HM Treasury","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury","Declared non-disabled","190","190","44720","40900"
