"Status","Year","Sexual_orientation","Region_ITL3","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy","80","70","49200","40200"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Department for Transport","60","60","32760","27680"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Department for Work and Pensions","250","230","42420","27570"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Ministry of Defence","70","70","38000","44070"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Aberdeen City and Aberdeenshire","Scottish Government","570","540","35610","33550"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Department for Work and Pensions","620","570","24290","21010"
"In post","2021","Heterosexual / straight","Angus and Dundee City","HM Revenue and Customs","130","120","24500","21440"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Ministry of Defence","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Angus and Dundee City","Scottish Government","390","380","32980","28170"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Antrim and Newtownabbey","Ministry of Defence","160","150","23570","20310"
"In post","2021","Heterosexual / straight","Ards and North Down","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Department for Transport","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Ards and North Down","Ministry of Defence","150","140","23340","20310"
"In post","2021","Heterosexual / straight","Armagh City, Banbridge and Craigavon","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Department for Work and Pensions","310","280","30810","31060"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barking & Dagenham and Havering","Ministry of Justice","90","70","29370","26150"
"In post","2021","Heterosexual / straight","Barnet","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Department for Work and Pensions","210","190","30820","31060"
"In post","2021","Heterosexual / straight","Barnet","Department of Health and Social Care","710","670","39800","33350"
"In post","2021","Heterosexual / straight","Barnet","Home Office","120","110","45110","43700"
"In post","2021","Heterosexual / straight","Barnet","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnet","Ministry of Justice","70","70","28630","26810"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Barnsley, Doncaster and Rotherham","Department for Transport","30","30","[c]","[c]"
