"Status","Year","Function_of_post","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","170","160","32880","29270"
"In post","2021","Analysis","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Competition and Markets Authority","100","100","59350","56360"
"In post","2021","Analysis","Heterosexual / straight","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Defence Science and Technology Laboratory","330","310","40120","37360"
"In post","2021","Analysis","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","190","190","44700","37820"
"In post","2021","Analysis","Heterosexual / straight","Department for Digital, Culture, Media and Sport","110","100","52430","50400"
"In post","2021","Analysis","Heterosexual / straight","Department for Education (excl. agencies)","290","270","43860","42420"
"In post","2021","Analysis","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","38470","32560"
"In post","2021","Analysis","Heterosexual / straight","Department for International Trade","160","160","44340","39790"
"In post","2021","Analysis","Heterosexual / straight","Department for Transport (excl. agencies)","270","260","47590","43360"
"In post","2021","Analysis","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","130","120","51480","53360"
"In post","2021","Analysis","Heterosexual / straight","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","[c]","[c]"
