"Status","Year","Sex","Sexual_orientation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Heterosexual / straight","Analysis","2180","2040","43150","38630"
"In post","2021","Female","Heterosexual / straight","Commercial","2210","2100","39780","35610"
"In post","2021","Female","Heterosexual / straight","Communications","2600","2450","36340","31810"
"In post","2021","Female","Heterosexual / straight","Counter Fraud","2800","2560","33020","31810"
"In post","2021","Female","Heterosexual / straight","Debt","1280","1090","24070","21440"
"In post","2021","Female","Heterosexual / straight","Digital, Data & Technology","3060","2900","40610","37100"
"In post","2021","Female","Heterosexual / straight","Finance","3650","3380","37690","33300"
"In post","2021","Female","Heterosexual / straight","Grants Management","470","400","26080","25100"
"In post","2021","Female","Heterosexual / straight","Human Resources","5140","4800","37840","33300"
"In post","2021","Female","Heterosexual / straight","Internal Audit","300","280","43600","41550"
"In post","2021","Female","Heterosexual / straight","Legal","5900","5380","44210","43530"
"In post","2021","Female","Heterosexual / straight","No function","64560","58750","32120","27960"
"In post","2021","Female","Heterosexual / straight","Project Delivery","9080","8600","39990","36500"
"In post","2021","Female","Heterosexual / straight","Property","2540","2360","33380","31100"
"In post","2021","Female","Heterosexual / straight","Security","1370","1320","32050","29250"
"In post","2021","Female","Heterosexual / straight","Unknown","68860","61490","30050","27570"
"In post","2021","Female","LGBO","Analysis","200","200","39780","36160"
"In post","2021","Female","LGBO","Commercial","80","80","36860","33000"
"In post","2021","Female","LGBO","Communications","140","130","34300","31810"
"In post","2021","Female","LGBO","Counter Fraud","150","140","33560","29570"
"In post","2021","Female","LGBO","Debt","60","60","23230","20140"
"In post","2021","Female","LGBO","Digital, Data & Technology","230","220","39360","36530"
"In post","2021","Female","LGBO","Finance","110","100","38550","33050"
"In post","2021","Female","LGBO","Grants Management","40","30","[c]","[c]"
"In post","2021","Female","LGBO","Human Resources","200","190","37560","32150"
"In post","2021","Female","LGBO","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","LGBO","Legal","220","210","41720","33460"
"In post","2021","Female","LGBO","No function","4200","4070","32230","29180"
"In post","2021","Female","LGBO","Project Delivery","390","380","39150","35290"
"In post","2021","Female","LGBO","Property","100","90","32260","29560"
"In post","2021","Female","LGBO","Security","120","120","31240","27990"
"In post","2021","Female","LGBO","Unknown","2790","2650","30170","27570"
"In post","2021","Female","Undeclared","Analysis","200","180","42510","37750"
"In post","2021","Female","Undeclared","Commercial","280","260","36570","33350"
"In post","2021","Female","Undeclared","Communications","260","240","35220","31810"
"In post","2021","Female","Undeclared","Counter Fraud","400","350","33440","31810"
"In post","2021","Female","Undeclared","Debt","200","160","23770","21440"
"In post","2021","Female","Undeclared","Digital, Data & Technology","440","420","40150","37170"
"In post","2021","Female","Undeclared","Finance","500","450","36470","32790"
"In post","2021","Female","Undeclared","Grants Management","30","30","[c]","[c]"
"In post","2021","Female","Undeclared","Human Resources","450","410","35230","31810"
"In post","2021","Female","Undeclared","Internal Audit","50","50","45450","41760"
"In post","2021","Female","Undeclared","Legal","1610","1430","33640","29350"
"In post","2021","Female","Undeclared","No function","8380","7410","31240","27130"
"In post","2021","Female","Undeclared","Project Delivery","1090","1030","39460","35290"
"In post","2021","Female","Undeclared","Property","350","320","34120","33140"
"In post","2021","Female","Undeclared","Security","190","180","33180","33300"
"In post","2021","Female","Undeclared","Unknown","8360","7340","29670","27570"
"In post","2021","Female","Unknown","Analysis","680","640","39480","36160"
"In post","2021","Female","Unknown","Commercial","960","930","53100","49700"
"In post","2021","Female","Unknown","Communications","1300","1230","34130","29540"
"In post","2021","Female","Unknown","Counter Fraud","1170","1070","30340","28130"
"In post","2021","Female","Unknown","Debt","1110","980","22360","20140"
"In post","2021","Female","Unknown","Digital, Data & Technology","1270","1200","39870","37930"
"In post","2021","Female","Unknown","Finance","1030","930","33790","29920"
"In post","2021","Female","Unknown","Grants Management","560","490","24160","21050"
"In post","2021","Female","Unknown","Human Resources","900","830","34540","31190"
"In post","2021","Female","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","Legal","1980","1750","45550","48830"
"In post","2021","Female","Unknown","No function","22210","19990","29890","25790"
"In post","2021","Female","Unknown","Project Delivery","2060","1940","40930","38600"
"In post","2021","Female","Unknown","Property","900","810","28840","25930"
"In post","2021","Female","Unknown","Security","380","360","31710","27700"
"In post","2021","Female","Unknown","Unknown","18360","15580","28830","27570"
