"Status","Year","Disability","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Communications","30","30","[c]","[c]"
"In post","2021","Declared disabled","Asian","Counter Fraud","50","40","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Digital, Data & Technology","60","50","37220","32970"
"In post","2021","Declared disabled","Asian","Finance","40","40","[c]","[c]"
"In post","2021","Declared disabled","Asian","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Human Resources","60","60","40290","36220"
"In post","2021","Declared disabled","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Legal","110","100","42080","38190"
"In post","2021","Declared disabled","Asian","No function","790","740","30980","28200"
"In post","2021","Declared disabled","Asian","Project Delivery","90","80","41140","38630"
"In post","2021","Declared disabled","Asian","Property","30","30","[c]","[c]"
"In post","2021","Declared disabled","Asian","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","1400","1260","29150","27570"
"In post","2021","Declared disabled","Black","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Digital, Data & Technology","30","30","[c]","[c]"
"In post","2021","Declared disabled","Black","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Human Resources","40","40","[c]","[c]"
"In post","2021","Declared disabled","Black","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Legal","60","60","40580","35020"
"In post","2021","Declared disabled","Black","No function","660","630","31660","29570"
"In post","2021","Declared disabled","Black","Project Delivery","60","60","36640","33260"
"In post","2021","Declared disabled","Black","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","810","750","30180","29370"
"In post","2021","Declared disabled","Chinese","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Human Resources","40","40","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Legal","40","30","[c]","[c]"
"In post","2021","Declared disabled","Mixed","No function","450","430","32140","30170"
"In post","2021","Declared disabled","Mixed","Project Delivery","60","50","38890","36800"
"In post","2021","Declared disabled","Mixed","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","480","440","29510","27570"
"In post","2021","Declared disabled","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","No function","140","140","34900","32650"
"In post","2021","Declared disabled","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Property","[c]","[c]","[c]","[c]"
