"Status","Year","Sex","Region_ITL3","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Unknown","210","200","29600","26160"
"In post","2021","Female","Aberdeen City and Aberdeenshire","White","660","600","33330","28720"
"In post","2021","Female","Angus and Dundee City","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Unknown","190","170","25130","21400"
"In post","2021","Female","Angus and Dundee City","White","910","810","26950","23730"
"In post","2021","Female","Antrim and Newtownabbey","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","White","50","50","26980","21770"
"In post","2021","Female","Ards and North Down","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","White","50","40","29120","22330"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Black","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Other ethnicity","[c]","[c]","[c]","[c]"
