"Status","Year","Region_ITL1","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","40","30","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Animal and Plant Health Agency","60","60","31830","29180"
"In post","2021","East Midlands (England)","Heterosexual / straight","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Crown Prosecution Service","320","290","38320","34480"
"In post","2021","East Midlands (England)","Heterosexual / straight","Defence Equipment and Support","190","190","35810","34910"
"In post","2021","East Midlands (England)","Heterosexual / straight","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for Education (excl. agencies)","180","160","42050","37100"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","39920","36560"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","2880","2560","26080","27570"
"In post","2021","East Midlands (England)","Heterosexual / straight","Driver and Vehicle Standards Agency","330","310","32560","27680"
"In post","2021","East Midlands (England)","Heterosexual / straight","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Health and Safety Executive","290","260","41170","39390"
"In post","2021","East Midlands (England)","Heterosexual / straight","HM Courts and Tribunals Service","970","850","22280","19830"
"In post","2021","East Midlands (England)","Heterosexual / straight","HM Land Registry","500","460","32400","27130"
"In post","2021","East Midlands (England)","Heterosexual / straight","HM Prison and Probation Service","3560","3370","29080","26810"
"In post","2021","East Midlands (England)","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","2050","1920","34180","31810"
"In post","2021","East Midlands (England)","Heterosexual / straight","Home Office (incl. agencies)","180","170","27790","25310"
"In post","2021","East Midlands (England)","Heterosexual / straight","Insolvency Service","30","30","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Legal Aid Agency","140","120","23710","21170"
"In post","2021","East Midlands (England)","Heterosexual / straight","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Ministry of Defence (excl. agencies)","1200","1160","26690","21580"
"In post","2021","East Midlands (England)","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Ministry of Justice (excl. agencies)","120","120","36260","34430"
"In post","2021","East Midlands (England)","Heterosexual / straight","National Crime Agency","120","120","37940","36740"
"In post","2021","East Midlands (England)","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","140","130","45330","39850"
"In post","2021","East Midlands (England)","Heterosexual / straight","Office of the Public Guardian","310","280","21610","21170"
"In post","2021","East Midlands (England)","Heterosexual / straight","Public Health England","140","130","41930","36330"
"In post","2021","East Midlands (England)","Heterosexual / straight","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Heterosexual / straight","Valuation Office Agency","90","80","35440","32100"
"In post","2021","East Midlands (England)","Heterosexual / straight","Vehicle Certification Agency","60","50","37040","34470"
"In post","2021","East Midlands (England)","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Department for Work and Pensions (excl. agencies)","190","180","26050","27570"
"In post","2021","East Midlands (England)","LGBO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","HM Courts and Tribunals Service","50","50","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","HM Prison and Probation Service","230","220","29230","27150"
"In post","2021","East Midlands (England)","LGBO","HM Revenue and Customs (excl. agencies)","130","130","33410","31810"
"In post","2021","East Midlands (England)","LGBO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","LGBO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
