"Status","Year","Responsibility_level","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Female","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Advisory, Conciliation and Arbitration Service","40","30","[c]","[c]"
"In post","2021","AA/AO","Female","Animal and Plant Health Agency","560","500","21820","21050"
"In post","2021","AA/AO","Female","Cabinet Office (excl. agencies)","320","280","21750","20920"
"In post","2021","AA/AO","Female","Centre for Environment, Fisheries and Aquaculture Science","40","30","[c]","[c]"
"In post","2021","AA/AO","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Companies House","290","240","21870","22490"
"In post","2021","AA/AO","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Criminal Injuries Compensation Authority","60","60","20380","20650"
"In post","2021","AA/AO","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Crown Office and Procurator Fiscal Service","540","470","21900","22220"
"In post","2021","AA/AO","Female","Crown Prosecution Service","1070","950","22250","21950"
"In post","2021","AA/AO","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Defence Science and Technology Laboratory","40","40","[c]","[c]"
"In post","2021","AA/AO","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","40","[c]","[c]"
"In post","2021","AA/AO","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Department for Education (excl. agencies)","50","50","22180","21000"
"In post","2021","AA/AO","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","110","100","22490","21050"
"In post","2021","AA/AO","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Department for Transport (excl. agencies)","50","50","24440","25730"
"In post","2021","AA/AO","Female","Department for Work and Pensions (excl. agencies)","19630","15900","21160","21010"
"In post","2021","AA/AO","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Disclosure Scotland","90","80","21990","22230"
"In post","2021","AA/AO","Female","Driver and Vehicle Licensing Agency","2730","2170","20490","21590"
"In post","2021","AA/AO","Female","Driver and Vehicle Standards Agency","370","320","21790","21590"
"In post","2021","AA/AO","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Education Scotland","40","40","[c]","[c]"
"In post","2021","AA/AO","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","FCDO Services","50","50","[c]","[c]"
"In post","2021","AA/AO","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Foreign, Commonwealth and Development Office (excl. agencies)","260","250","25750","24750"
"In post","2021","AA/AO","Female","Forestry and Land Scotland","130","120","23730","22920"
"In post","2021","AA/AO","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Government Legal Department","40","30","[c]","[c]"
"In post","2021","AA/AO","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Health and Safety Executive","200","170","22140","22160"
"In post","2021","AA/AO","Female","HM Courts and Tribunals Service","7460","6330","19980","19930"
"In post","2021","AA/AO","Female","HM Land Registry","1140","1060","22470","22350"
