"Status","Year","Sex","Sexual_orientation","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Heterosexual / straight","Aberdeen City and Aberdeenshire","550","500","34160","29190"
"In post","2021","Female","Heterosexual / straight","Angus and Dundee City","740","670","27420","25300"
"In post","2021","Female","Heterosexual / straight","Antrim and Newtownabbey","50","50","[c]","[c]"
"In post","2021","Female","Heterosexual / straight","Ards and North Down","50","40","[c]","[c]"
"In post","2021","Female","Heterosexual / straight","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Heterosexual / straight","Barking & Dagenham and Havering","270","240","30480","31060"
"In post","2021","Female","Heterosexual / straight","Barnet","720","670","36600","32330"
"In post","2021","Female","Heterosexual / straight","Barnsley, Doncaster and Rotherham","1280","1090","26380","26300"
"In post","2021","Female","Heterosexual / straight","Bath and North East Somerset, North Somerset and South Gloucestershire","4160","3860","34650","32660"
"In post","2021","Female","Heterosexual / straight","Bedford","320","300","28840","27570"
"In post","2021","Female","Heterosexual / straight","Belfast","960","860","29870","26730"
"In post","2021","Female","Heterosexual / straight","Berkshire","910","850","32780","29290"
"In post","2021","Female","Heterosexual / straight","Bexley and Greenwich","610","570","30650","31060"
"In post","2021","Female","Heterosexual / straight","Birmingham","4240","3840","30850","27570"
"In post","2021","Female","Heterosexual / straight","Blackburn with Darwen","220","190","26990","27570"
"In post","2021","Female","Heterosexual / straight","Blackpool","2100","1860","28560","27570"
"In post","2021","Female","Heterosexual / straight","Bournemouth and Poole","300","260","26900","27570"
"In post","2021","Female","Heterosexual / straight","Bradford","1110","950","27920","25560"
"In post","2021","Female","Heterosexual / straight","Breckland and South Norfolk","160","140","27420","26740"
"In post","2021","Female","Heterosexual / straight","Brent","240","220","30730","31060"
"In post","2021","Female","Heterosexual / straight","Bridgend and Neath Port Talbot","380","330","26730","27570"
"In post","2021","Female","Heterosexual / straight","Brighton and Hove","270","240","31150","27570"
"In post","2021","Female","Heterosexual / straight","Bristol, City of","2410","2170","35090","30850"
"In post","2021","Female","Heterosexual / straight","Bromley","230","210","29240","31060"
"In post","2021","Female","Heterosexual / straight","Buckinghamshire CC","730","690","31150","28670"
"In post","2021","Female","Heterosexual / straight","Caithness and Sutherland and Ross and Cromarty","70","60","27430","27570"
"In post","2021","Female","Heterosexual / straight","Calderdale and Kirklees","470","400","27090","27570"
"In post","2021","Female","Heterosexual / straight","Cambridgeshire CC","1170","1090","33190","29610"
"In post","2021","Female","Heterosexual / straight","Camden and City of London","1120","1050","35580","30850"
