"Status","Year","Region_ITL3","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Female","290","260","22740","22160"
"In post","2021","Aberdeen City and Aberdeenshire","AA/AO","Male","260","250","28160","25870"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Female","320","290","28410","27570"
"In post","2021","Aberdeen City and Aberdeenshire","EO","Male","280","270","30280","29190"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Female","60","50","62970","61010"
"In post","2021","Aberdeen City and Aberdeenshire","G6/G7","Male","70","70","69230","61850"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Female","260","250","40830","36620"
"In post","2021","Aberdeen City and Aberdeenshire","SEO/HEO","Male","320","310","50250","41090"
"In post","2021","Angus and Dundee City","AA/AO","Female","640","560","21160","21010"
"In post","2021","Angus and Dundee City","AA/AO","Male","470","450","21050","21010"
"In post","2021","Angus and Dundee City","EO","Female","330","290","27440","27570"
"In post","2021","Angus and Dundee City","EO","Male","160","150","27410","27570"
"In post","2021","Angus and Dundee City","G6/G7","Female","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","G6/G7","Male","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","SEO/HEO","Female","150","140","37120","35000"
"In post","2021","Angus and Dundee City","SEO/HEO","Male","80","80","36390","33950"
"In post","2021","Antrim and Newtownabbey","AA/AO","Female","40","40","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","AA/AO","Male","110","110","20640","20310"
"In post","2021","Antrim and Newtownabbey","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Female","30","30","[c]","[c]"
"In post","2021","Ards and North Down","AA/AO","Male","140","140","21110","20310"
"In post","2021","Ards and North Down","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Ards and North Down","SEO/HEO","Male","[c]","[c]","[c]","[c]"
