"Status","Year","Sex","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Declared disabled","Aberdeen City and Aberdeenshire","80","70","29420","27570"
"In post","2021","Female","Declared disabled","Angus and Dundee City","180","160","24100","21150"
"In post","2021","Female","Declared disabled","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Barking & Dagenham and Havering","70","60","30790","31060"
"In post","2021","Female","Declared disabled","Barnet","80","70","32650","31060"
"In post","2021","Female","Declared disabled","Barnsley, Doncaster and Rotherham","280","240","26320","27570"
"In post","2021","Female","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","640","600","34130","32280"
"In post","2021","Female","Declared disabled","Bedford","70","60","29260","27850"
"In post","2021","Female","Declared disabled","Belfast","140","120","29400","26550"
"In post","2021","Female","Declared disabled","Berkshire","180","160","32880","29290"
"In post","2021","Female","Declared disabled","Bexley and Greenwich","120","110","30020","30550"
"In post","2021","Female","Declared disabled","Birmingham","800","710","28870","27570"
"In post","2021","Female","Declared disabled","Blackburn with Darwen","50","40","27330","27570"
"In post","2021","Female","Declared disabled","Blackpool","510","440","27220","27570"
"In post","2021","Female","Declared disabled","Bournemouth and Poole","80","70","26460","27570"
"In post","2021","Female","Declared disabled","Bradford","240","200","25730","24000"
"In post","2021","Female","Declared disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Brent","50","40","[c]","[c]"
"In post","2021","Female","Declared disabled","Bridgend and Neath Port Talbot","80","70","26100","27570"
"In post","2021","Female","Declared disabled","Brighton and Hove","60","50","29500","27570"
"In post","2021","Female","Declared disabled","Bristol, City of","370","330","31540","27570"
"In post","2021","Female","Declared disabled","Bromley","50","50","31440","31060"
"In post","2021","Female","Declared disabled","Buckinghamshire CC","120","110","29650","27850"
"In post","2021","Female","Declared disabled","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Calderdale and Kirklees","120","110","26540","27570"
"In post","2021","Female","Declared disabled","Cambridgeshire CC","180","170","31660","28840"
"In post","2021","Female","Declared disabled","Camden and City of London","160","150","34140","29570"
"In post","2021","Female","Declared disabled","Cardiff and Vale of Glamorgan","620","560","31230","27570"
"In post","2021","Female","Declared disabled","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Central Hampshire","220","210","33470","33000"
"In post","2021","Female","Declared disabled","Central Valleys","120","110","27590","27570"
"In post","2021","Female","Declared disabled","Cheshire East","60","60","30340","27570"
"In post","2021","Female","Declared disabled","Cheshire West and Chester","60","50","26340","27570"
"In post","2021","Female","Declared disabled","Chorley and West Lancashire","70","60","26950","26810"
"In post","2021","Female","Declared disabled","City of Edinburgh","600","550","36320","30650"
"In post","2021","Female","Declared disabled","Clackmannanshire and Fife","90","80","28540","27570"
"In post","2021","Female","Declared disabled","Conwy and Denbighshire","50","50","31140","27570"
"In post","2021","Female","Declared disabled","Cornwall and Isles of Scilly","130","110","26430","27570"
"In post","2021","Female","Declared disabled","Coventry","150","130","33090","29360"
"In post","2021","Female","Declared disabled","Croydon","560","500","35260","30600"
"In post","2021","Female","Declared disabled","Darlington","60","60","31120","29360"
"In post","2021","Female","Declared disabled","Derby","90","70","24670","21010"
"In post","2021","Female","Declared disabled","Derry City and Strabane","[c]","[c]","[c]","[c]"
"In post","2021","Female","Declared disabled","Devon CC","310","260","27700","26170"
"In post","2021","Female","Declared disabled","Dorset CC","120","110","28140","27130"
"In post","2021","Female","Declared disabled","Dudley","120","100","25260","27170"
"In post","2021","Female","Declared disabled","Dumfries and Galloway","[c]","[c]","[c]","[c]"
