"Status","Year","Ethnicity","Region_ITL2","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","20-29","80","70","27510","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","30-39","140","130","30610","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","40-49","180","160","32840","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","50-59","120","100","30810","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","60-64","30","30","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","20-29","100","90","26980","27570"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","30-39","150","140","31770","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","40-49","160","140","30730","27630"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","50-59","150","140","32260","29290"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","60-64","30","30","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","16-19","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","20-29","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","30-39","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","40-49","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","50-59","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","60-64","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","65+","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","16-19","[c]","[c]","[c]","[c]"
