"Status","Year","Parent_department","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Crown Prosecution Service","4480","4060","39710","33310"
"In post","2021","Attorney General's Departments","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Female","Government Legal Department","1640","1480","54340","52040"
"In post","2021","Attorney General's Departments","Female","Serious Fraud Office","220","210","45630","40170"
"In post","2021","Attorney General's Departments","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Crown Prosecution Service","2260","2210","44650","48080"
"In post","2021","Attorney General's Departments","Male","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Male","Government Legal Department","890","870","54980","52730"
"In post","2021","Attorney General's Departments","Male","Serious Fraud Office","270","270","46720","41200"
"In post","2021","Cabinet Office","Female","Cabinet Office (excl. agencies)","5040","4890","44370","35590"
"In post","2021","Cabinet Office","Male","Cabinet Office (excl. agencies)","4420","4380","49300","40600"
"In post","2021","Chancellor's other departments","Female","Government Actuary's Department","80","70","60570","62730"
"In post","2021","Chancellor's other departments","Female","National Savings and Investments","100","100","47700","43760"
"In post","2021","Chancellor's other departments","Male","Government Actuary's Department","130","120","68570","57250"
"In post","2021","Chancellor's other departments","Male","National Savings and Investments","100","100","55380","48960"
"In post","2021","Charity Commission","Female","Charity Commission","250","230","34360","29160"
"In post","2021","Charity Commission","Male","Charity Commission","190","180","35510","29550"
"In post","2021","Competition and Markets Authority","Female","Competition and Markets Authority","430","410","58550","55860"
"In post","2021","Competition and Markets Authority","Male","Competition and Markets Authority","410","400","62650","59140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Advisory, Conciliation and Arbitration Service","620","570","32080","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Companies House","610","530","29120","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","2600","2510","47560","44370"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Insolvency Service","1030","960","31260","26410"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","Met Office","790","730","38220","38200"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","UK Intellectual Property Office","700","650","33730","28240"
"In post","2021","Department for Business, Energy and Industrial Strategy","Female","UK Space Agency","130","130","44310","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Advisory, Conciliation and Arbitration Service","440","420","34540","31040"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Companies House","490","490","32800","30660"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","2720","2700","50170","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Insolvency Service","780","770","34540","32060"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","Met Office","1310","1270","41220","39750"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","UK Intellectual Property Office","810","780","41280","40640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Male","UK Space Agency","120","120","49660","49100"
"In post","2021","Department for Digital, Culture, Media and Sport","Female","Department for Digital, Culture, Media and Sport","960","930","48180","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Male","Department for Digital, Culture, Media and Sport","820","810","50260","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Female","Department for Education (excl. agencies)","3370","3180","43730","40230"
"In post","2021","Department for Education","Female","Education and Skills Funding Agency","1020","960","41100","36960"
"In post","2021","Department for Education","Female","Institute for Apprenticeships and Technical Education","130","130","47190","49960"
"In post","2021","Department for Education","Female","Standards and Testing Agency","90","80","43820","41400"
"In post","2021","Department for Education","Female","Teaching Regulation Agency","50","40","[c]","[c]"
"In post","2021","Department for Education","Male","Department for Education (excl. agencies)","2330","2310","45310","40940"
"In post","2021","Department for Education","Male","Education and Skills Funding Agency","800","790","42880","37100"
"In post","2021","Department for Education","Male","Institute for Apprenticeships and Technical Education","80","80","52500","50630"
"In post","2021","Department for Education","Male","Standards and Testing Agency","40","40","[c]","[c]"
"In post","2021","Department for Education","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Animal and Plant Health Agency","1610","1490","29560","25730"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Centre for Environment, Fisheries and Aquaculture Science","290","260","31560","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","2960","2790","41630","37240"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Rural Payments Agency","1240","1080","26110","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Female","Veterinary Medicines Directorate","100","100","39100","36590"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Animal and Plant Health Agency","1070","1040","32290","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Centre for Environment, Fisheries and Aquaculture Science","330","320","36330","30660"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","2450","2420","43480","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Rural Payments Agency","940","910","27230","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Male","Veterinary Medicines Directorate","70","70","47750","52290"
"In post","2021","Department for International Trade","Female","Department for International Trade","1270","1250","44620","38690"
"In post","2021","Department for International Trade","Male","Department for International Trade","1420","1420","46910","41180"
"In post","2021","Department for Transport","Female","Department for Transport (excl. agencies)","1540","1480","45810","42890"
"In post","2021","Department for Transport","Female","Driver and Vehicle Licensing Agency","3770","3110","24230","21590"
"In post","2021","Department for Transport","Female","Driver and Vehicle Standards Agency","1430","1310","29020","26780"
"In post","2021","Department for Transport","Female","Maritime and Coastguard Agency","480","440","32430","30730"
"In post","2021","Department for Transport","Female","Vehicle Certification Agency","70","60","28900","27250"
"In post","2021","Department for Transport","Male","Department for Transport (excl. agencies)","1980","1940","49280","44030"
"In post","2021","Department for Transport","Male","Driver and Vehicle Licensing Agency","2460","2380","28950","21590"
"In post","2021","Department for Transport","Male","Driver and Vehicle Standards Agency","3360","3210","29930","27680"
"In post","2021","Department for Transport","Male","Maritime and Coastguard Agency","760","740","39980","36180"
"In post","2021","Department for Transport","Male","Vehicle Certification Agency","140","140","39480","37790"
"In post","2021","Department for Work and Pensions","Female","Department for Work and Pensions (excl. agencies)","59540","51290","27230","27570"
"In post","2021","Department for Work and Pensions","Female","Health and Safety Executive","1300","1180","38460","35910"
"In post","2021","Department for Work and Pensions","Male","Department for Work and Pensions (excl. agencies)","31410","30130","28440","27570"
"In post","2021","Department for Work and Pensions","Male","Health and Safety Executive","1280","1240","48180","45870"
"In post","2021","Department of Health and Social Care","Female","Department of Health and Social Care (excl. agencies)","2100","2030","45460","40650"
"In post","2021","Department of Health and Social Care","Female","Medicines and Healthcare Products Regulatory Agency","790","760","46740","41010"
"In post","2021","Department of Health and Social Care","Female","Public Health England","4790","4310","41900","36690"
"In post","2021","Department of Health and Social Care","Male","Department of Health and Social Care (excl. agencies)","1420","1410","48550","45550"
"In post","2021","Department of Health and Social Care","Male","Medicines and Healthcare Products Regulatory Agency","540","530","50140","44230"
"In post","2021","Department of Health and Social Care","Male","Public Health England","2110","2010","48440","41170"
"In post","2021","ESTYN","Female","ESTYN","70","60","53760","63880"
"In post","2021","ESTYN","Male","ESTYN","50","50","[c]","[c]"
"In post","2021","Food Standards Agency","Female","Food Standards Agency","530","510","39290","37910"
"In post","2021","Food Standards Agency","Male","Food Standards Agency","780","760","35880","30810"
"In post","2021","Foreign, Commonwealth and Development Office","Female","FCDO Services","310","290","38480","31800"
"In post","2021","Foreign, Commonwealth and Development Office","Female","Foreign, Commonwealth and Development Office (excl. agencies)","3850","3740","46990","41810"
"In post","2021","Foreign, Commonwealth and Development Office","Female","Wilton Park","60","50","33030","28640"
"In post","2021","Foreign, Commonwealth and Development Office","Male","FCDO Services","770","750","41120","39410"
"In post","2021","Foreign, Commonwealth and Development Office","Male","Foreign, Commonwealth and Development Office (excl. agencies)","3620","3600","50260","49920"
"In post","2021","Foreign, Commonwealth and Development Office","Male","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","HM Land Registry","Female","HM Land Registry","3810","3360","30140","27130"
"In post","2021","HM Land Registry","Male","HM Land Registry","2540","2410","32510","27130"
"In post","2021","HM Revenue and Customs","Female","HM Revenue and Customs (excl. agencies)","33230","29280","30100","25560"
"In post","2021","HM Revenue and Customs","Female","Valuation Office Agency","1820","1630","31610","26500"
"In post","2021","HM Revenue and Customs","Male","HM Revenue and Customs (excl. agencies)","29720","28540","32380","29570"
"In post","2021","HM Revenue and Customs","Male","Valuation Office Agency","1710","1650","35940","32100"
"In post","2021","HM Treasury","Female","Debt Management Office","40","40","[c]","[c]"
"In post","2021","HM Treasury","Female","Government Internal Audit Agency","240","220","46000","43160"
"In post","2021","HM Treasury","Female","HM Treasury (excl. agencies)","990","950","45840","41270"
"In post","2021","HM Treasury","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","HM Treasury","Male","Debt Management Office","80","70","63150","58810"
"In post","2021","HM Treasury","Male","Government Internal Audit Agency","220","220","51410","49750"
