"Status","Year","Profession_of_post","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Crown Commercial Service","190","180","33620","33340"
"In post","2021","Commercial","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Defence Equipment and Support","480","450","37410","34100"
"In post","2021","Commercial","Female","Defence Science and Technology Laboratory","40","30","[c]","[c]"
"In post","2021","Commercial","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department for Education (excl. agencies)","100","90","39720","38000"
"In post","2021","Commercial","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","90","80","37580","36970"
"In post","2021","Commercial","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Department of Health and Social Care (excl. agencies)","120","110","47050","40650"
"In post","2021","Commercial","Female","Driver and Vehicle Licensing Agency","80","70","31320","31040"
"In post","2021","Commercial","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Education and Skills Funding Agency","90","90","39300","36780"
"In post","2021","Commercial","Female","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","FCDO Services","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Foreign, Commonwealth and Development Office (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Commercial","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","HM Prison and Probation Service","380","360","45420","42630"
"In post","2021","Commercial","Female","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Home Office (incl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Legal Aid Agency","60","60","40690","40080"
"In post","2021","Commercial","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Met Office","100","90","41620","39560"
"In post","2021","Commercial","Female","Ministry of Defence (excl. agencies)","480","450","35460","34800"
"In post","2021","Commercial","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Ministry of Justice (excl. agencies)","60","60","34100","34090"
"In post","2021","Commercial","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Scottish Prison Service","40","30","[c]","[c]"
"In post","2021","Commercial","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Female","Submarine Delivery Agency","70","70","37150","33680"
"In post","2021","Commercial","Female","The National Archives","[c]","[c]","[c]","[c]"
