"Status","Year","Organisation","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Female","East Ayrshire and North Ayrshire mainland","80","60","30300","29190"
"In post","2021","Accountant in Bankruptcy","Female","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","East Ayrshire and North Ayrshire mainland","40","40","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Male","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Birmingham","60","50","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Bristol, City of","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Cardiff and Vale of Glamorgan","60","50","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Glasgow City","50","50","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Leeds","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Manchester","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Nottingham","60","60","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Tyneside","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Female","Westminster","110","110","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Birmingham","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Cardiff and Vale of Glamorgan","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Glasgow City","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Leeds","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Manchester","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Nottingham","40","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Tyneside","50","50","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Male","Westminster","90","90","45330","43750"
"In post","2021","Animal and Plant Health Agency","Female","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Bristol, City of","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Cardiff and Vale of Glamorgan","50","50","25340","21050"
"In post","2021","Animal and Plant Health Agency","Female","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Cornwall and Isles of Scilly","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Devon CC","130","120","26050","21050"
"In post","2021","Animal and Plant Health Agency","Female","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","East Cumbria","100","90","25540","21050"
"In post","2021","Animal and Plant Health Agency","Female","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Gloucestershire","40","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Gwynedd","50","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Hounslow and Richmond upon Thames","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Mid Lancashire","50","40","29720","25190"
"In post","2021","Animal and Plant Health Agency","Female","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","North Yorkshire CC","70","60","29700","28100"
"In post","2021","Animal and Plant Health Agency","Female","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","South West Wales","90","80","27520","25100"
"In post","2021","Animal and Plant Health Agency","Female","Staffordshire CC","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","West Surrey","330","310","31740","28430"
"In post","2021","Animal and Plant Health Agency","Female","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Female","Worcestershire","100","90","27580","25260"
"In post","2021","Animal and Plant Health Agency","Female","York","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Cardiff and Vale of Glamorgan","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Devon CC","70","70","29510","24920"
"In post","2021","Animal and Plant Health Agency","Male","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","East Cumbria","60","50","25810","21050"
"In post","2021","Animal and Plant Health Agency","Male","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Gwynedd","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Hounslow and Richmond upon Thames","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","North Yorkshire CC","60","60","33410","29530"
"In post","2021","Animal and Plant Health Agency","Male","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Perth and Kinross and Stirling","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Shropshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","South West Wales","50","50","29110","25260"
"In post","2021","Animal and Plant Health Agency","Male","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","West Surrey","230","220","35350","32560"
"In post","2021","Animal and Plant Health Agency","Male","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Male","Worcestershire","60","60","33280","31440"
"In post","2021","Animal and Plant Health Agency","Male","York","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Female","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Male","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Female","Belfast","[c]","[c]","[c]","[c]"
