"Status","Year","Organisation","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","110","100","31650","29190"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","100","90","29690","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","40","40","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","90","90","30920","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","60","50","33460","30970"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","140","130","29840","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","200","190","42390","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Tyneside","140","130","29960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","100","100","30430","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","90","80","30970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","70","60","31800","30950"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","Cheshire East","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","60","50","32700","26520"
"In post","2021","Animal and Plant Health Agency","Cumbria","East Cumbria","160","150","25630","21050"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","Devon CC","210","200","27290","21050"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Somerset","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Suffolk","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Wales","Cardiff and Vale of Glamorgan","90","80","27960","21050"
"In post","2021","Animal and Plant Health Agency","East Wales","Powys","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Perth and Kinross and Stirling","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","Heart of Essex","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","50","50","25450","21050"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","60","50","32320","30320"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Worcestershire","160","150","29810","26600"
"In post","2021","Animal and Plant Health Agency","Highlands and Islands","Caithness and Sutherland and Ross and Cromarty","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Kent","East Kent","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lancashire","Mid Lancashire","70","60","30790","26520"
"In post","2021","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Eastern Scotland","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Yorkshire","North Yorkshire CC","130","120","31480","29180"
"In post","2021","Animal and Plant Health Agency","North Yorkshire","York","60","60","24060","21050"
"In post","2021","Animal and Plant Health Agency","Northumberland and Tyne and Wear","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Northumberland and Tyne and Wear","Tyneside","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outer London - West and North West","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outer London - West and North West","Hounslow and Richmond upon Thames","70","70","32550","31460"
"In post","2021","Animal and Plant Health Agency","Shropshire and Staffordshire","Shropshire CC","40","40","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Shropshire and Staffordshire","Staffordshire CC","60","60","25520","21050"
"In post","2021","Animal and Plant Health Agency","Shropshire and Staffordshire","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","Scottish Borders","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Surrey, East and West Sussex","West Surrey","560","530","33220","28550"
"In post","2021","Animal and Plant Health Agency","Surrey, East and West Sussex","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Wales and The Valleys","Gwynedd","70","60","26690","24920"
"In post","2021","Animal and Plant Health Agency","West Wales and The Valleys","South West Wales","150","140","28110","25190"
"In post","2021","Animal and Plant Health Agency","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Inner London - West","Westminster","50","50","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","90","90","29950","33000"
"In post","2021","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cheshire","Warrington","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Dorset and Somerset","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Anglia","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Anglia","Norwich and East Norfolk","90","90","46130","40250"
"In post","2021","Cabinet Office (excl. agencies)","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Anglia","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Wales","Cardiff and Vale of Glamorgan","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","East Wales","Monmouthshire and Newport","30","30","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","40","40","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","70","60","43300","38420"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","70","60","61990","54700"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester","Greater Manchester South East","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Greater Manchester","Greater Manchester South West","170","170","45200","38890"
