"Status","Year","Sexual_orientation","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","AA/AO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Animal and Plant Health Agency","590","550","21820","21050"
"In post","2021","Heterosexual / straight","AA/AO","Cabinet Office (excl. agencies)","320","290","21880","20920"
"In post","2021","Heterosexual / straight","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Companies House","240","210","21770","22490"
"In post","2021","Heterosexual / straight","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Criminal Injuries Compensation Authority","70","60","20200","19930"
"In post","2021","Heterosexual / straight","AA/AO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Crown Office and Procurator Fiscal Service","620","550","21930","22220"
"In post","2021","Heterosexual / straight","AA/AO","Crown Prosecution Service","1020","940","22320","21950"
"In post","2021","Heterosexual / straight","AA/AO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Defence Electronics and Components Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Defence Science and Technology Laboratory","80","80","18800","17710"
"In post","2021","Heterosexual / straight","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Department for Education (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","110","100","22620","21050"
"In post","2021","Heterosexual / straight","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Department for Transport (excl. agencies)","60","50","25420","25730"
"In post","2021","Heterosexual / straight","AA/AO","Department for Work and Pensions (excl. agencies)","17710","15370","21200","21010"
"In post","2021","Heterosexual / straight","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Disclosure Scotland","100","90","21780","21150"
"In post","2021","Heterosexual / straight","AA/AO","Driver and Vehicle Licensing Agency","2340","2020","20790","21590"
"In post","2021","Heterosexual / straight","AA/AO","Driver and Vehicle Standards Agency","640","600","24860","26580"
"In post","2021","Heterosexual / straight","AA/AO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","FCDO Services","100","100","23820","22850"
"In post","2021","Heterosexual / straight","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","320","310","26140","25430"
"In post","2021","Heterosexual / straight","AA/AO","Forestry and Land Scotland","60","60","25170","26530"
"In post","2021","Heterosexual / straight","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Government Legal Department","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Health and Safety Executive","190","170","21990","22160"
"In post","2021","Heterosexual / straight","AA/AO","HM Courts and Tribunals Service","7290","6330","19950","19930"
"In post","2021","Heterosexual / straight","AA/AO","HM Land Registry","850","790","22450","22350"
"In post","2021","Heterosexual / straight","AA/AO","HM Prison and Probation Service","18180","17300","26110","25400"
"In post","2021","Heterosexual / straight","AA/AO","HM Revenue and Customs (excl. agencies)","9140","7880","20770","20140"
"In post","2021","Heterosexual / straight","AA/AO","HM Treasury (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Home Office (incl. agencies)","6760","5960","21980","21430"
"In post","2021","Heterosexual / straight","AA/AO","Insolvency Service","260","250","21320","20880"
"In post","2021","Heterosexual / straight","AA/AO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Legal Aid Agency","320","290","19760","19930"
"In post","2021","Heterosexual / straight","AA/AO","Maritime and Coastguard Agency","180","170","24100","24590"
"In post","2021","Heterosexual / straight","AA/AO","Medicines and Healthcare Products Regulatory Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Ministry of Defence (excl. agencies)","11820","11350","22530","20920"
"In post","2021","Heterosexual / straight","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Ministry of Justice (excl. agencies)","170","160","21400","21710"
"In post","2021","Heterosexual / straight","AA/AO","National Crime Agency","240","230","23540","22980"
"In post","2021","Heterosexual / straight","AA/AO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","National Records of Scotland","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Office for Standards in Education, Children's Services and Skills","170","160","21280","21160"
"In post","2021","Heterosexual / straight","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Office of the Public Guardian","620","560","19780","19930"
"In post","2021","Heterosexual / straight","AA/AO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Planning Inspectorate","90","80","21420","21270"
"In post","2021","Heterosexual / straight","AA/AO","Public Health England","670","590","21140","20150"
"In post","2021","Heterosexual / straight","AA/AO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Registers of Scotland","170","170","24130","24130"
"In post","2021","Heterosexual / straight","AA/AO","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Rural Payments Agency","330","280","21000","21050"
"In post","2021","Heterosexual / straight","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Scottish Courts and Tribunals Service","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Scottish Government (excl. agencies)","470","450","23700","23340"
"In post","2021","Heterosexual / straight","AA/AO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Scottish Prison Service","380","350","24600","25870"
"In post","2021","Heterosexual / straight","AA/AO","Scottish Public Pensions Agency","70","70","24040","24110"
"In post","2021","Heterosexual / straight","AA/AO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Social Security Scotland","260","250","21210","20060"
"In post","2021","Heterosexual / straight","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","Transport Scotland","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","AA/AO","UK Hydrographic Office","50","50","20380","20170"
"In post","2021","Heterosexual / straight","AA/AO","UK Intellectual Property Office","100","90","20840","21140"
