"Status","Year","Function_of_post","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","United Kingdom Statistics Authority","190","170","24160","23050"
"In post","2021","Analysis","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","90","80","51850","48080"
"In post","2021","Analysis","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Competition and Markets Authority","80","70","65500","61590"
"In post","2021","Analysis","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Defence Science and Technology Laboratory","200","190","49100","46130"
"In post","2021","Analysis","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","80","70","61930","57850"
"In post","2021","Analysis","G6/G7","Department for Digital, Culture, Media and Sport","60","60","63180","60130"
"In post","2021","Analysis","G6/G7","Department for Education (excl. agencies)","130","120","55510","53760"
"In post","2021","Analysis","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Department for International Trade","110","100","54090","51970"
"In post","2021","Analysis","G6/G7","Department for Transport (excl. agencies)","170","160","58010","54760"
"In post","2021","Analysis","G6/G7","Department of Health and Social Care (excl. agencies)","220","210","57280","53360"
"In post","2021","Analysis","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Analysis","G6/G7","Government Actuary's Department","110","90","87900","83030"
"In post","2021","Analysis","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","HM Revenue and Customs (excl. agencies)","220","210","57210","59160"
"In post","2021","Analysis","G6/G7","HM Treasury (excl. agencies)","60","60","58860","55840"
"In post","2021","Analysis","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","58090","54740"
"In post","2021","Analysis","G6/G7","Ministry of Justice (excl. agencies)","140","130","60330","58130"
"In post","2021","Analysis","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"In post","2021","Analysis","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","United Kingdom Statistics Authority","350","340","52720","50090"
"In post","2021","Analysis","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Analysis","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","260","240","32850","30220"
"In post","2021","Analysis","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Defence Science and Technology Laboratory","250","250","33750","37320"
"In post","2021","Analysis","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","170","170","37120","35640"
"In post","2021","Analysis","SEO/HEO","Department for Digital, Culture, Media and Sport","70","60","42770","42020"
"In post","2021","Analysis","SEO/HEO","Department for Education (excl. agencies)","240","220","40090","41990"
"In post","2021","Analysis","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Department for International Trade","110","100","33040","31800"
"In post","2021","Analysis","SEO/HEO","Department for Transport (excl. agencies)","170","170","36840","35060"
"In post","2021","Analysis","SEO/HEO","Department of Health and Social Care (excl. agencies)","50","50","34900","32790"
"In post","2021","Analysis","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Government Actuary's Department","50","50","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","HM Revenue and Customs (excl. agencies)","360","350","36430","36160"
"In post","2021","Analysis","SEO/HEO","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Ministry of Defence (excl. agencies)","110","110","40460","40550"
"In post","2021","Analysis","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","80","80","35510","34000"
"In post","2021","Analysis","SEO/HEO","Ministry of Justice (excl. agencies)","200","200","37980","39870"
"In post","2021","Analysis","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Office for Standards in Education, Children's Services and Skills","100","100","35860","35010"
"In post","2021","Analysis","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","United Kingdom Statistics Authority","1060","1020","33600","32540"
"In post","2021","Analysis","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"In post","2021","Commercial","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","HM Prison and Probation Service","60","50","23120","23240"
"In post","2021","Commercial","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Ministry of Defence (excl. agencies)","230","220","21670","21130"
"In post","2021","Commercial","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Scottish Prison Service","50","50","23640","25870"
"In post","2021","Commercial","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Crown Commercial Service","60","50","23490","22400"
"In post","2021","Commercial","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Defence Equipment and Support","30","30","[c]","[c]"
"In post","2021","Commercial","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Driver and Vehicle Licensing Agency","40","30","[c]","[c]"
"In post","2021","Commercial","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","HM Prison and Probation Service","60","60","28660","28220"
"In post","2021","Commercial","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Ministry of Defence (excl. agencies)","340","320","27550","26670"
"In post","2021","Commercial","EO","Ministry of Justice (excl. agencies)","50","50","[c]","[c]"
"In post","2021","Commercial","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Cabinet Office (excl. agencies)","800","780","63320","56920"
"In post","2021","Commercial","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Crown Commercial Service","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Defence Equipment and Support","80","80","58170","55420"
"In post","2021","Commercial","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Department of Health and Social Care (excl. agencies)","50","50","54960","53360"
"In post","2021","Commercial","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
