"Status","Year","Function_of_post","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","40","40","[c]","[c]"
"In post","2021","Analysis","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","United Kingdom Statistics Authority","60","60","19490","19130"
"In post","2021","Analysis","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Centre for Environment, Fisheries and Aquaculture Science","90","90","25060","24920"
"In post","2021","Analysis","EO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Department for Education (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Analysis","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Analysis","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"In post","2021","Analysis","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Ministry of Defence (excl. agencies)","50","50","28250","27850"
"In post","2021","Analysis","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Ministry of Justice (excl. agencies)","50","50","26210","26410"
"In post","2021","Analysis","EO","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
