"Status","Year","Region_ITL3","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","No function","40","40","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared disabled","Unknown","80","80","30110","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","No function","320","300","49050","36620"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Property","70","60","30900","30160"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Security","50","50","41170","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Declared non-disabled","Unknown","560","520","33080","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Security","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Legal","80","70","24570","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","No function","290","280","30810","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Security","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Unknown","Unknown","200","190","35910","32140"
"In post","2021","Angus and Dundee City","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Declared disabled","Legal","[c]","[c]","[c]","[c]"
