"Status","Year","Region_ITL2","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cornwall and Isles of Scilly","White","Male","590","570","26940","26670"
"In post","2021","Cumbria","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Female","30","30","[c]","[c]"
"In post","2021","Cumbria","Undeclared","Male","60","60","33560","30070"
"In post","2021","Cumbria","Unknown","Female","180","160","24860","21050"
"In post","2021","Cumbria","Unknown","Male","140","140","26860","22550"
"In post","2021","Cumbria","White","Female","1020","870","26800","25100"
"In post","2021","Cumbria","White","Male","680","660","30300","26810"
"In post","2021","Derbyshire and Nottinghamshire","Asian","Female","370","320","29360","27570"
"In post","2021","Derbyshire and Nottinghamshire","Asian","Male","280","270","30550","27570"
"In post","2021","Derbyshire and Nottinghamshire","Black","Female","190","180","26850","25830"
"In post","2021","Derbyshire and Nottinghamshire","Black","Male","120","120","27970","27570"
"In post","2021","Derbyshire and Nottinghamshire","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Mixed","Female","130","120","29920","27130"
"In post","2021","Derbyshire and Nottinghamshire","Mixed","Male","80","80","31010","27570"
"In post","2021","Derbyshire and Nottinghamshire","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","Female","230","200","30930","27570"
"In post","2021","Derbyshire and Nottinghamshire","Undeclared","Male","270","260","31900","28910"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Female","880","810","27500","25560"
"In post","2021","Derbyshire and Nottinghamshire","Unknown","Male","930","900","29530","25560"
"In post","2021","Derbyshire and Nottinghamshire","White","Female","5100","4560","30740","27570"
"In post","2021","Derbyshire and Nottinghamshire","White","Male","3660","3520","32910","28130"
"In post","2021","Devon","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Mixed","Female","50","40","[c]","[c]"
"In post","2021","Devon","Mixed","Male","50","50","33870","31620"
"In post","2021","Devon","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Devon","Undeclared","Female","160","140","27850","26030"
"In post","2021","Devon","Undeclared","Male","260","250","34820","33100"
"In post","2021","Devon","Unknown","Female","490","430","26520","22350"
"In post","2021","Devon","Unknown","Male","610","590","31250","27570"
"In post","2021","Devon","White","Female","3610","3150","29730","27570"
"In post","2021","Devon","White","Male","3670","3540","33270","30980"
"In post","2021","Dorset and Somerset","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Dorset and Somerset","Undeclared","Female","80","70","28580","27130"
"In post","2021","Dorset and Somerset","Undeclared","Male","170","170","32730","31990"
"In post","2021","Dorset and Somerset","Unknown","Female","210","190","28330","26740"
"In post","2021","Dorset and Somerset","Unknown","Male","310","300","30490","27520"
"In post","2021","Dorset and Somerset","White","Female","2160","1910","28390","27570"
"In post","2021","Dorset and Somerset","White","Male","2160","2090","30790","28310"
"In post","2021","East Anglia","Asian","Female","200","160","25310","21430"
