"Status","Year","Profession_of_post","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","16-19","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","16-19","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Crown Commercial Service","70","70","28230","27770"
"In post","2021","Commercial","20-29","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Defence Equipment and Support","210","210","27620","27250"
"In post","2021","Commercial","20-29","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Department for Education (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Department for Transport (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Commercial","20-29","Department of Health and Social Care (excl. agencies)","60","60","40080","40650"
"In post","2021","Commercial","20-29","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","HM Prison and Probation Service","40","40","[c]","[c]"
"In post","2021","Commercial","20-29","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Ministry of Defence (excl. agencies)","170","170","31120","33000"
"In post","2021","Commercial","20-29","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Public Health England","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Crown Commercial Service","110","110","32990","34800"
"In post","2021","Commercial","30-39","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Defence Equipment and Support","260","250","36730","35140"
"In post","2021","Commercial","30-39","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Department for Education (excl. agencies)","60","60","40850","38280"
"In post","2021","Commercial","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"In post","2021","Commercial","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Department of Health and Social Care (excl. agencies)","40","40","[c]","[c]"
"In post","2021","Commercial","30-39","Driver and Vehicle Licensing Agency","40","40","[c]","[c]"
"In post","2021","Commercial","30-39","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Education and Skills Funding Agency","40","30","[c]","[c]"
"In post","2021","Commercial","30-39","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","30-39","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
