"Status","Year","Sex","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Asian","East Midlands (England)","950","820","26710","25560"
"In post","2021","Female","Asian","East of England","660","570","29220","27310"
"In post","2021","Female","Asian","London","8140","7500","36380","31520"
"In post","2021","Female","Asian","North East (England)","220","190","26550","21440"
"In post","2021","Female","Asian","North West (England)","1150","990","26920","25040"
"In post","2021","Female","Asian","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Asian","Overseas","60","60","42680","34770"
"In post","2021","Female","Asian","Scotland","270","250","29620","26160"
"In post","2021","Female","Asian","South East (England)","780","700","29500","27570"
"In post","2021","Female","Asian","South West (England)","360","330","33080","27780"
"In post","2021","Female","Asian","Unknown","110","90","28840","27570"
"In post","2021","Female","Asian","Wales","210","190","29870","25560"
"In post","2021","Female","Asian","West Midlands (England)","2270","2030","27450","25560"
"In post","2021","Female","Asian","Yorkshire and The Humber","1130","990","27320","25560"
"In post","2021","Female","Black","East Midlands (England)","310","280","26440","25420"
"In post","2021","Female","Black","East of England","390","370","30030","29290"
"In post","2021","Female","Black","London","6750","6450","34110","31060"
"In post","2021","Female","Black","North East (England)","70","70","25800","21430"
"In post","2021","Female","Black","North West (England)","400","370","28310","26120"
"In post","2021","Female","Black","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Black","Overseas","40","40","[c]","[c]"
"In post","2021","Female","Black","Scotland","130","120","29020","27570"
"In post","2021","Female","Black","South East (England)","480","450","29860","28130"
"In post","2021","Female","Black","South West (England)","270","260","31130","28430"
"In post","2021","Female","Black","Unknown","40","40","[c]","[c]"
"In post","2021","Female","Black","Wales","100","90","27600","25560"
"In post","2021","Female","Black","West Midlands (England)","800","730","27730","26380"
"In post","2021","Female","Black","Yorkshire and The Humber","280","260","29140","27570"
"In post","2021","Female","Chinese","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","London","350","340","44200","40070"
"In post","2021","Female","Chinese","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","North West (England)","80","70","30180","25310"
"In post","2021","Female","Chinese","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Scotland","30","30","[c]","[c]"
"In post","2021","Female","Chinese","South East (England)","60","50","31470","29290"
"In post","2021","Female","Chinese","South West (England)","30","30","[c]","[c]"
"In post","2021","Female","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Wales","40","40","[c]","[c]"
"In post","2021","Female","Chinese","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Chinese","Yorkshire and The Humber","40","30","[c]","[c]"
"In post","2021","Female","Mixed","East Midlands (England)","200","180","29260","27570"
"In post","2021","Female","Mixed","East of England","240","220","29680","27710"
"In post","2021","Female","Mixed","London","2050","1960","39720","34760"
"In post","2021","Female","Mixed","North East (England)","120","100","29100","27540"
"In post","2021","Female","Mixed","North West (England)","460","420","28050","25560"
"In post","2021","Female","Mixed","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Overseas","50","50","[c]","[c]"
"In post","2021","Female","Mixed","Scotland","140","130","34590","29040"
"In post","2021","Female","Mixed","South East (England)","350","320","29780","27570"
"In post","2021","Female","Mixed","South West (England)","310","280","31480","27570"
"In post","2021","Female","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Mixed","Wales","230","210","30100","27570"
"In post","2021","Female","Mixed","West Midlands (England)","340","310","28420","26670"
"In post","2021","Female","Mixed","Yorkshire and The Humber","300","270","30550","27570"
"In post","2021","Female","Other ethnicity","East Midlands (England)","40","30","[c]","[c]"
"In post","2021","Female","Other ethnicity","East of England","70","70","32170","29290"
"In post","2021","Female","Other ethnicity","London","760","710","40270","34020"
"In post","2021","Female","Other ethnicity","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","North West (England)","80","70","29570","27470"
"In post","2021","Female","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Scotland","50","50","33830","28150"
"In post","2021","Female","Other ethnicity","South East (England)","110","100","28300","26670"
"In post","2021","Female","Other ethnicity","South West (England)","80","70","29880","27130"
"In post","2021","Female","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Other ethnicity","Wales","40","40","[c]","[c]"
"In post","2021","Female","Other ethnicity","West Midlands (England)","80","80","29420","27570"
"In post","2021","Female","Other ethnicity","Yorkshire and The Humber","60","50","31600","27570"
"In post","2021","Female","Undeclared","East Midlands (England)","410","360","29320","27570"
"In post","2021","Female","Undeclared","East of England","420","370","29820","27570"
"In post","2021","Female","Undeclared","London","2150","1990","39180","33600"
"In post","2021","Female","Undeclared","North East (England)","430","360","27250","25220"
"In post","2021","Female","Undeclared","North West (England)","1020","890","28810","27380"
