"Status","Year","Sex","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Heterosexual / straight","550","500","34160","29190"
"In post","2021","Female","Aberdeen City and Aberdeenshire","LGBO","30","30","[c]","[c]"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Undeclared","110","90","29230","22820"
"In post","2021","Female","Aberdeen City and Aberdeenshire","Unknown","240","220","30010","27570"
"In post","2021","Female","Angus and Dundee City","Heterosexual / straight","740","670","27420","25300"
"In post","2021","Female","Angus and Dundee City","LGBO","40","40","[c]","[c]"
"In post","2021","Female","Angus and Dundee City","Undeclared","110","100","24650","22820"
"In post","2021","Female","Angus and Dundee City","Unknown","270","240","25260","21010"
"In post","2021","Female","Antrim and Newtownabbey","Heterosexual / straight","50","50","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Heterosexual / straight","50","40","[c]","[c]"
"In post","2021","Female","Ards and North Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Female","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Female","Armagh City, Banbridge and Craigavon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Heterosexual / straight","270","240","30480","31060"
"In post","2021","Female","Barking & Dagenham and Havering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Undeclared","30","30","[c]","[c]"
"In post","2021","Female","Barking & Dagenham and Havering","Unknown","80","70","29460","31060"
"In post","2021","Female","Barnet","Heterosexual / straight","720","670","36600","32330"
"In post","2021","Female","Barnet","LGBO","40","30","[c]","[c]"
"In post","2021","Female","Barnet","Undeclared","80","70","36630","32330"
"In post","2021","Female","Barnet","Unknown","230","200","44810","36650"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Heterosexual / straight","1280","1090","26380","26300"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","LGBO","80","70","29310","27570"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Undeclared","130","110","26320","26780"
"In post","2021","Female","Barnsley, Doncaster and Rotherham","Unknown","360","300","24570","22920"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","4160","3860","34650","32660"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","190","180","31110","28210"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","580","530","36560","33740"
"In post","2021","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","440","410","34310","31620"
"In post","2021","Female","Bedford","Heterosexual / straight","320","300","28840","27570"
