"Status","Year","Age","Profession_of_post","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Finance","40","30","[c]","[c]"
"In post","2021","16-19","Finance","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Legal","30","30","[c]","[c]"
"In post","2021","16-19","Operational Delivery","No function","290","270","21040","20600"
"In post","2021","16-19","Operational Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Unknown","70","60","21590","21430"
"In post","2021","16-19","Operational Research","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Legal","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Unknown","50","50","19860","17060"
"In post","2021","16-19","Policy","No function","40","40","[c]","[c]"
"In post","2021","16-19","Policy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Science and Engineering","Project Delivery","100","100","17460","16780"
"In post","2021","16-19","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Debt","40","40","[c]","[c]"
"In post","2021","16-19","Tax","No function","100","90","20140","20140"
"In post","2021","16-19","Unknown","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Debt","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","No function","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","270","270","22430","21010"
"In post","2021","20-29","Commercial","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Commercial","600","600","31410","29720"
"In post","2021","20-29","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Finance","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","No function","60","50","33740","32940"
"In post","2021","20-29","Commercial","Project Delivery","170","170","27490","28300"
"In post","2021","20-29","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Communications","740","730","33960","32790"
