"Status","Year","Responsibility_level","Function_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","East Anglia","30","30","[c]","[c]"
"In post","2021","AA/AO","Analysis","East Wales","50","50","[c]","[c]"
"In post","2021","AA/AO","Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Inner London - West","60","50","24360","24510"
"In post","2021","AA/AO","Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Analysis","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Devon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Eastern Scotland","50","40","[c]","[c]"
"In post","2021","AA/AO","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","60","60","21660","20920"
"In post","2021","AA/AO","Commercial","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Hampshire and Isle of Wight","40","40","[c]","[c]"
"In post","2021","AA/AO","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Inner London - West","50","50","24550","24590"
"In post","2021","AA/AO","Commercial","Kent","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Outer London - West and North West","30","30","[c]","[c]"
"In post","2021","AA/AO","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Shropshire and Staffordshire","30","30","[c]","[c]"
"In post","2021","AA/AO","Commercial","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Commercial","West Wales and The Valleys","40","30","[c]","[c]"
"In post","2021","AA/AO","Commercial","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Devon","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","East Wales","40","30","[c]","[c]"
"In post","2021","AA/AO","Communications","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Communications","Eastern Scotland","[c]","[c]","[c]","[c]"
