"Status","Year","Function_of_post","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","EO","30","30","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","SEO/HEO","60","50","32400","30220"
"In post","2021","Analysis","East Anglia","AA/AO","30","30","[c]","[c]"
"In post","2021","Analysis","East Anglia","EO","60","50","25040","24920"
"In post","2021","Analysis","East Anglia","G6/G7","70","70","51530","48080"
"In post","2021","Analysis","East Anglia","SEO/HEO","200","190","33090","30660"
"In post","2021","Analysis","East Wales","AA/AO","50","50","[c]","[c]"
"In post","2021","Analysis","East Wales","EO","140","130","24150","23190"
"In post","2021","Analysis","East Wales","G6/G7","220","210","52400","50090"
"In post","2021","Analysis","East Wales","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Wales","SEO/HEO","620","600","33580","33330"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","EO","30","30","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","70","70","54690","56350"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","210","200","35540","36680"
"In post","2021","Analysis","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","G6/G7","50","50","53050","52580"
