"Status","Year","Responsibility_level","Sex","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Female","Bedfordshire and Hertfordshire","710","640","23310","22080"
"In post","2021","AA/AO","Female","Berkshire, Buckinghamshire and Oxfordshire","1630","1490","23520","21900"
"In post","2021","AA/AO","Female","Cheshire","700","620","22380","21010"
"In post","2021","AA/AO","Female","Cornwall and Isles of Scilly","410","340","20780","21010"
"In post","2021","AA/AO","Female","Cumbria","560","470","21310","21050"
"In post","2021","AA/AO","Female","Derbyshire and Nottinghamshire","2110","1830","21370","21010"
"In post","2021","AA/AO","Female","Devon","1630","1370","21320","21010"
"In post","2021","AA/AO","Female","Dorset and Somerset","820","730","21540","21010"
"In post","2021","AA/AO","Female","East Anglia","2500","2190","21970","21130"
"In post","2021","AA/AO","Female","East Wales","3210","2770","21110","21010"
"In post","2021","AA/AO","Female","East Yorkshire and Northern Lincolnshire","1040","890","22190","21010"
"In post","2021","AA/AO","Female","Eastern Scotland","3540","3150","21760","21010"
"In post","2021","AA/AO","Female","Essex","960","830","22710","21580"
"In post","2021","AA/AO","Female","Gloucestershire, Wiltshire and Bath/Bristol area","2220","1980","21460","21010"
"In post","2021","AA/AO","Female","Greater Manchester","3310","2860","20880","20920"
"In post","2021","AA/AO","Female","Hampshire and Isle of Wight","2420","1980","21060","20920"
"In post","2021","AA/AO","Female","Herefordshire, Worcestershire and Warwickshire","950","840","21730","21010"
"In post","2021","AA/AO","Female","Highlands and Islands","440","390","21840","21050"
"In post","2021","AA/AO","Female","Inner London - East","1540","1370","24900","24630"
"In post","2021","AA/AO","Female","Inner London - West","2390","2210","24950","24370"
"In post","2021","AA/AO","Female","Kent","1490","1350","23590","22850"
"In post","2021","AA/AO","Female","Lancashire","3440","2910","21270","21010"
"In post","2021","AA/AO","Female","Leicestershire, Rutland and Northamptonshire","1690","1440","21130","20920"
"In post","2021","AA/AO","Female","Lincolnshire","680","610","21340","21010"
"In post","2021","AA/AO","Female","Merseyside","4430","3680","20930","21010"
"In post","2021","AA/AO","Female","North Eastern Scotland","290","260","22740","22160"
"In post","2021","AA/AO","Female","North Yorkshire","680","610","21470","21010"
"In post","2021","AA/AO","Female","Northern Ireland","700","610","20930","21400"
"In post","2021","AA/AO","Female","Northumberland and Tyne and Wear","5800","4580","20740","21010"
"In post","2021","AA/AO","Female","Outer London - East and North East","810","720","25180","24890"
"In post","2021","AA/AO","Female","Outer London - South","1280","1120","24260","25230"
"In post","2021","AA/AO","Female","Outer London - West and North West","1170","1030","24910","25110"
"In post","2021","AA/AO","Female","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Female","Shropshire and Staffordshire","1760","1560","21600","21010"
"In post","2021","AA/AO","Female","South Yorkshire","1770","1470","21280","21010"
"In post","2021","AA/AO","Female","Southern Scotland","1380","1130","21220","21010"
"In post","2021","AA/AO","Female","Surrey, East and West Sussex","1580","1370","23340","21430"
"In post","2021","AA/AO","Female","Tees Valley and Durham","2600","2200","21900","21010"
"In post","2021","AA/AO","Female","Unknown","160","140","22450","21010"
"In post","2021","AA/AO","Female","West Central Scotland","3810","3210","21250","21010"
"In post","2021","AA/AO","Female","West Midlands","3280","2780","20730","20650"
"In post","2021","AA/AO","Female","West Wales and The Valleys","4710","3870","20870","21590"
"In post","2021","AA/AO","Female","West Yorkshire","2760","2340","21480","21010"
"In post","2021","AA/AO","Male","Bedfordshire and Hertfordshire","550","540","25850","24670"
"In post","2021","AA/AO","Male","Berkshire, Buckinghamshire and Oxfordshire","1960","1930","27270","26580"
"In post","2021","AA/AO","Male","Cheshire","510","490","24210","22030"
"In post","2021","AA/AO","Male","Cornwall and Isles of Scilly","310","300","20970","21010"
"In post","2021","AA/AO","Male","Cumbria","370","350","22920","21050"
"In post","2021","AA/AO","Male","Derbyshire and Nottinghamshire","1690","1610","23010","21010"
"In post","2021","AA/AO","Male","Devon","1460","1390","23500","21050"
"In post","2021","AA/AO","Male","Dorset and Somerset","900","880","23240","21130"
"In post","2021","AA/AO","Male","East Anglia","2460","2360","24790","22500"
"In post","2021","AA/AO","Male","East Wales","2520","2420","21820","21010"
"In post","2021","AA/AO","Male","East Yorkshire and Northern Lincolnshire","1090","1040","25570","24920"
"In post","2021","AA/AO","Male","Eastern Scotland","2710","2630","22360","21010"
"In post","2021","AA/AO","Male","Essex","650","630","25190","23270"
"In post","2021","AA/AO","Male","Gloucestershire, Wiltshire and Bath/Bristol area","1660","1610","23050","21010"
"In post","2021","AA/AO","Male","Greater Manchester","2400","2300","21850","21010"
"In post","2021","AA/AO","Male","Hampshire and Isle of Wight","2240","2010","23220","20920"
"In post","2021","AA/AO","Male","Herefordshire, Worcestershire and Warwickshire","870","850","24710","22850"
"In post","2021","AA/AO","Male","Highlands and Islands","400","390","22890","21450"
"In post","2021","AA/AO","Male","Inner London - East","1180","1130","27240","25110"
"In post","2021","AA/AO","Male","Inner London - West","2110","2060","26250","24590"
"In post","2021","AA/AO","Male","Kent","1490","1460","26500","26420"
