"Status","Year","Sex","Region_ITL2","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Female","Bedfordshire and Hertfordshire","AA/AO","710","640","23310","22080"
"In post","2021","Female","Bedfordshire and Hertfordshire","EO","940","850","28730","29290"
"In post","2021","Female","Bedfordshire and Hertfordshire","G6/G7","170","160","59770","58690"
"In post","2021","Female","Bedfordshire and Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Bedfordshire and Hertfordshire","SEO/HEO","500","470","38470","37640"
"In post","2021","Female","Bedfordshire and Hertfordshire","Unknown","240","220","27880","24410"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","1630","1490","23520","21900"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","EO","1350","1250","28360","27570"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","350","320","59640","57120"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","SCS","30","30","[c]","[c]"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","1090","1030","37160","35900"
"In post","2021","Female","Berkshire, Buckinghamshire and Oxfordshire","Unknown","330","300","29520","28200"
"In post","2021","Female","Cheshire","AA/AO","700","620","22380","21010"
"In post","2021","Female","Cheshire","EO","820","770","28970","27570"
"In post","2021","Female","Cheshire","G6/G7","100","100","56030","55740"
"In post","2021","Female","Cheshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cheshire","SEO/HEO","410","390","38230","36740"
"In post","2021","Female","Cheshire","Unknown","150","140","29570","30210"
"In post","2021","Female","Cornwall and Isles of Scilly","AA/AO","410","340","20780","21010"
"In post","2021","Female","Cornwall and Isles of Scilly","EO","350","310","27370","27570"
"In post","2021","Female","Cornwall and Isles of Scilly","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cornwall and Isles of Scilly","SEO/HEO","100","90","34680","33300"
"In post","2021","Female","Cornwall and Isles of Scilly","Unknown","30","30","[c]","[c]"
"In post","2021","Female","Cumbria","AA/AO","560","470","21310","21050"
"In post","2021","Female","Cumbria","EO","360","310","26150","26350"
"In post","2021","Female","Cumbria","G6/G7","40","40","[c]","[c]"
"In post","2021","Female","Cumbria","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Cumbria","SEO/HEO","180","160","34320","33040"
"In post","2021","Female","Cumbria","Unknown","100","90","32510","31150"
"In post","2021","Female","Derbyshire and Nottinghamshire","AA/AO","2110","1830","21370","21010"
"In post","2021","Female","Derbyshire and Nottinghamshire","EO","2070","1830","26600","27540"
"In post","2021","Female","Derbyshire and Nottinghamshire","G6/G7","560","530","56410","53150"
"In post","2021","Female","Derbyshire and Nottinghamshire","SCS","40","40","[c]","[c]"
"In post","2021","Female","Derbyshire and Nottinghamshire","SEO/HEO","1770","1650","35360","33350"
"In post","2021","Female","Derbyshire and Nottinghamshire","Unknown","390","340","29070","28200"
"In post","2021","Female","Devon","AA/AO","1630","1370","21320","21010"
"In post","2021","Female","Devon","EO","1230","1060","27020","27570"
"In post","2021","Female","Devon","G6/G7","310","280","53710","49810"
"In post","2021","Female","Devon","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Devon","SEO/HEO","1010","920","36570","36330"
"In post","2021","Female","Devon","Unknown","170","150","31150","30210"
"In post","2021","Female","Dorset and Somerset","AA/AO","820","730","21540","21010"
"In post","2021","Female","Dorset and Somerset","EO","860","750","27010","27570"
"In post","2021","Female","Dorset and Somerset","G6/G7","80","80","58990","55310"
"In post","2021","Female","Dorset and Somerset","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Dorset and Somerset","SEO/HEO","560","520","35630","33840"
"In post","2021","Female","Dorset and Somerset","Unknown","170","150","27950","25210"
"In post","2021","Female","East Anglia","AA/AO","2500","2190","21970","21130"
"In post","2021","Female","East Anglia","EO","1770","1570","27020","27570"
"In post","2021","Female","East Anglia","G6/G7","340","320","58110","54620"
"In post","2021","Female","East Anglia","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Anglia","SEO/HEO","1360","1280","35680","33840"
"In post","2021","Female","East Anglia","Unknown","380","340","29030","30210"
"In post","2021","Female","East Wales","AA/AO","3210","2770","21110","21010"
"In post","2021","Female","East Wales","EO","3030","2740","26430","26930"
"In post","2021","Female","East Wales","G6/G7","1160","1090","57160","56620"
"In post","2021","Female","East Wales","SCS","100","100","84330","78460"
"In post","2021","Female","East Wales","SEO/HEO","3120","2920","35940","36030"
"In post","2021","Female","East Wales","Unknown","370","350","29590","28200"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","AA/AO","1040","890","22190","21010"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","EO","790","680","27310","27570"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","G6/G7","50","40","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","SEO/HEO","260","240","35240","33840"
"In post","2021","Female","East Yorkshire and Northern Lincolnshire","Unknown","200","180","29720","30210"
"In post","2021","Female","Eastern Scotland","AA/AO","3540","3150","21760","21010"
"In post","2021","Female","Eastern Scotland","EO","2770","2530","28190","27570"
"In post","2021","Female","Eastern Scotland","G6/G7","1380","1290","61490","61010"
"In post","2021","Female","Eastern Scotland","SCS","100","100","90610","83230"
"In post","2021","Female","Eastern Scotland","SEO/HEO","2920","2750","37910","36610"
"In post","2021","Female","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","AA/AO","960","830","22710","21580"
"In post","2021","Female","Essex","EO","1330","1190","28620","29290"
"In post","2021","Female","Essex","G6/G7","150","130","56870","52580"
"In post","2021","Female","Essex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Essex","SEO/HEO","600","540","35870","35120"
"In post","2021","Female","Essex","Unknown","190","170","27470","23840"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","2220","1980","21460","21010"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","EO","3240","2910","25810","26670"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","1910","1800","55310","54180"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","SCS","110","110","90920","86320"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","5350","4990","35180","34000"
"In post","2021","Female","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","820","760","34590","32300"
"In post","2021","Female","Greater Manchester","AA/AO","3310","2860","20880","20920"
"In post","2021","Female","Greater Manchester","EO","3130","2860","26520","27570"
"In post","2021","Female","Greater Manchester","G6/G7","1030","980","56260","52580"
"In post","2021","Female","Greater Manchester","SCS","70","60","85320","81330"
"In post","2021","Female","Greater Manchester","SEO/HEO","2680","2540","34710","32800"
"In post","2021","Female","Greater Manchester","Unknown","550","510","29580","30210"
"In post","2021","Female","Hampshire and Isle of Wight","AA/AO","2420","1980","21060","20920"
"In post","2021","Female","Hampshire and Isle of Wight","EO","1960","1770","26580","26670"
"In post","2021","Female","Hampshire and Isle of Wight","G6/G7","680","640","55070","53230"
"In post","2021","Female","Hampshire and Isle of Wight","SCS","40","40","[c]","[c]"
"In post","2021","Female","Hampshire and Isle of Wight","SEO/HEO","2250","2130","35150","33300"
"In post","2021","Female","Hampshire and Isle of Wight","Unknown","240","220","29670","30210"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","AA/AO","950","840","21730","21010"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","EO","580","520","26930","27570"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","G6/G7","50","50","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","340","320","35780","34290"
"In post","2021","Female","Herefordshire, Worcestershire and Warwickshire","Unknown","220","210","29020","28200"
"In post","2021","Female","Highlands and Islands","AA/AO","440","390","21840","21050"
"In post","2021","Female","Highlands and Islands","EO","380","350","28220","27570"
"In post","2021","Female","Highlands and Islands","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Highlands and Islands","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Highlands and Islands","SEO/HEO","170","160","37020","35680"
"In post","2021","Female","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Inner London - East","AA/AO","1540","1370","24900","24630"
"In post","2021","Female","Inner London - East","EO","2740","2550","30620","31060"
"In post","2021","Female","Inner London - East","G6/G7","1850","1750","60980","59160"
"In post","2021","Female","Inner London - East","SCS","330","290","98830","93570"
"In post","2021","Female","Inner London - East","SEO/HEO","2690","2570","38840","39000"
"In post","2021","Female","Inner London - East","Unknown","500","480","33050","32090"
"In post","2021","Female","Inner London - West","AA/AO","2390","2210","24950","24370"
"In post","2021","Female","Inner London - West","EO","4730","4530","29160","29080"
"In post","2021","Female","Inner London - West","G6/G7","11130","10560","59610","57680"
"In post","2021","Female","Inner London - West","SCS","1860","1770","86190","78060"
"In post","2021","Female","Inner London - West","SEO/HEO","12060","11760","37590","36800"
"In post","2021","Female","Inner London - West","Unknown","150","150","37790","34770"
"In post","2021","Female","Kent","AA/AO","1490","1350","23590","22850"
"In post","2021","Female","Kent","EO","1790","1610","28300","29050"
"In post","2021","Female","Kent","G6/G7","110","100","56760","52820"
"In post","2021","Female","Kent","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Kent","SEO/HEO","610","580","36140","35120"
"In post","2021","Female","Kent","Unknown","220","200","30340","30880"
"In post","2021","Female","Lancashire","AA/AO","3440","2910","21270","21010"
"In post","2021","Female","Lancashire","EO","2680","2340","27270","27570"
"In post","2021","Female","Lancashire","G6/G7","390","370","54800","52580"
"In post","2021","Female","Lancashire","SCS","30","30","[c]","[c]"
"In post","2021","Female","Lancashire","SEO/HEO","1400","1300","35240","33840"
"In post","2021","Female","Lancashire","Unknown","340","300","29200","30210"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","AA/AO","1690","1440","21130","20920"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","EO","1040","930","27040","27570"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","G6/G7","110","100","56530","53190"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","SEO/HEO","510","470","35820","33840"
"In post","2021","Female","Leicestershire, Rutland and Northamptonshire","Unknown","290","260","29250","30210"
"In post","2021","Female","Lincolnshire","AA/AO","680","610","21340","21010"
"In post","2021","Female","Lincolnshire","EO","390","360","27270","27570"
"In post","2021","Female","Lincolnshire","G6/G7","40","30","[c]","[c]"
"In post","2021","Female","Lincolnshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Lincolnshire","SEO/HEO","230","220","35450","34000"
"In post","2021","Female","Lincolnshire","Unknown","100","100","29640","30210"
"In post","2021","Female","Merseyside","AA/AO","4430","3680","20930","21010"
"In post","2021","Female","Merseyside","EO","3870","3410","26240","26160"
"In post","2021","Female","Merseyside","G6/G7","730","690","54840","52580"
"In post","2021","Female","Merseyside","SCS","40","40","[c]","[c]"
"In post","2021","Female","Merseyside","SEO/HEO","2290","2140","34140","32100"
"In post","2021","Female","Merseyside","Unknown","330","300","28970","28200"
"In post","2021","Female","North Eastern Scotland","AA/AO","290","260","22740","22160"
"In post","2021","Female","North Eastern Scotland","EO","320","290","28410","27570"
"In post","2021","Female","North Eastern Scotland","G6/G7","60","50","62970","61010"
"In post","2021","Female","North Eastern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","North Eastern Scotland","SEO/HEO","260","250","40830","36620"
"In post","2021","Female","North Yorkshire","AA/AO","680","610","21470","21010"
"In post","2021","Female","North Yorkshire","EO","550","500","27000","26750"
"In post","2021","Female","North Yorkshire","G6/G7","360","330","59010","55610"
"In post","2021","Female","North Yorkshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","North Yorkshire","SEO/HEO","730","690","35920","35480"
"In post","2021","Female","North Yorkshire","Unknown","130","120","29340","28200"
"In post","2021","Female","Northern Ireland","AA/AO","700","610","20930","21400"
"In post","2021","Female","Northern Ireland","EO","500","450","26610","25560"
"In post","2021","Female","Northern Ireland","G6/G7","110","110","55590","52580"
"In post","2021","Female","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northern Ireland","SEO/HEO","440","420","34640","31940"
"In post","2021","Female","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","Northumberland and Tyne and Wear","AA/AO","5800","4580","20740","21010"
"In post","2021","Female","Northumberland and Tyne and Wear","EO","3310","2910","26580","27570"
"In post","2021","Female","Northumberland and Tyne and Wear","G6/G7","760","730","53920","52580"
"In post","2021","Female","Northumberland and Tyne and Wear","SCS","40","40","[c]","[c]"
"In post","2021","Female","Northumberland and Tyne and Wear","SEO/HEO","2510","2320","33970","31990"
"In post","2021","Female","Northumberland and Tyne and Wear","Unknown","260","230","28690","28200"
"In post","2021","Female","Outer London - East and North East","AA/AO","810","720","25180","24890"
"In post","2021","Female","Outer London - East and North East","EO","1080","970","30950","31060"
"In post","2021","Female","Outer London - East and North East","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Female","Outer London - East and North East","SEO/HEO","160","150","38640","36760"
"In post","2021","Female","Outer London - East and North East","Unknown","210","200","32910","34100"
"In post","2021","Female","Outer London - South","AA/AO","1280","1120","24260","25230"
"In post","2021","Female","Outer London - South","EO","1970","1800","29900","29570"
"In post","2021","Female","Outer London - South","G6/G7","710","680","62900","59980"
"In post","2021","Female","Outer London - South","SCS","40","40","[c]","[c]"
"In post","2021","Female","Outer London - South","SEO/HEO","1950","1850","38970","36940"
"In post","2021","Female","Outer London - South","Unknown","140","130","33650","32090"
"In post","2021","Female","Outer London - West and North West","AA/AO","1170","1030","24910","25110"
"In post","2021","Female","Outer London - West and North West","EO","2170","1970","29970","30500"
"In post","2021","Female","Outer London - West and North West","G6/G7","280","270","58510","55920"
"In post","2021","Female","Outer London - West and North West","SCS","30","30","[c]","[c]"
"In post","2021","Female","Outer London - West and North West","SEO/HEO","1110","1050","37670","36590"
"In post","2021","Female","Outer London - West and North West","Unknown","190","190","32420","28690"
"In post","2021","Female","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Female","Overseas","EO","130","120","27990","27160"
"In post","2021","Female","Overseas","G6/G7","550","550","59480","58030"
"In post","2021","Female","Overseas","SCS","110","110","84260","75880"
"In post","2021","Female","Overseas","SEO/HEO","580","580","38720","36960"
"In post","2021","Female","Overseas","Unknown","100","100","[c]","[c]"
"In post","2021","Female","Shropshire and Staffordshire","AA/AO","1760","1560","21600","21010"
"In post","2021","Female","Shropshire and Staffordshire","EO","1330","1190","27130","27570"
"In post","2021","Female","Shropshire and Staffordshire","G6/G7","250","240","57140","53450"
"In post","2021","Female","Shropshire and Staffordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Shropshire and Staffordshire","SEO/HEO","950","890","36500","34800"
"In post","2021","Female","Shropshire and Staffordshire","Unknown","240","210","29750","30210"
"In post","2021","Female","South Yorkshire","AA/AO","1770","1470","21280","21010"
"In post","2021","Female","South Yorkshire","EO","1660","1420","26820","27570"
"In post","2021","Female","South Yorkshire","G6/G7","580","550","54950","52070"
"In post","2021","Female","South Yorkshire","SCS","40","30","[c]","[c]"
"In post","2021","Female","South Yorkshire","SEO/HEO","1390","1280","34720","33870"
"In post","2021","Female","South Yorkshire","Unknown","280","250","29070","28200"
"In post","2021","Female","Southern Scotland","AA/AO","1380","1130","21220","21010"
"In post","2021","Female","Southern Scotland","EO","1100","950","26950","27570"
"In post","2021","Female","Southern Scotland","G6/G7","250","240","54720","52580"
"In post","2021","Female","Southern Scotland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Southern Scotland","SEO/HEO","740","700","35400","33930"
"In post","2021","Female","Surrey, East and West Sussex","AA/AO","1580","1370","23340","21430"
"In post","2021","Female","Surrey, East and West Sussex","EO","1780","1570","27940","27570"
"In post","2021","Female","Surrey, East and West Sussex","G6/G7","240","220","58670","54990"
"In post","2021","Female","Surrey, East and West Sussex","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Surrey, East and West Sussex","SEO/HEO","780","730","36650","35010"
"In post","2021","Female","Surrey, East and West Sussex","Unknown","310","280","29650","30210"
"In post","2021","Female","Tees Valley and Durham","AA/AO","2600","2200","21900","21010"
"In post","2021","Female","Tees Valley and Durham","EO","1450","1270","27130","27570"
"In post","2021","Female","Tees Valley and Durham","G6/G7","190","180","55780","52200"
"In post","2021","Female","Tees Valley and Durham","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Tees Valley and Durham","SEO/HEO","840","780","35340","34290"
"In post","2021","Female","Tees Valley and Durham","Unknown","290","270","29290","28200"
"In post","2021","Female","Unknown","AA/AO","160","140","22450","21010"
"In post","2021","Female","Unknown","EO","360","330","28060","27570"
"In post","2021","Female","Unknown","G6/G7","110","100","56820","54700"
"In post","2021","Female","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","Unknown","SEO/HEO","400","390","33560","32000"
"In post","2021","Female","Unknown","Unknown","170","170","33050","32700"
"In post","2021","Female","West Central Scotland","AA/AO","3810","3210","21250","21010"
"In post","2021","Female","West Central Scotland","EO","2800","2510","27300","27570"
"In post","2021","Female","West Central Scotland","G6/G7","730","700","60150","61010"
"In post","2021","Female","West Central Scotland","SCS","30","30","[c]","[c]"
"In post","2021","Female","West Central Scotland","SEO/HEO","2100","1980","36490","34290"
"In post","2021","Female","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Female","West Midlands","AA/AO","3280","2780","20730","20650"
"In post","2021","Female","West Midlands","EO","3560","3150","26710","27570"
"In post","2021","Female","West Midlands","G6/G7","910","860","55830","52580"
"In post","2021","Female","West Midlands","SCS","90","80","96020","87320"
"In post","2021","Female","West Midlands","SEO/HEO","2400","2260","35110","33410"
"In post","2021","Female","West Midlands","Unknown","580","520","28840","28200"
"In post","2021","Female","West Wales and The Valleys","AA/AO","4710","3870","20870","21590"
"In post","2021","Female","West Wales and The Valleys","EO","2400","2140","27250","27570"
"In post","2021","Female","West Wales and The Valleys","G6/G7","340","320","60650","60830"
"In post","2021","Female","West Wales and The Valleys","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Female","West Wales and The Valleys","SEO/HEO","1720","1610","37650","37410"
"In post","2021","Female","West Wales and The Valleys","Unknown","490","450","29300","28200"
"In post","2021","Female","West Yorkshire","AA/AO","2760","2340","21480","21010"
"In post","2021","Female","West Yorkshire","EO","2840","2520","26720","27570"
"In post","2021","Female","West Yorkshire","G6/G7","990","930","55020","52580"
"In post","2021","Female","West Yorkshire","SCS","80","70","85010","76560"
"In post","2021","Female","West Yorkshire","SEO/HEO","2480","2310","34460","32710"
"In post","2021","Female","West Yorkshire","Unknown","430","390","30080","30210"
"In post","2021","Male","Bedfordshire and Hertfordshire","AA/AO","550","540","25850","24670"
"In post","2021","Male","Bedfordshire and Hertfordshire","EO","670","630","29440","29290"
"In post","2021","Male","Bedfordshire and Hertfordshire","G6/G7","160","150","61000","59730"
"In post","2021","Male","Bedfordshire and Hertfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Bedfordshire and Hertfordshire","SEO/HEO","510","500","38800","37800"
"In post","2021","Male","Bedfordshire and Hertfordshire","Unknown","50","50","28700","24170"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","1960","1930","27270","26580"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","EO","1060","1040","30460","28670"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","410","390","60220","57440"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Male","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","1190","1160","39240","38160"
