"Status","Year","Ethnicity","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Declared disabled","Attorney General's Departments","80","70","43210","39540"
"In post","2021","Asian","Declared disabled","Cabinet Office","60","50","41990","35590"
"In post","2021","Asian","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for Business, Energy and Industrial Strategy","60","60","38480","33640"
"In post","2021","Asian","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for Education","60","50","38230","36570"
"In post","2021","Asian","Declared disabled","Department for Environment, Food and Rural Affairs","50","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for Transport","30","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Department for Work and Pensions","990","880","27800","27570"
"In post","2021","Asian","Declared disabled","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Asian","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","HM Revenue and Customs","330","300","31590","31810"
"In post","2021","Asian","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Home Office","370","330","32030","29080"
"In post","2021","Asian","Declared disabled","Ministry of Defence","100","90","36640","33230"
"In post","2021","Asian","Declared disabled","Ministry of Housing, Communities and Local Government","40","30","[c]","[c]"
"In post","2021","Asian","Declared disabled","Ministry of Justice","430","400","28940","25570"
"In post","2021","Asian","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Attorney General's Departments","660","610","43410","48080"
"In post","2021","Asian","Declared non-disabled","Cabinet Office","380","370","46900","40600"
"In post","2021","Asian","Declared non-disabled","Chancellor's other departments","40","40","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Competition and Markets Authority","90","90","45560","37650"
"In post","2021","Asian","Declared non-disabled","Department for Business, Energy and Industrial Strategy","520","510","39360","35950"
"In post","2021","Asian","Declared non-disabled","Department for Digital, Culture, Media and Sport","100","100","45190","42020"
"In post","2021","Asian","Declared non-disabled","Department for Education","550","530","40310","36960"
"In post","2021","Asian","Declared non-disabled","Department for Environment, Food and Rural Affairs","280","270","35990","32560"
"In post","2021","Asian","Declared non-disabled","Department for International Trade","140","140","42310","38540"
"In post","2021","Asian","Declared non-disabled","Department for Transport","450","430","40470","35060"
"In post","2021","Asian","Declared non-disabled","Department for Work and Pensions","6000","5410","27900","27570"
"In post","2021","Asian","Declared non-disabled","Department of Health and Social Care","700","650","40590","33100"
"In post","2021","Asian","Declared non-disabled","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Asian","Declared non-disabled","Foreign, Commonwealth and Development Office","370","360","42850","37620"
"In post","2021","Asian","Declared non-disabled","HM Land Registry","130","120","32210","27130"
"In post","2021","Asian","Declared non-disabled","HM Revenue and Customs","3370","3170","30940","29570"
"In post","2021","Asian","Declared non-disabled","HM Treasury","190","190","44720","40900"
"In post","2021","Asian","Declared non-disabled","Home Office","3940","3650","31180","28810"
"In post","2021","Asian","Declared non-disabled","Ministry of Defence","1060","1030","33980","31950"
