"Status","Year","Disability","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bexley and Greenwich","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Unknown","60","60","30510","31060"
"In post","2021","Declared disabled","Birmingham","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Counter Fraud","60","60","31490","31810"
"In post","2021","Declared disabled","Birmingham","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Legal","60","60","38070","35000"
"In post","2021","Declared disabled","Birmingham","No function","620","570","28990","25560"
"In post","2021","Declared disabled","Birmingham","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Unknown","400","350","26670","27570"
"In post","2021","Declared disabled","Blackburn with Darwen","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Unknown","50","40","26610","27570"
"In post","2021","Declared disabled","Blackpool","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Unknown","740","660","27440","27570"
"In post","2021","Declared disabled","Bournemouth and Poole","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","No function","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Unknown","80","70","26390","27570"
"In post","2021","Declared disabled","Bradford","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Debt","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Finance","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","No function","110","90","26180","22920"
"In post","2021","Declared disabled","Bradford","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Unknown","120","100","24500","27570"
"In post","2021","Declared disabled","Breckland and South Norfolk","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","No function","40","30","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","No function","30","30","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Unknown","70","60","25670","27570"
"In post","2021","Declared disabled","Brighton and Hove","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","No function","30","30","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Unknown","50","50","27160","27570"
"In post","2021","Declared disabled","Bristol, City of","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Counter Fraud","40","30","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","No function","330","300","32230","29180"
"In post","2021","Declared disabled","Bristol, City of","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Unknown","160","140","25610","27570"
"In post","2021","Declared disabled","Bromley","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","Unknown","50","50","32650","31090"
"In post","2021","Declared disabled","Buckinghamshire CC","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","No function","80","70","28500","28200"
"In post","2021","Declared disabled","Buckinghamshire CC","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Unknown","70","60","29230","27570"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","No function","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","No function","30","30","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Unknown","140","120","26480","27570"
"In post","2021","Declared disabled","Cambridgeshire CC","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","No function","170","150","32070","30260"
"In post","2021","Declared disabled","Cambridgeshire CC","Project Delivery","30","30","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Unknown","90","80","29190","27570"
"In post","2021","Declared disabled","Camden and City of London","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Counter Fraud","70","60","36760","36160"
"In post","2021","Declared disabled","Camden and City of London","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","No function","120","110","28860","23500"
"In post","2021","Declared disabled","Camden and City of London","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Camden and City of London","Unknown","50","50","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Communications","50","50","29000","25560"
"In post","2021","Declared disabled","Cardiff and Vale of Glamorgan","Counter Fraud","40","30","[c]","[c]"
