"Status","Year","Sexual_orientation","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Other Cabinet Office Agencies","250","250","34890","34800"
"In post","2021","Heterosexual / straight","Commercial","Scottish Government","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Attorney General's Departments","70","70","42770","39750"
"In post","2021","Heterosexual / straight","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Department for Business, Energy and Industrial Strategy","150","140","44350","40050"
"In post","2021","Heterosexual / straight","Communications","Department for Digital, Culture, Media and Sport","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Department for Education","210","200","39970","36960"
"In post","2021","Heterosexual / straight","Communications","Department for Environment, Food and Rural Affairs","180","180","40950","37300"
"In post","2021","Heterosexual / straight","Communications","Department for International Trade","70","70","43600","38540"
"In post","2021","Heterosexual / straight","Communications","Department for Transport","180","170","38040","34710"
"In post","2021","Heterosexual / straight","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Department of Health and Social Care","170","160","43580","40260"
"In post","2021","Heterosexual / straight","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Foreign, Commonwealth and Development Office","90","90","47880","42330"
"In post","2021","Heterosexual / straight","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","HM Revenue and Customs","160","150","45380","39380"
"In post","2021","Heterosexual / straight","Communications","HM Treasury","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Home Office","140","140","49270","44220"
"In post","2021","Heterosexual / straight","Communications","Ministry of Defence","460","440","34760","33300"
"In post","2021","Heterosexual / straight","Communications","Ministry of Housing, Communities and Local Government","70","70","40630","34530"
"In post","2021","Heterosexual / straight","Communications","Ministry of Justice","110","110","43140","38010"
"In post","2021","Heterosexual / straight","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","United Kingdom Statistics Authority","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Communications","Welsh Government","120","110","38400","37410"
"In post","2021","Heterosexual / straight","Corporate Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Ministry of Defence","50","50","40410","37830"
"In post","2021","Heterosexual / straight","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Attorney General's Departments","180","180","45850","40140"
"In post","2021","Heterosexual / straight","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Department for Business, Energy and Industrial Strategy","140","130","39590","39170"
"In post","2021","Heterosexual / straight","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Department for Transport","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Food Standards Agency","50","50","38850","37320"
"In post","2021","Heterosexual / straight","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Home Office","160","140","27010","25310"
"In post","2021","Heterosexual / straight","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Attorney General's Departments","140","140","40910","38180"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Competition and Markets Authority","60","60","56130","51270"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","420","410","44060","40050"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Education","570","550","39700","36780"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","500","490","44000","47550"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for International Trade","60","60","45480","43000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Transport","740","730","40190","37660"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department for Work and Pensions","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Department of Health and Social Care","190","180","43750","40850"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Food Standards Agency","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Foreign, Commonwealth and Development Office","200","200","43160","40330"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","HM Land Registry","380","350","39360","38450"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","HM Revenue and Customs","1110","1050","40270","38630"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Home Office","910","890","50030","45170"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Ministry of Defence","1040","1010","36790","33300"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","90","90","46380","41610"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Ministry of Justice","650","640","44690","41750"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","National Crime Agency","200","190","41180","38490"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Office for Standards in Education","60","60","46380","39850"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Other Cabinet Office Agencies","80","80","42770","40000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Scottish Government","100","90","42340","36930"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","The National Archives","60","50","38480","35530"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","UK Export Finance","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","United Kingdom Statistics Authority","320","320","42490","39000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Welsh Government","180","170","38060","37410"
"In post","2021","Heterosexual / straight","Economics","Competition and Markets Authority","70","70","62960","59140"
"In post","2021","Heterosexual / straight","Economics","Department for Business, Energy and Industrial Strategy","210","210","47990","44300"
"In post","2021","Heterosexual / straight","Economics","Department for Digital, Culture, Media and Sport","60","60","53530","59730"
"In post","2021","Heterosexual / straight","Economics","Department for Environment, Food and Rural Affairs","110","110","44590","47550"
"In post","2021","Heterosexual / straight","Economics","Department for International Trade","100","100","44500","51710"
"In post","2021","Heterosexual / straight","Economics","Department for Transport","110","100","48250","54110"
"In post","2021","Heterosexual / straight","Economics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Department of Health and Social Care","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Foreign, Commonwealth and Development Office","110","110","51030","54320"
"In post","2021","Heterosexual / straight","Economics","HM Revenue and Customs","80","70","51010","52580"
"In post","2021","Heterosexual / straight","Economics","HM Treasury","130","130","43860","34320"
"In post","2021","Heterosexual / straight","Economics","Home Office","70","70","49520","41950"
"In post","2021","Heterosexual / straight","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Ministry of Housing, Communities and Local Government","60","60","44310","35060"
"In post","2021","Heterosexual / straight","Economics","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","United Kingdom Statistics Authority","80","80","39840","32930"
"In post","2021","Heterosexual / straight","Economics","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Welsh Government","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Attorney General's Departments","120","110","35170","30970"
"In post","2021","Heterosexual / straight","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Department for Business, Energy and Industrial Strategy","230","220","45840","41870"
"In post","2021","Heterosexual / straight","Finance","Department for Digital, Culture, Media and Sport","50","50","57180","55260"
"In post","2021","Heterosexual / straight","Finance","Department for Education","540","520","42460","38220"
"In post","2021","Heterosexual / straight","Finance","Department for Environment, Food and Rural Affairs","330","320","43330","38060"
"In post","2021","Heterosexual / straight","Finance","Department for International Trade","60","60","50940","51970"
"In post","2021","Heterosexual / straight","Finance","Department for Transport","340","320","41160","37660"
"In post","2021","Heterosexual / straight","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Department of Health and Social Care","260","260","42050","37930"
"In post","2021","Heterosexual / straight","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Food Standards Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Foreign, Commonwealth and Development Office","170","170","43070","38600"
"In post","2021","Heterosexual / straight","Finance","HM Land Registry","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","HM Revenue and Customs","990","880","35940","31810"
"In post","2021","Heterosexual / straight","Finance","HM Treasury","80","80","48920","49870"
"In post","2021","Heterosexual / straight","Finance","Home Office","230","220","45820","41970"
"In post","2021","Heterosexual / straight","Finance","Ministry of Defence","1760","1700","38310","33300"
"In post","2021","Heterosexual / straight","Finance","Ministry of Housing, Communities and Local Government","110","100","52360","53130"
"In post","2021","Heterosexual / straight","Finance","Ministry of Justice","620","600","41550","37210"
"In post","2021","Heterosexual / straight","Finance","National Crime Agency","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Other Cabinet Office Agencies","50","50","45320","39890"
"In post","2021","Heterosexual / straight","Finance","Scottish Government","60","60","36280","33650"
"In post","2021","Heterosexual / straight","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","United Kingdom Statistics Authority","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Welsh Government","280","260","41670","37410"
"In post","2021","Heterosexual / straight","Human Resources","Attorney General's Departments","180","170","40540","34040"
"In post","2021","Heterosexual / straight","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Competition and Markets Authority","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Department for Business, Energy and Industrial Strategy","270","250","41640","39570"
"In post","2021","Heterosexual / straight","Human Resources","Department for Digital, Culture, Media and Sport","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Department for Education","120","110","36930","32210"
"In post","2021","Heterosexual / straight","Human Resources","Department for Environment, Food and Rural Affairs","210","200","43060","38710"
"In post","2021","Heterosexual / straight","Human Resources","Department for International Trade","80","80","44470","38540"
"In post","2021","Heterosexual / straight","Human Resources","Department for Transport","320","300","37380","32930"
"In post","2021","Heterosexual / straight","Human Resources","Department for Work and Pensions","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Department of Health and Social Care","210","200","44630","40070"
"In post","2021","Heterosexual / straight","Human Resources","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Foreign, Commonwealth and Development Office","200","190","45750","39630"
"In post","2021","Heterosexual / straight","Human Resources","HM Land Registry","70","60","43630","38550"
"In post","2021","Heterosexual / straight","Human Resources","HM Revenue and Customs","520","490","42260","38630"
"In post","2021","Heterosexual / straight","Human Resources","HM Treasury","80","70","45070","45550"
"In post","2021","Heterosexual / straight","Human Resources","Home Office","460","440","43530","37460"
"In post","2021","Heterosexual / straight","Human Resources","Ministry of Defence","1600","1500","31940","26670"
"In post","2021","Heterosexual / straight","Human Resources","Ministry of Housing, Communities and Local Government","80","70","41330","36340"
"In post","2021","Heterosexual / straight","Human Resources","Ministry of Justice","730","710","41800","39450"
"In post","2021","Heterosexual / straight","Human Resources","National Crime Agency","150","140","40410","38440"
"In post","2021","Heterosexual / straight","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Office for Standards in Education","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Other Cabinet Office Agencies","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Scottish Government","140","140","36810","34150"
"In post","2021","Heterosexual / straight","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","United Kingdom Statistics Authority","110","100","37830","33020"
"In post","2021","Heterosexual / straight","Human Resources","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Human Resources","Welsh Government","170","150","35770","34490"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","ESTYN","60","50","74440","74730"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Office for Standards in Education","670","650","65720","67500"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Department of Health and Social Care","90","90","51590","53360"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Foreign, Commonwealth and Development Office","140","140","44680","38860"
"In post","2021","Heterosexual / straight","Intelligence Analysis","HM Revenue and Customs","120","120","38640","36160"
"In post","2021","Heterosexual / straight","Intelligence Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Home Office","1090","1020","29680","27370"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Ministry of Defence","630","610","37190","34000"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Ministry of Justice","330","320","30720","28080"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","HM Revenue and Customs","60","50","43630","41350"
"In post","2021","Heterosexual / straight","Internal Audit","HM Treasury","290","270","50170","48780"
"In post","2021","Heterosexual / straight","Internal Audit","Ministry of Defence","110","110","38420","33810"
"In post","2021","Heterosexual / straight","Internal Audit","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Ministry of Justice","50","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Department for International Trade","730","720","49200","51710"
"In post","2021","Heterosexual / straight","International Trade","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","HM Revenue and Customs","70","70","33160","31810"
"In post","2021","Heterosexual / straight","International Trade","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Department for Transport","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Department of Health and Social Care","350","320","39940","37470"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Food Standards Agency","[c]","[c]","[c]","[c]"
