"Status","Year","Parent_department","Disability","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Declared disabled","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Derbyshire and Nottinghamshire","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","East Wales","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Greater Manchester","40","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Inner London - West","360","340","50180","51250"
"In post","2021","Attorney General's Departments","Declared disabled","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Merseyside","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","North Yorkshire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Northumberland and Tyne and Wear","30","30","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","West Midlands","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared disabled","West Yorkshire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Bedfordshire and Hertfordshire","130","110","43930","40800"
"In post","2021","Attorney General's Departments","Declared non-disabled","Berkshire, Buckinghamshire and Oxfordshire","90","80","44880","40280"
"In post","2021","Attorney General's Departments","Declared non-disabled","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Derbyshire and Nottinghamshire","170","150","39600","32370"
"In post","2021","Attorney General's Departments","Declared non-disabled","Devon","70","60","41760","40560"
"In post","2021","Attorney General's Departments","Declared non-disabled","East Anglia","90","70","37920","32050"
"In post","2021","Attorney General's Departments","Declared non-disabled","East Wales","210","190","41490","38180"
"In post","2021","Attorney General's Departments","Declared non-disabled","East Yorkshire and Northern Lincolnshire","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Essex","130","110","43240","36240"
"In post","2021","Attorney General's Departments","Declared non-disabled","Gloucestershire, Wiltshire and Bath/Bristol area","140","130","42910","48080"
"In post","2021","Attorney General's Departments","Declared non-disabled","Greater Manchester","270","240","41510","34480"
"In post","2021","Attorney General's Departments","Declared non-disabled","Hampshire and Isle of Wight","170","150","44900","50520"
"In post","2021","Attorney General's Departments","Declared non-disabled","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Inner London - West","3170","2980","50750","51250"
"In post","2021","Attorney General's Departments","Declared non-disabled","Kent","70","60","40540","30110"
"In post","2021","Attorney General's Departments","Declared non-disabled","Lancashire","120","110","40230","34480"
"In post","2021","Attorney General's Departments","Declared non-disabled","Leicestershire, Rutland and Northamptonshire","100","90","42100","48830"
"In post","2021","Attorney General's Departments","Declared non-disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Merseyside","240","230","38500","30930"
"In post","2021","Attorney General's Departments","Declared non-disabled","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","North Yorkshire","230","210","48770","54770"
"In post","2021","Attorney General's Departments","Declared non-disabled","Northumberland and Tyne and Wear","160","150","39560","34050"
"In post","2021","Attorney General's Departments","Declared non-disabled","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Outer London - South","70","60","38890","31640"
"In post","2021","Attorney General's Departments","Declared non-disabled","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","Shropshire and Staffordshire","40","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","South Yorkshire","90","80","36270","28430"
"In post","2021","Attorney General's Departments","Declared non-disabled","Surrey, East and West Sussex","100","90","44710","40020"
"In post","2021","Attorney General's Departments","Declared non-disabled","Tees Valley and Durham","70","60","40360","38000"
"In post","2021","Attorney General's Departments","Declared non-disabled","West Midlands","320","290","40930","38000"
"In post","2021","Attorney General's Departments","Declared non-disabled","West Wales and The Valleys","50","40","[c]","[c]"
"In post","2021","Attorney General's Departments","Declared non-disabled","West Yorkshire","340","310","42070","38760"
"In post","2021","Attorney General's Departments","Undeclared","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Undeclared","Devon","[c]","[c]","[c]","[c]"
