"Status","Year","Responsibility_level","Region_ITL2","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Operational Delivery","850","790","25390","23550"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Other","100","90","21830","20970"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Security","60","60","21490","22650"
"In post","2021","AA/AO","Bedfordshire and Hertfordshire","Unknown","210","180","23250","24180"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Human Resources","30","30","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Operational Delivery","1890","1790","26020","24750"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Other","510","500","20820","20920"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Property","60","50","18880","17730"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Security","680","680","30620","27680"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Tax","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Berkshire, Buckinghamshire and Oxfordshire","Unknown","250","220","22220","21400"
"In post","2021","AA/AO","Cheshire","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Operational Delivery","830","770","24230","22850"
"In post","2021","AA/AO","Cheshire","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Security","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cheshire","Unknown","350","300","20800","21010"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Communications","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Operational Delivery","100","80","21090","20980"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Other","140","130","20570","20920"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Policy","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Science and Engineering","60","60","21100","21950"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Security","40","40","[c]","[c]"
"In post","2021","AA/AO","Cornwall and Isles of Scilly","Unknown","330","290","20880","21010"
"In post","2021","AA/AO","Cumbria","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Finance","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Operational Delivery","750","660","21610","21050"
"In post","2021","AA/AO","Cumbria","Other","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Property","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","AA/AO","Cumbria","Security","80","80","26380","23540"
