"Status","Year","Region_ITL3","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Crown Office and Procurator Fiscal Service","Scottish Government","100","90","33070","29040"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","100","90","50000","45620"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","260","230","26500","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Food Standards Scotland","Scottish Government","180","170","37410","33620"
"In post","2021","Aberdeen City and Aberdeenshire","Forestry and Land Scotland","Scottish Government","70","60","30040","28120"
"In post","2021","Aberdeen City and Aberdeenshire","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Health and Safety Executive","Department for Work and Pensions","110","100","77580","90550"
"In post","2021","Aberdeen City and Aberdeenshire","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office (incl. agencies)","Home Office","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Maritime and Coastguard Agency","Department for Transport","50","50","34890","31760"
"In post","2021","Aberdeen City and Aberdeenshire","Met Office","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence (excl. agencies)","Ministry of Defence","110","100","38630","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Courts and Tribunals Service","Scottish Government","80","70","24440","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government (excl. agencies)","Scottish Government","370","340","36450","32630"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Prison Service","Scottish Government","310","300","30160","28870"
"In post","2021","Aberdeen City and Aberdeenshire","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Crown Office and Procurator Fiscal Service","Scottish Government","90","80","35220","29040"
"In post","2021","Angus and Dundee City","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","960","870","23850","21010"
"In post","2021","Angus and Dundee City","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Education Scotland","Scottish Government","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","300","270","23610","21400"
"In post","2021","Angus and Dundee City","Ministry of Defence (excl. agencies)","Ministry of Defence","50","50","[c]","[c]"
"In post","2021","Angus and Dundee City","Office of the Scottish Charity Regulator","Scottish Government","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Courts and Tribunals Service","Scottish Government","70","60","24910","22820"
"In post","2021","Angus and Dundee City","Scottish Government (excl. agencies)","Scottish Government","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Social Security Scotland","Scottish Government","310","300","28360","24910"
