"Status","Year","Region_ITL3","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Aberdeen City and Aberdeenshire","Animal and Plant Health Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Crown Office and Procurator Fiscal Service","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Crown Office and Procurator Fiscal Service","No function","70","70","26230","22220"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","100","90","50000","45620"
"In post","2021","Aberdeen City and Aberdeenshire","Department for Work and Pensions (excl. agencies)","Unknown","260","230","26500","27570"
"In post","2021","Aberdeen City and Aberdeenshire","Driver and Vehicle Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Food Standards Scotland","Unknown","180","170","37410","33620"
"In post","2021","Aberdeen City and Aberdeenshire","Forestry and Land Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Forestry and Land Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Forestry and Land Scotland","Property","60","60","30300","28630"
"In post","2021","Aberdeen City and Aberdeenshire","Government Legal Department","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Health and Safety Executive","No function","110","100","77580","90550"
"In post","2021","Aberdeen City and Aberdeenshire","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","HM Revenue and Customs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Home Office (incl. agencies)","Unknown","40","30","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Maritime and Coastguard Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Maritime and Coastguard Agency","No function","50","50","35120","31760"
"In post","2021","Aberdeen City and Aberdeenshire","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Met Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Met Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Met Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Met Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Met Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence (excl. agencies)","Security","90","90","40950","44070"
"In post","2021","Aberdeen City and Aberdeenshire","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Courts and Tribunals Service","Legal","80","70","24440","22820"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Forestry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Government (excl. agencies)","Unknown","370","340","36450","32630"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Prison Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Prison Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Prison Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Prison Service","No function","280","270","30060","28410"
"In post","2021","Aberdeen City and Aberdeenshire","Scottish Prison Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Aberdeen City and Aberdeenshire","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Crown Office and Procurator Fiscal Service","Legal","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Crown Office and Procurator Fiscal Service","No function","60","50","25900","22220"
"In post","2021","Angus and Dundee City","Department for Work and Pensions (excl. agencies)","Unknown","960","870","23850","21010"
"In post","2021","Angus and Dundee City","Driver and Vehicle Standards Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Education Scotland","Unknown","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","No function","290","270","23250","21400"
"In post","2021","Angus and Dundee City","HM Revenue and Customs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","Angus and Dundee City","Ministry of Defence (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Office of the Scottish Charity Regulator","Unknown","50","40","[c]","[c]"
"In post","2021","Angus and Dundee City","Scottish Courts and Tribunals Service","Legal","70","60","24910","22820"
"In post","2021","Angus and Dundee City","Scottish Government (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2021","Angus and Dundee City","Social Security Scotland","Unknown","310","300","28360","24910"
"In post","2021","Antrim and Newtownabbey","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Met Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Met Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Met Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Met Office","No function","[c]","[c]","[c]","[c]"
"In post","2021","Antrim and Newtownabbey","Met Office","Project Delivery","[c]","[c]","[c]","[c]"
